Name,FVAL
Bobby Dalbec,2.0
Jonathan Schoop,4.44
Jeff McNeil,-2.0
Josh Donaldson,3.62
Willson Contreras,13.88
Riley Greene,-5.9
Gleyber Torres,6.46
Eddie Rosario,7.69
Randal Grichuk,4.37
Jonathan Villar,-6.02
Luke Voit,-1.89
Keibert Ruiz,7.02
Frank Schwindel,1.69
Oneil Cruz,0.0
Mark Canha,-1.81
Trey Mancini,5.51
Michael Brantley,0.32
Brendan Rodgers,4.03
Andrew Benintendi,7.11
Max Kepler,0.22
Sean Murphy,-2.36
Amed Rosario,9.33
AJ Pollock,9.33
Austin Hays,3.47
Brandon Nimmo,-3.23
Marcell Ozuna,9.56
Wil Myers,-1.56
Nicky Lopez,-5.24
Kolten Wong,4.21
Gary Sánchez,4.21
Jean Segura,8.22
Jesús Sánchez,8.22
Miguel Sanó,8.22
Tommy Pham,4.2
Jo Adell,-4.23
Alejandro Kirk,4.14
Charlie Blackmon,5.18
Gavin Lux,-11.2
Ian Happ,2.77
Kiké Hernández,2.77
Ramón Laureano,2.77
Anthony Santander,0.26
Brandon Belt,3.24
Dominic Smith,-9.13
Raimel Tapia,-8.61
Tyler Stephenson,9.09
Brandon Crawford,-0.16
Josh Rojas,-5.53
Nathaniel Lowe,-5.53
Harrison Bader,-0.5
Gio Urshela,-0.5
Andrew McCutchen,-3.8
Josh Harrison,-7.91
James McCann,-3.65
Alec Bohm,-5.87
Jesús Aguilar,-5.87
Luis Urías,-5.87
Gavin Sheets,-8.35
CJ Abrams,-29.58
Adam Frazier,-6.37
Andrew Vaughn,-3.65
Jeremy Peña,-3.65
Christian Vázquez,-3.65
Connor Joe,-10.71
Isiah Kiner-Falefa,-2.62
Jurickson Profar,-14.78
Jeimer Candelario,-0.4
Bryson Stott,-20.12
Patrick Wisdom,-7.43
Mike Moustakas,-4.29
Garrett Hampson,-11.36
Keston Hiura,-18.87
Robinson Canó,-18.87
Joc Pederson,-10.35
Kyle Lewis,-13.44
Mike Zunino,-2.1
Rougned Odor,-16.01
LaMonte Wade Jr.,-16.01
Justin Upton,-16.53
Cavan Biggio,-13.36
Josh Lowe,-22.07
Andrés Giménez,-22.07
Joey Bart,-7.77
Lorenzo Cain,-7.98
Rowdy Tellez,-6.86
Alcides Escobar,-17.09
Paul DeJong,-9.44
