Name,FVAL
Liam Hendriks,20.39
Dylan Cease,13.64
Jacob deGrom,28.14
Lucas Giolito,18.11
Edwin Díaz,18.11
Aaron Nola,18.26
Shane Bieber,23.16
Luis Castillo,8.68
Joe Musgrove,15.2
Josh Hader,19.79
Tyler Mahle,5.12
Clayton Kershaw,9.81
Lance Lynn,15.49
Charlie Morton,12.9
Trevor Bauer,-4.04
Shane Baz,2.15
Tarik Skubal,6.72
Sean Manaea,13.02
Gerrit Cole,32.19
Aroldis Chapman,13.23
Ryan Pressly,14.38
Max Scherzer,24.29
Yu Darvish,13.43
José Berríos,13.43
Sonny Gray,7.34
Raisel Iglesias,16.45
Alex Colomé,16.45
Kenley Jansen,10.17
Kevin Gausman,15.99
Zac Gallen,5.07
Marco Gonzales,3.38
Giovanny Gallegos,10.15
Framber Valdez,10.07
Michael Kopech,7.05
Blake Snell,7.36
Anthony DeSclafani,3.88
Nathan Eovaldi,10.46
Ian Anderson,0.74
Pablo López,0.74
John Means,6.68
Jake McGee,2.82
Eduardo Rodriguez,12.35
Zach Plesac,1.59
Ranger Suárez,1.59
Jordan Romano,12.72
Luis Garcia,0.722
Scott Barlow,6.52
Jack Flaherty,3.84
Blake Treinen,9.89
Logan Gilbert,5.31
Mark Melancon,2.67
Alex Cobb,1.78
Patrick Sandoval,4.34
Kyle Hendricks,0.87
Germán Márquez,0.87
Adam Wainwright,6.5
José Urquidy,6.5
Kyle Gibson,-0.04
Huascar Ynoa,2.0
Corey Knebel,9.46
Zack Greinke,0.15
Noah Syndergaard,-0.58
Tyler Glasnow,-13.21
Alex Wood,3.47
David Bednar,5.36
Taylor Rogers,8.27
Stephen Strasburg,-0.2
Andrew Heaney,1.41
Joe Ryan,5.86
Triston McKenzie,0.5
Hyun Jin Ryu,0.5
Luis Severino,7.39
Hunter Greene,-5.85
Aaron Civale,2.38
Joe Barlow,-1.65
Camilo Doval,0.01
Devin Williams,0.66
Zach Eflin,-0.54
Lance McCullers Jr.,-0.54
Tanner Houck,2.22
Kris Bubic,-5.05
Jesús Luzardo,-5.05
Yusei Kikuchi,1.24
Bailey Ober,4.2
Jordan Montgomery,5.77
Matt Barnes,5.7
Steven Matz,2.88
Jon Gray,5.36
Cal Quantrill,-0.28
Jameson Taillon,0.44
Carlos Carrasco,1.49
Brady Singer,-0.95
Tony Gonsolin,-3.74
Taijuan Walker,-1.57
Craig Kimbrel,1.98
Luis Patiño,1.98
Gregory Soto,2.67
Lou Trivino,2.21
Nestor Cortes,-0.88
Chris Paddack,-2.36
Garrett Whitlock,1.85
Rich Hill,-5.49
Johnny Cueto,-9.57
Madison Bumgarner,-5.05
Martín Pérez,-5.05
Julio Urías,-5.05
Shohei Ohtani,0.909
Mike Clevinger,5.05
Max Fried,19.07
Logan Webb,12.98
Chris Sale,5.76
Chris Bassitt,9.46
Alek Manoah,12.58
Robbie Ray,18.8
Sandy Alcantara,16.52
Freddy Peralta,16.5
Walker Buehler,20.21
Casey Mize,0.05
Marcus Stroman,4.92
Zack Wheeler,18.15
Carlos Rodón,18.15
Brandon Woodruff,22.05
Corbin Burnes,25.32
Justin Verlander,12.42
Shane McClanahan,11.25
Trevor Rogers,11.76
Emmanuel Clase,14.9
Frankie Montas,16.02
