Name,FVAL
Liam Hendriks,$18
Dylan Cease,$12
Jacob deGrom,$43
Lucas Giolito,$23
Edwin Díaz,$14
Aaron Nola,$21
Shane Bieber,$36
Luis Castillo,$11
Joe Musgrove,$20
Josh Hader,$22
Tyler Mahle,$7
Clayton Kershaw,$13
Lance Lynn,$22
Charlie Morton,$21
Trevor Bauer,$7
Shane Baz,$9
Tarik Skubal,$13
Sean Manaea,$10
Gerrit Cole,$43
Aroldis Chapman,$10
Ryan Pressly,$15
Max Scherzer,$41
Yu Darvish,$17
José Berríos,$19
Sonny Gray,$10
Raisel Iglesias,$17
Alex Colomé,$2
Kenley Jansen,$14
Kevin Gausman,$21
Zac Gallen,$7
Marco Gonzales,$4
Giovanny Gallegos,$13
Framber Valdez,$14
Michael Kopech,$10
Blake Snell,$16
Anthony DeSclafani,$6
Nathan Eovaldi,$14
Ian Anderson,$11
Pablo López,$9
John Means,$11
Jake McGee,$8
Eduardo Rodriguez,$14
Zach Plesac,$4
Ranger Suárez,$7
Jordan Romano,$13
Luis Garcia,$9
Scott Barlow,$6
Jack Flaherty,$7
Blake Treinen,$13
Logan Gilbert,$9
Mark Melancon,$6
Alex Cobb,$3
Patrick Sandoval,$7
Kyle Hendricks,$5
Germán Márquez,$9
Adam Wainwright,$11
José Urquidy,$6
Kyle Gibson,$3
Huascar Ynoa,$3
Corey Knebel,$3
Zack Greinke,$3
Noah Syndergaard,$5
Tyler Glasnow,$6
Alex Wood,$4
David Bednar,$1
Taylor Rogers,$8
Stephen Strasburg,$2
Andrew Heaney,$1
Joe Ryan,$4
Triston McKenzie,$2
Hyun Jin Ryu,$4
Luis Severino,$2
Hunter Greene,$4
Aaron Civale,$4
Joe Barlow,$3
Camilo Doval,$2
Devin Williams,$1
Zach Eflin,$5
Lance McCullers Jr.,$2
Tanner Houck,$1
Kris Bubic,$1
Jesús Luzardo,$4
Yusei Kikuchi,$1
Bailey Ober,$2
Jordan Montgomery,$1
Matt Barnes,$3
Steven Matz,$1
Jon Gray,$1
Cal Quantrill,$1
Jameson Taillon,$2
Carlos Carrasco,$2
Brady Singer,$1
Tony Gonsolin,$2
Taijuan Walker,$1
Craig Kimbrel,$1
Luis Patiño,$1
Gregory Soto,$1
Lou Trivino,$1
Nestor Cortes,$2
Chris Paddack,$1
Garrett Whitlock,$1
Rich Hill,$1
Johnny Cueto,$1
Madison Bumgarner,$1
Martín Pérez,$1
Julio Urías,$7
Shohei Ohtani,$5
Mike Clevinger,$5
Max Fried,$11
Logan Webb,$5
Chris Sale,$5
Chris Bassitt,$6
Alek Manoah,$5
Robbie Ray,$5
Sandy Alcantara,$11
Freddy Peralta,$5
Walker Buehler,$32
Casey Mize,$5
Marcus Stroman,$8
Zack Wheeler,$14
Carlos Rodón,$5
Brandon Woodruff,$22
Corbin Burnes,$19
Justin Verlander,$6
Shane McClanahan,$5
Trevor Rogers,$5
Emmanuel Clase,$5
Frankie Montas,$5
