03/17/2022,03/18/2022,03/19/2022,03/20/2022,03/21/2022,03/22/2022,03/23/2022
,1 Orlando Arcia SS,,,,,
,2 Ozzie Albies 2B,,,,,
,3 Matt Olson 1B,,,,,
,4 Marcell Ozuna LF,,,,,
,5 Adam Duvall CF,,,,,
,6 William Contreras C,,,,,
,7 Ryan Goins 3B,,,,,
,8 Drew Waters RF,,,,,
,9 Travis Demeritte DH,,,,,
,,1 Guillermo Heredia CF,,,,
,,2 Dansby Swanson SS,,,,
,,3 Austin Riley 3B,,,,
,,4 John Nogowski 1B,,,,
,,5 Michael Harris II LF,,,,
,,6 Travis Demeritte RF,,,,
,,7 Ryan Goins 2B,,,,
,,8 Hendrik Clementina C,,,,
,,9 Drew Waters DH,,,,
,,,1 Orlando Arcia 3B,,,
,,,2 Ozzie Albies 2B,,,
,,,3 Matt Olson 1B,,,
,,,4 Marcell Ozuna LF,,,
,,,5 Adam Duvall CF,,,
,,,6 Travis d'Arnaud C,,,
,,,7 Michael Harris II DH,,,
,,,8 Jesse Franklin V RF,,,
,,,9 Braden Shewmake SS,,,
,,,,1 Eddie Rosario RF,,
,,,,2 Dansby Swanson SS,,
,,,,3 Austin Riley 3B,,
,,,,4 Alex Dickerson DH,,
,,,,5 Guillermo Heredia CF,,
,,,,6 William Contreras C,,
,,,,7 John Nogowski 1B,,
,,,,8 Ryan Goins 2B,,
,,,,9 Jesse Franklin V LF,,
,,,,,1 Orlando Arcia SS,
,,,,,2 Ozzie Albies 2B,
,,,,,3 Matt Olson 1B,
,,,,,4 Marcell Ozuna LF,
,,,,,5 Travis d'Arnaud C,
,,,,,6 Alex Dickerson RF,
,,,,,7 William Contreras DH,
,,,,,8 Michael Harris II CF,
,,,,,9 Ryan Goins 3B,
,1 Orlando Arcia SS,,,,,
,2 Ozzie Albies 2B,,,,,
,3 Matt Olson 1B,,,,,
,4 Marcell Ozuna LF,,,,,
,5 Adam Duvall CF,,,,,
,6 William Contreras C,,,,,
,7 Ryan Goins 3B,,,,,
,8 Drew Waters RF,,,,,
,9 Travis Demeritte DH,,,,,
,,1 Guillermo Heredia CF,,,,
,,2 Dansby Swanson SS,,,,
,,3 Austin Riley 3B,,,,
,,4 John Nogowski 1B,,,,
,,5 Michael Harris II LF,,,,
,,6 Travis Demeritte RF,,,,
,,7 Ryan Goins 2B,,,,
,,8 Hendrik Clementina C,,,,
,,9 Drew Waters DH,,,,
,,,1 Orlando Arcia 3B,,,
,,,2 Ozzie Albies 2B,,,
,,,3 Matt Olson 1B,,,
,,,4 Marcell Ozuna LF,,,
,,,5 Adam Duvall CF,,,
,,,6 Travis d'Arnaud C,,,
,,,7 Michael Harris II DH,,,
,,,8 Jesse Franklin V RF,,,
,,,9 Braden Shewmake SS,,,
,,,,1 Eddie Rosario RF,,
,,,,2 Dansby Swanson SS,,
,,,,3 Austin Riley 3B,,
,,,,4 Alex Dickerson DH,,
,,,,5 Guillermo Heredia CF,,
,,,,6 William Contreras C,,
,,,,7 John Nogowski 1B,,
,,,,8 Ryan Goins 2B,,
,,,,9 Jesse Franklin V LF,,
,,,,,1 Orlando Arcia SS,
,,,,,2 Ozzie Albies 2B,
,,,,,3 Matt Olson 1B,
,,,,,4 Marcell Ozuna LF,
,,,,,5 Travis d'Arnaud C,
,,,,,6 Alex Dickerson RF,
,,,,,7 William Contreras DH,
,,,,,8 Michael Harris II CF,
,,,,,9 Ryan Goins 3B,
,,,,,,1 Eddie Rosario RF
,,,,,,2 Ozzie Albies 2B
,,,,,,3 Matt Olson 1B
,,,,,,4 Marcell Ozuna LF
,,,,,,5 Austin Riley 3B
,,,,,,6 Adam Duvall CF
,,,,,,7 Dansby Swanson SS
,,,,,,8 Manny Pina C
,,,,,,9 Orlando Arcia DH
