03/17/2022,03/18/2022,03/19/2022,03/20/2022,03/21/2022,03/22/2022,03/23/2022
,1 Ryan McKenna CF,,,,,
,2 DJ Stewart DH,,,,,
,3 Kelvin Gutierrez 3B,,,,,
,4 Kyle Stowers LF,,,,,
,5 Tyler Nevin 1B,,,,,
,6 Jahmai Jones 2B,,,,,
,7 Yusniel Diaz RF,,,,,
,8 Anthony Bemboom C,,,,,
,9 Richie Martin SS,,,,,
,,1 Cedric Mullins CF,,,,
,,2 Trey Mancini DH,,,,
,,3 Ryan Mountcastle 1B,,,,
,,4 Austin Hays LF,,,,
,,5 DJ Stewart RF,,,,
,,6 Jorge Mateo SS,,,,
,,7 Chris Owings 2B,,,,
,,8 Rylan Bannon 3B,,,,
,,9 Jacob Nottingham C,,,,
,,,1 Ryan McKenna CF,,,
,,,2 Ramon Urias SS,,,
,,,3 Anthony Santander DH,,,
,,,4 Kyle Stowers RF,,,
,,,5 Kelvin Gutierrez 3B,,,
,,,6 Tyler Nevin 1B,,,
,,,7 Terrin Vavra 2B,,,
,,,8 Anthony Bemboom C,,,
,,,9 Robert Neustrom LF,,,
,,,,1 Cedric Mullins CF,,
,,,,2 Trey Mancini RF,,
,,,,3 Ryan Mountcastle 1B,,
,,,,4 Austin Hays LF,,
,,,,5 Rougned Odor 2B,,
,,,,6 Jorge Mateo SS,,
,,,,7 DJ Stewart DH,,
,,,,8 Robinson Chirinos C,,
,,,,9 Chris Owings 3B,,
,,,,,1 Ryan McKenna CF,
,,,,,2 Ramon Urias SS,
,,,,,3 Anthony Santander DH,
,,,,,4 Kyle Stowers RF,
,,,,,5 Tyler Nevin 3B,
,,,,,6 Kelvin Gutierrez 1B,
,,,,,7 Jacob Nottingham C,
,,,,,8 Yusniel Diaz LF,
,,,,,9 Jahmai Jones 2B,
,1 Ryan McKenna CF,,,,,
,2 DJ Stewart DH,,,,,
,3 Kelvin Gutierrez 3B,,,,,
,4 Kyle Stowers LF,,,,,
,5 Tyler Nevin 1B,,,,,
,6 Jahmai Jones 2B,,,,,
,7 Yusniel Diaz RF,,,,,
,8 Anthony Bemboom C,,,,,
,9 Richie Martin SS,,,,,
,,1 Cedric Mullins CF,,,,
,,2 Trey Mancini DH,,,,
,,3 Ryan Mountcastle 1B,,,,
,,4 Austin Hays LF,,,,
,,5 DJ Stewart RF,,,,
,,6 Jorge Mateo SS,,,,
,,7 Chris Owings 2B,,,,
,,8 Rylan Bannon 3B,,,,
,,9 Jacob Nottingham C,,,,
,,,1 Ryan McKenna CF,,,
,,,2 Ramon Urias SS,,,
,,,3 Anthony Santander DH,,,
,,,4 Kyle Stowers RF,,,
,,,5 Kelvin Gutierrez 3B,,,
,,,6 Tyler Nevin 1B,,,
,,,7 Terrin Vavra 2B,,,
,,,8 Anthony Bemboom C,,,
,,,9 Robert Neustrom LF,,,
,,,,1 Cedric Mullins CF,,
,,,,2 Trey Mancini RF,,
,,,,3 Ryan Mountcastle 1B,,
,,,,4 Austin Hays LF,,
,,,,5 Rougned Odor 2B,,
,,,,6 Jorge Mateo SS,,
,,,,7 DJ Stewart DH,,
,,,,8 Robinson Chirinos C,,
,,,,9 Chris Owings 3B,,
,,,,,1 Ryan McKenna CF,
,,,,,2 Ramon Urias SS,
,,,,,3 Anthony Santander DH,
,,,,,4 Kyle Stowers RF,
,,,,,5 Tyler Nevin 3B,
,,,,,6 Kelvin Gutierrez 1B,
,,,,,7 Jacob Nottingham C,
,,,,,8 Yusniel Diaz LF,
,,,,,9 Jahmai Jones 2B,
