03/17/2022,03/18/2022,03/19/2022,03/20/2022,03/21/2022,03/22/2022,03/23/2022
1 Jarren Duran CF,,,,,,
2 Bobby Dalbec DH,,,,,,
3 Roberto Ramos 1B,,,,,,
4 Rob Refsnyder LF,,,,,,
5 Franchy Cordero RF,,,,,,
6 Jeter Downs SS,,,,,,
7 Yolmer Sanchez 2B,,,,,,
8 Ryan Fitzgerald 3B,,,,,,
9 Roldani Baldwin C,,,,,,
,1 Jackie Bradley Jr. CF,,,,,
,2 Christian Arroyo 2B,,,,,
,3 Rafael Devers 3B,,,,,
,4 Xander Bogaerts SS,,,,,
,5 Bobby Dalbec 1B,,,,,
,6 Kevin Plawecki DH,,,,,
,7 Ryan Fitzgerald LF,,,,,
,8 Jeisson Rosario RF,,,,,
,9 Kole Cottam C,,,,,
,,1 Jarren Duran CF,,,,
,,2 Ceddanne Rafaela LF,,,,
,,3 Kevin Plawecki DH,,,,
,,4 Christian Vazquez C,,,,
,,5 Jonathan Arauz 2B,,,,
,,6 Franchy Cordero 1B,,,,
,,7 Rob Refsnyder RF,,,,
,,8 Yolmer Sanchez 3B,,,,
,,9 Jeter Downs SS,,,,
,,,1 Christian Arroyo 2B,,,
,,,2 Rafael Devers 3B,,,
,,,3 Xander Bogaerts SS,,,
,,,4 J.D. Martinez DH,,,
,,,5 Alex Verdugo LF,,,
,,,6 Bobby Dalbec 1B,,,
,,,7 Jackie Bradley Jr. CF,,,
,,,8 Kevin Plawecki C,,,
,,,9 Franchy Cordero RF,,,
,,,,1 Enrique Hernandez CF,,
,,,,2 Rafael Devers 3B,,
,,,,3 Xander Bogaerts SS,,
,,,,4 J.D. Martinez DH,,
,,,,5 Christian Vazquez C,,
,,,,6 Travis Shaw 1B,,
,,,,7 Jackie Bradley Jr. RF,,
,,,,8 Jarren Duran LF,,
,,,,9 Yolmer Sanchez 2B,,
,,,,,1 Christian Arroyo 2B,
,,,,,2 Jarren Duran CF,
,,,,,3 Bobby Dalbec 3B,
,,,,,4 Travis Shaw 1B,
,,,,,5 Kevin Plawecki C,
,,,,,6 Franchy Cordero RF,
,,,,,7 Rob Refsnyder LF,
,,,,,8 Roberto Ramos DH,
,,,,,9 Jonathan Arauz SS,
1 Jarren Duran CF,,,,,,
2 Bobby Dalbec DH,,,,,,
3 Roberto Ramos 1B,,,,,,
4 Rob Refsnyder LF,,,,,,
5 Franchy Cordero RF,,,,,,
6 Jeter Downs SS,,,,,,
7 Yolmer Sanchez 2B,,,,,,
8 Ryan Fitzgerald 3B,,,,,,
9 Roldani Baldwin C,,,,,,
,1 Jackie Bradley Jr. CF,,,,,
,2 Christian Arroyo 2B,,,,,
,3 Rafael Devers 3B,,,,,
,4 Xander Bogaerts SS,,,,,
,5 Bobby Dalbec 1B,,,,,
,6 Kevin Plawecki DH,,,,,
,7 Ryan Fitzgerald LF,,,,,
,8 Jeisson Rosario RF,,,,,
,9 Kole Cottam C,,,,,
,,1 Jarren Duran CF,,,,
,,2 Ceddanne Rafaela LF,,,,
,,3 Kevin Plawecki DH,,,,
,,4 Christian Vazquez C,,,,
,,5 Jonathan Arauz 2B,,,,
,,6 Franchy Cordero 1B,,,,
,,7 Rob Refsnyder RF,,,,
,,8 Yolmer Sanchez 3B,,,,
,,9 Jeter Downs SS,,,,
,,,1 Christian Arroyo 2B,,,
,,,2 Rafael Devers 3B,,,
,,,3 Xander Bogaerts SS,,,
,,,4 J.D. Martinez DH,,,
,,,5 Alex Verdugo LF,,,
,,,6 Bobby Dalbec 1B,,,
,,,7 Jackie Bradley Jr. CF,,,
,,,8 Kevin Plawecki C,,,
,,,9 Franchy Cordero RF,,,
,,,,1 Enrique Hernandez CF,,
,,,,2 Rafael Devers 3B,,
,,,,3 Xander Bogaerts SS,,
,,,,4 J.D. Martinez DH,,
,,,,5 Christian Vazquez C,,
,,,,6 Travis Shaw 1B,,
,,,,7 Jackie Bradley Jr. RF,,
,,,,8 Jarren Duran LF,,
,,,,9 Yolmer Sanchez 2B,,
,,,,,1 Christian Arroyo 2B,
,,,,,2 Jarren Duran CF,
,,,,,3 Bobby Dalbec 3B,
,,,,,4 Travis Shaw 1B,
,,,,,5 Kevin Plawecki C,
,,,,,6 Franchy Cordero RF,
,,,,,7 Rob Refsnyder LF,
,,,,,8 Roberto Ramos DH,
,,,,,9 Jonathan Arauz SS,
,,,,,,1 Enrique Hernandez CF
,,,,,,2 Rafael Devers 3B
,,,,,,3 Xander Bogaerts SS
,,,,,,4 J.D. Martinez DH
,,,,,,5 Alex Verdugo LF
,,,,,,6 Bobby Dalbec 1B
,,,,,,7 Jackie Bradley Jr. RF
,,,,,,8 Christian Vazquez C
,,,,,,9 Yolmer Sanchez 2B
