03/17/2022,03/18/2022,03/19/2022,03/20/2022,03/21/2022,03/22/2022,03/23/2022
1 Ildemaro Vargas 2B,,,,,,
2 Yan Gomes C,,,,,,
3 Brennen Davis CF,,,,,,
4 Jared Young 1B,,,,,,
5 Pete Crow-Armstrong LF,,,,,,
6 Chase Strumpf 3B,,,,,,
7 Donnie Dewees RF,,,,,,
8 Dixon Machado SS,,,,,,
9 Trent Giambrone DH,,,,,,
1 Zach Davis CF,,,,,,
2 P.J. Higgins C,,,,,,
3 Andy Weber 2B,,,,,,
4 Nelson Maldonado DH,,,,,,
5 Bryce Ball 1B,,,,,,
6 Levi Jordan 3B,,,,,,
7 Darius Hill RF,,,,,,
8 Kevin Made SS,,,,,,
9 D.J. Artis LF,,,,,,
,1 Nico Hoerner SS,,,,,
,2 Rafael Ortega CF,,,,,
,3 Frank Schwindel 1B,,,,,
,4 Clint Frazier LF,,,,,
,5 Yan Gomes C,,,,,
,6 Ildemaro Vargas 2B,,,,,
,7 Greg Deichmann RF,,,,,
,8 Nelson Velazquez DH,,,,,
,9 Dixon Machado 3B,,,,,
,,1 Michael Hermosillo LF,,,,
,,2 Willson Contreras C,,,,
,,3 Jason Heyward CF,,,,
,,4 Patrick Wisdom 3B,,,,
,,5 Alfonso Rivas 1B,,,,
,,6 Sergio Alcantara SS,,,,
,,7 Zach Davis RF,,,,
,,8 Alexander Canario DH,,,,
,,9 Andy Weber 2B,,,,
,,,1 Rafael Ortega CF,,,
,,,2 Nico Hoerner SS,,,
,,,3 Frank Schwindel 1B,,,
,,,4 Clint Frazier DH,,,
,,,5 Yan Gomes C,,,
,,,6 Nelson Velazquez LF,,,
,,,7 Ildemaro Vargas 2B,,,
,,,8 Dixon Machado 3B,,,
,,,9 Greg Deichmann RF,,,
,,,,1 Nick Madrigal 2B,,
,,,,2 Willson Contreras C,,
,,,,3 Jason Heyward CF,,
,,,,4 Patrick Wisdom 3B,,
,,,,5 Alfonso Rivas 1B,,
,,,,6 Michael Hermosillo LF,,
,,,,7 Brennen Davis RF,,
,,,,8 Narciso Crook DH,,
,,,,9 Sergio Alcantara SS,,
,,,,,1 Rafael Ortega CF,
,,,,,2 Nico Hoerner SS,
,,,,,3 Yan Gomes C,
,,,,,4 Clint Frazier LF,
,,,,,5 Alfonso Rivas 1B,
,,,,,6 Ildemaro Vargas 2B,
,,,,,7 Dixon Machado 3B,
,,,,,8 Michael Hermosillo DH,
,,,,,9 Owen Caissie RF,
1 Ildemaro Vargas 2B,,,,,,
2 Yan Gomes C,,,,,,
3 Brennen Davis CF,,,,,,
4 Jared Young 1B,,,,,,
5 Pete Crow-Armstrong LF,,,,,,
6 Chase Strumpf 3B,,,,,,
7 Donnie Dewees RF,,,,,,
8 Dixon Machado SS,,,,,,
9 Trent Giambrone DH,,,,,,
1 Zach Davis CF,,,,,,
2 P.J. Higgins C,,,,,,
3 Andy Weber 2B,,,,,,
4 Nelson Maldonado DH,,,,,,
5 Bryce Ball 1B,,,,,,
6 Levi Jordan 3B,,,,,,
7 Darius Hill RF,,,,,,
8 Kevin Made SS,,,,,,
9 D.J. Artis LF,,,,,,
,1 Nico Hoerner SS,,,,,
,2 Rafael Ortega CF,,,,,
,3 Frank Schwindel 1B,,,,,
,4 Clint Frazier LF,,,,,
,5 Yan Gomes C,,,,,
,6 Ildemaro Vargas 2B,,,,,
,7 Greg Deichmann RF,,,,,
,8 Nelson Velazquez DH,,,,,
,9 Dixon Machado 3B,,,,,
,,1 Michael Hermosillo LF,,,,
,,2 Willson Contreras C,,,,
,,3 Jason Heyward CF,,,,
,,4 Patrick Wisdom 3B,,,,
,,5 Alfonso Rivas 1B,,,,
,,6 Sergio Alcantara SS,,,,
,,7 Zach Davis RF,,,,
,,8 Alexander Canario DH,,,,
,,9 Andy Weber 2B,,,,
,,,1 Rafael Ortega CF,,,
,,,2 Nico Hoerner SS,,,
,,,3 Frank Schwindel 1B,,,
,,,4 Clint Frazier DH,,,
,,,5 Yan Gomes C,,,
,,,6 Nelson Velazquez LF,,,
,,,7 Ildemaro Vargas 2B,,,
,,,8 Dixon Machado 3B,,,
,,,9 Greg Deichmann RF,,,
,,,,1 Nick Madrigal 2B,,
,,,,2 Willson Contreras C,,
,,,,3 Jason Heyward CF,,
,,,,4 Patrick Wisdom 3B,,
,,,,5 Alfonso Rivas 1B,,
,,,,6 Michael Hermosillo LF,,
,,,,7 Brennen Davis RF,,
,,,,8 Narciso Crook DH,,
,,,,9 Sergio Alcantara SS,,
,,,,,1 Rafael Ortega CF,
,,,,,2 Nico Hoerner SS,
,,,,,3 Yan Gomes C,
,,,,,4 Clint Frazier LF,
,,,,,5 Alfonso Rivas 1B,
,,,,,6 Ildemaro Vargas 2B,
,,,,,7 Dixon Machado 3B,
,,,,,8 Michael Hermosillo DH,
,,,,,9 Owen Caissie RF,
,,,,,,1 Nick Madrigal 2B
,,,,,,2 Jason Heyward CF
,,,,,,3 Willson Contreras C
,,,,,,4 Ian Happ DH
,,,,,,5 Clint Frazier LF
,,,,,,6 Patrick Wisdom 1B
,,,,,,7 Nico Hoerner SS
,,,,,,8 Brennen Davis RF
,,,,,,9 Ildemaro Vargas 3B
