03/17/2022,03/18/2022,03/19/2022,03/20/2022,03/21/2022,03/22/2022,03/23/2022
1 Yermin Mercedes DH,,,,,,
2 Zack Collins C,,,,,,
3 Micker Adolfo LF,,,,,,
4 Blake Rutherford RF,,,,,,
5 Danny Mendick SS,,,,,,
6 Luis Mieses 1B,,,,,,
7 Yolbert Sanchez 2B,,,,,,
8 Oscar Colas CF,,,,,,
9 Bryan Ramos 3B,,,,,,
1 Jose Rodriguez DH,,,,,,
2 Andrew Vaughn RF,,,,,,
3 Gavin Sheets 1B,,,,,,
4 Jake Burger 3B,,,,,,
5 Dwight Smith Jr. LF,,,,,,
6 Romy Gonzalez SS,,,,,,
7 Zach Remillard 2B,,,,,,
8 Seby Zavala C,,,,,,
9 Yoelqui Cespedes CF,,,,,,
,,1 Tim Anderson SS,,,,
,,2 Luis Robert CF,,,,
,,3 Jose Abreu 1B,,,,
,,4 Yoan Moncada 3B,,,,
,,5 Eloy Jimenez LF,,,,
,,6 Yasmani Grandal DH,,,,
,,7 Leury Garcia RF,,,,
,,8 Josh Harrison 2B,,,,
,,9 Seby Zavala C,,,,
,,,1 Leury Garcia 2B,,,
,,,2 Luis Robert CF,,,
,,,3 Gavin Sheets 1B,,,
,,,4 Eloy Jimenez LF,,,
,,,5 Yasmani Grandal C,,,
,,,6 Andrew Vaughn RF,,,
,,,7 Jake Burger 3B,,,
,,,8 Micker Adolfo DH,,,
,,,9 Danny Mendick SS,,,
,,,,1 Tim Anderson SS,,
,,,,2 Dwight Smith Jr. DH,,
,,,,3 Yoan Moncada 3B,,
,,,,4 Gavin Sheets 1B,,
,,,,5 Yoelqui Cespedes CF,,
,,,,6 Josh Harrison 2B,,
,,,,7 Zack Collins C,,
,,,,8 Micker Adolfo RF,,
,,,,9 Luis Alexander Basabe LF,,
,,,,,1 Tim Anderson SS,
,,,,,2 Luis Robert CF,
,,,,,3 Jose Abreu DH,
,,,,,4 Yoan Moncada 3B,
,,,,,5 Eloy Jimenez LF,
,,,,,6 Yasmani Grandal C,
,,,,,7 Leury Garcia RF,
,,,,,8 Josh Harrison 2B,
,,,,,9 Andrew Vaughn 1B,
1 Yermin Mercedes DH,,,,,,
2 Zack Collins C,,,,,,
3 Micker Adolfo LF,,,,,,
4 Blake Rutherford RF,,,,,,
5 Danny Mendick SS,,,,,,
6 Luis Mieses 1B,,,,,,
7 Yolbert Sanchez 2B,,,,,,
8 Oscar Colas CF,,,,,,
9 Bryan Ramos 3B,,,,,,
1 Jose Rodriguez DH,,,,,,
2 Andrew Vaughn RF,,,,,,
3 Gavin Sheets 1B,,,,,,
4 Jake Burger 3B,,,,,,
5 Dwight Smith Jr. LF,,,,,,
6 Romy Gonzalez SS,,,,,,
7 Zach Remillard 2B,,,,,,
8 Seby Zavala C,,,,,,
9 Yoelqui Cespedes CF,,,,,,
,,1 Tim Anderson SS,,,,
,,2 Luis Robert CF,,,,
,,3 Jose Abreu 1B,,,,
,,4 Yoan Moncada 3B,,,,
,,5 Eloy Jimenez LF,,,,
,,6 Yasmani Grandal DH,,,,
,,7 Leury Garcia RF,,,,
,,8 Josh Harrison 2B,,,,
,,9 Seby Zavala C,,,,
,,,1 Leury Garcia 2B,,,
,,,2 Luis Robert CF,,,
,,,3 Gavin Sheets 1B,,,
,,,4 Eloy Jimenez LF,,,
,,,5 Yasmani Grandal C,,,
,,,6 Andrew Vaughn RF,,,
,,,7 Jake Burger 3B,,,
,,,8 Micker Adolfo DH,,,
,,,9 Danny Mendick SS,,,
,,,,1 Tim Anderson SS,,
,,,,2 Dwight Smith Jr. DH,,
,,,,3 Yoan Moncada 3B,,
,,,,4 Gavin Sheets 1B,,
,,,,5 Yoelqui Cespedes CF,,
,,,,6 Josh Harrison 2B,,
,,,,7 Zack Collins C,,
,,,,8 Micker Adolfo RF,,
,,,,9 Luis Alexander Basabe LF,,
,,,,,1 Tim Anderson SS,
,,,,,2 Luis Robert CF,
,,,,,3 Jose Abreu DH,
,,,,,4 Yoan Moncada 3B,
,,,,,5 Eloy Jimenez LF,
,,,,,6 Yasmani Grandal C,
,,,,,7 Leury Garcia RF,
,,,,,8 Josh Harrison 2B,
,,,,,9 Andrew Vaughn 1B,
,,,,,,1 Leury Garcia SS
,,,,,,2 Luis Robert CF
,,,,,,3 Jose Abreu 1B
,,,,,,4 Eloy Jimenez DH
,,,,,,5 Yasmani Grandal C
,,,,,,6 Andrew Vaughn RF
,,,,,,7 Romy Gonzalez 3B
,,,,,,8 Yoelqui Cespedes LF
,,,,,,9 Jose Rodriguez 2B
