03/17/2022,03/18/2022,03/19/2022,03/20/2022,03/21/2022,03/22/2022,03/23/2022
,1 Jonathan India 2B,,,,,
,2 Joey Votto 1B,,,,,
,3 Kyle Farmer SS,,,,,
,4 Tyler Stephenson DH,,,,,
,5 Nick Senzel CF,,,,,
,6 Aristides Aquino RF,,,,,
,7 Andrew Knapp C,,,,,
,8 TJ Friedl LF,,,,,
,9 Alejo Lopez 3B,,,,,
,,1 Tyler Naquin RF,,,,
,,2 Mike Moustakas 3B,,,,
,,3 Shogo Akiyama CF,,,,
,,4 Jake Fraley LF,,,,
,,5 Max Schrock 2B,,,,
,,6 Jake Bauers 1B,,,,
,,7 TJ Friedl DH,,,,
,,8 Aramis Garcia C,,,,
,,9 Matt McLain SS,,,,
,,,1 Jonathan India 2B,,,
,,,2 Joey Votto 1B,,,
,,,3 Tyler Stephenson C,,,
,,,4 Donovan Solano 3B,,,
,,,5 Kyle Farmer SS,,,
,,,6 Nick Senzel CF,,,
,,,7 Colin Moran DH,,,
,,,8 Max Schrock LF,,,
,,,9 Aristides Aquino RF,,,
,,,,1 Tyler Naquin RF,,
,,,,2 Mike Moustakas 3B,,
,,,,3 Shogo Akiyama CF,,
,,,,4 Jake Fraley LF,,
,,,,5 Colin Moran 1B,,
,,,,6 Jake Bauers DH,,
,,,,7 Alejo Lopez 2B,,
,,,,8 Andrew Knapp C,,
,,,,9 Miguel Hernandez SS,,
,,,,,1 Jonathan India 2B,
,,,,,2 Joey Votto 1B,
,,,,,3 Mike Moustakas 3B,
,,,,,4 Tyler Stephenson C,
,,,,,5 Kyle Farmer SS,
,,,,,6 Donovan Solano DH,
,,,,,7 Nick Senzel CF,
,,,,,8 Aristides Aquino RF,
,,,,,9 Jake Bauers LF,
,1 Jonathan India 2B,,,,,
,2 Joey Votto 1B,,,,,
,3 Kyle Farmer SS,,,,,
,4 Tyler Stephenson DH,,,,,
,5 Nick Senzel CF,,,,,
,6 Aristides Aquino RF,,,,,
,7 Andrew Knapp C,,,,,
,8 TJ Friedl LF,,,,,
,9 Alejo Lopez 3B,,,,,
,,1 Tyler Naquin RF,,,,
,,2 Mike Moustakas 3B,,,,
,,3 Shogo Akiyama CF,,,,
,,4 Jake Fraley LF,,,,
,,5 Max Schrock 2B,,,,
,,6 Jake Bauers 1B,,,,
,,7 TJ Friedl DH,,,,
,,8 Aramis Garcia C,,,,
,,9 Matt McLain SS,,,,
,,,1 Jonathan India 2B,,,
,,,2 Joey Votto 1B,,,
,,,3 Tyler Stephenson C,,,
,,,4 Donovan Solano 3B,,,
,,,5 Kyle Farmer SS,,,
,,,6 Nick Senzel CF,,,
,,,7 Colin Moran DH,,,
,,,8 Max Schrock LF,,,
,,,9 Aristides Aquino RF,,,
,,,,1 Tyler Naquin RF,,
,,,,2 Mike Moustakas 3B,,
,,,,3 Shogo Akiyama CF,,
,,,,4 Jake Fraley LF,,
,,,,5 Colin Moran 1B,,
,,,,6 Jake Bauers DH,,
,,,,7 Alejo Lopez 2B,,
,,,,8 Andrew Knapp C,,
,,,,9 Miguel Hernandez SS,,
,,,,,1 Jonathan India 2B,
,,,,,2 Joey Votto 1B,
,,,,,3 Mike Moustakas 3B,
,,,,,4 Tyler Stephenson C,
,,,,,5 Kyle Farmer SS,
,,,,,6 Donovan Solano DH,
,,,,,7 Nick Senzel CF,
,,,,,8 Aristides Aquino RF,
,,,,,9 Jake Bauers LF,
