03/17/2022,03/18/2022,03/19/2022,03/20/2022,03/21/2022,03/22/2022,03/23/2022
,1 Myles Straw CF,,,,,
,2 Amed Rosario SS,,,,,
,3 Jose Ramirez 3B,,,,,
,4 Franmil Reyes DH,,,,,
,5 Bobby Bradley 1B,,,,,
,6 Bradley Zimmer RF,,,,,
,7 Yu Chang 2B,,,,,
,8 Oscar Mercado LF,,,,,
,9 Austin Hedges C,,,,,
,,1 Steven Kwan CF,,,,
,,2 Andres Gimenez SS,,,,
,,3 Owen Miller 1B,,,,
,,4 Luke Maile C,,,,
,,5 Daniel Johnson RF,,,,
,,6 Ernie Clement 2B,,,,
,,7 Gabriel Arias 3B,,,,
,,8 Oscar Gonzalez DH,,,,
,,9 Richie Palacios LF,,,,
,,,1 Myles Straw CF,,,
,,,2 Amed Rosario SS,,,
,,,3 Jose Ramirez 3B,,,
,,,4 Franmil Reyes DH,,,
,,,5 Austin Hedges C,,,
,,,6 Bobby Bradley 1B,,,
,,,7 Yu Chang 2B,,,
,,,8 Bradley Zimmer RF,,,
,,,9 Oscar Mercado LF,,,
,,,,1 Gabriel Arias SS,,
,,,,2 Owen Miller 1B,,
,,,,3 Franmil Reyes LF,,
,,,,4 Luke Maile C,,
,,,,5 Bradley Zimmer DH,,
,,,,6 Daniel Johnson RF,,
,,,,7 Steven Kwan CF,,
,,,,8 Ernie Clement 3B,,
,,,,9 Andres Gimenez 2B,,
,,,,,1 Myles Straw CF,
,,,,,2 Christian Cairo SS,
,,,,,3 Jose Ramirez DH,
,,,,,4 Bobby Bradley 1B,
,,,,,5 Austin Hedges C,
,,,,,6 Oscar Mercado RF,
,,,,,7 Yu Chang 3B,
,,,,,8 Andres Gimenez 2B,
,,,,,9 Richie Palacios LF,
,1 Myles Straw CF,,,,,
,2 Amed Rosario SS,,,,,
,3 Jose Ramirez 3B,,,,,
,4 Franmil Reyes DH,,,,,
,5 Bobby Bradley 1B,,,,,
,6 Bradley Zimmer RF,,,,,
,7 Yu Chang 2B,,,,,
,8 Oscar Mercado LF,,,,,
,9 Austin Hedges C,,,,,
,,1 Steven Kwan CF,,,,
,,2 Andres Gimenez SS,,,,
,,3 Owen Miller 1B,,,,
,,4 Luke Maile C,,,,
,,5 Daniel Johnson RF,,,,
,,6 Ernie Clement 2B,,,,
,,7 Gabriel Arias 3B,,,,
,,8 Oscar Gonzalez DH,,,,
,,9 Richie Palacios LF,,,,
,,,1 Myles Straw CF,,,
,,,2 Amed Rosario SS,,,
,,,3 Jose Ramirez 3B,,,
,,,4 Franmil Reyes DH,,,
,,,5 Austin Hedges C,,,
,,,6 Bobby Bradley 1B,,,
,,,7 Yu Chang 2B,,,
,,,8 Bradley Zimmer RF,,,
,,,9 Oscar Mercado LF,,,
,,,,1 Gabriel Arias SS,,
,,,,2 Owen Miller 1B,,
,,,,3 Franmil Reyes LF,,
,,,,4 Luke Maile C,,
,,,,5 Bradley Zimmer DH,,
,,,,6 Daniel Johnson RF,,
,,,,7 Steven Kwan CF,,
,,,,8 Ernie Clement 3B,,
,,,,9 Andres Gimenez 2B,,
,,,,,1 Myles Straw CF,
,,,,,2 Christian Cairo SS,
,,,,,3 Jose Ramirez DH,
,,,,,4 Bobby Bradley 1B,
,,,,,5 Austin Hedges C,
,,,,,6 Oscar Mercado RF,
,,,,,7 Yu Chang 3B,
,,,,,8 Andres Gimenez 2B,
,,,,,9 Richie Palacios LF,
,,,,,,1 Bradley Zimmer CF
,,,,,,2 Owen Miller 1B
,,,,,,3 Franmil Reyes LF
,,,,,,4 Bobby Bradley DH
,,,,,,5 Luke Maile C
,,,,,,6 Gabriel Arias 2B
,,,,,,7 Oscar Gonzalez RF
,,,,,,8 Ernie Clement 3B
,,,,,,9 Brayan Rocchio SS
