03/17/2022,03/18/2022,03/19/2022,03/20/2022,03/21/2022,03/22/2022,03/23/2022
1 Garrett Hampson CF,,,,,,
2 Tim Lopes 2B,,,,,,
3 Connor Joe 1B,,,,,,
4 Colton Welker 3B,,,,,,
5 Scott Schebler RF,,,,,,
6 Carlos Perez C,,,,,,
7 Bret Boswell DH,,,,,,
8 Ryan Vilade LF,,,,,,
9 Alan Trejo SS,,,,,,
,1 Bret Boswell CF,,,,,
,2 Tim Lopes LF,,,,,
,3 Scott Schebler RF,,,,,
,4 Elehuris Montero DH,,,,,
,5 Michael Toglia 1B,,,,,
,6 Taylor Snyder 3B,,,,,
,7 Kyle Holder 2B,,,,,
,8 Brian Serven C,,,,,
,9 Ezequiel Tovar SS,,,,,
,,1 Garrett Hampson SS,,,,
,,2 Connor Joe 1B,,,,
,,3 Ryan McMahon 3B,,,,
,,4 Sam Hilliard CF,,,,
,,5 Carlos Perez DH,,,,
,,6 Dom Nunez C,,,,
,,7 Alan Trejo 2B,,,,
,,8 Tim Lopes RF,,,,
,,9 Ryan Vilade LF,,,,
,,,1 Charlie Blackmon RF,,,
,,,2 Jose Iglesias SS,,,
,,,3 Ryan McMahon 3B,,,
,,,4 C.J. Cron 1B,,,
,,,5 Connor Joe LF,,,
,,,6 Sam Hilliard CF,,,
,,,7 Dom Nunez DH,,,
,,,8 Carlos Perez C,,,
,,,9 Alan Trejo 2B,,,
,,,,1 Garrett Hampson CF,,
,,,,2 Tim Lopes LF,,
,,,,3 Elehuris Montero 3B,,
,,,,4 Michael Toglia 1B,,
,,,,5 Dom Nunez C,,
,,,,6 Alan Trejo 2B,,
,,,,7 Ryan Vilade RF,,
,,,,8 Brian Serven DH,,
,,,,9 Ezequiel Tovar SS,,
,,,,,1 Charlie Blackmon RF,
,,,,,2 Kris Bryant LF,
,,,,,3 Ryan McMahon 3B,
,,,,,4 C.J. Cron 1B,
,,,,,5 Brendan Rodgers 2B,
,,,,,6 Elias Diaz C,
,,,,,7 Connor Joe DH,
,,,,,8 Jose Iglesias SS,
,,,,,9 Sam Hilliard CF,
1 Garrett Hampson CF,,,,,,
2 Tim Lopes 2B,,,,,,
3 Connor Joe 1B,,,,,,
4 Colton Welker 3B,,,,,,
5 Scott Schebler RF,,,,,,
6 Carlos Perez C,,,,,,
7 Bret Boswell DH,,,,,,
8 Ryan Vilade LF,,,,,,
9 Alan Trejo SS,,,,,,
,1 Bret Boswell CF,,,,,
,2 Tim Lopes LF,,,,,
,3 Scott Schebler RF,,,,,
,4 Elehuris Montero DH,,,,,
,5 Michael Toglia 1B,,,,,
,6 Taylor Snyder 3B,,,,,
,7 Kyle Holder 2B,,,,,
,8 Brian Serven C,,,,,
,9 Ezequiel Tovar SS,,,,,
,,1 Garrett Hampson SS,,,,
,,2 Connor Joe 1B,,,,
,,3 Ryan McMahon 3B,,,,
,,4 Sam Hilliard CF,,,,
,,5 Carlos Perez DH,,,,
,,6 Dom Nunez C,,,,
,,7 Alan Trejo 2B,,,,
,,8 Tim Lopes RF,,,,
,,9 Ryan Vilade LF,,,,
,,,1 Charlie Blackmon RF,,,
,,,2 Jose Iglesias SS,,,
,,,3 Ryan McMahon 3B,,,
,,,4 C.J. Cron 1B,,,
,,,5 Connor Joe LF,,,
,,,6 Sam Hilliard CF,,,
,,,7 Dom Nunez DH,,,
,,,8 Carlos Perez C,,,
,,,9 Alan Trejo 2B,,,
,,,,1 Garrett Hampson CF,,
,,,,2 Tim Lopes LF,,
,,,,3 Elehuris Montero 3B,,
,,,,4 Michael Toglia 1B,,
,,,,5 Dom Nunez C,,
,,,,6 Alan Trejo 2B,,
,,,,7 Ryan Vilade RF,,
,,,,8 Brian Serven DH,,
,,,,9 Ezequiel Tovar SS,,
,,,,,1 Charlie Blackmon RF,
,,,,,2 Kris Bryant LF,
,,,,,3 Ryan McMahon 3B,
,,,,,4 C.J. Cron 1B,
,,,,,5 Brendan Rodgers 2B,
,,,,,6 Elias Diaz C,
,,,,,7 Connor Joe DH,
,,,,,8 Jose Iglesias SS,
,,,,,9 Sam Hilliard CF,
,,,,,,1 Charlie Blackmon RF
,,,,,,2 Connor Joe LF
,,,,,,3 Ryan McMahon 3B
,,,,,,4 C.J. Cron 1B
,,,,,,5 Sam Hilliard CF
,,,,,,6 Garrett Hampson 2B
,,,,,,7 Dom Nunez C
,,,,,,8 Scott Schebler DH
,,,,,,9 Alan Trejo SS
