03/17/2022,03/18/2022,03/19/2022,03/20/2022,03/21/2022,03/22/2022,03/23/2022
,1 Pedro Leon CF,,,,,
,2 Justin Dirden RF,,,,,
,3 Marty Costes LF,,,,,
,4 J.J. Matijevic 1B,,,,,
,5 Corey Julks 3B,,,,,
,6 Korey Lee C,,,,,
,7 Grae Kessinger 2B,,,,,
,8 Cristian Gonzalez SS,,,,,
,9 Zach Daniels DH,,,,,
,,1 Leosdany Molina SS,,,,
,,2 Yeuris Ramirez 2B,,,,
,,3 Wilyer Abreu CF,,,,
,,4 Luke Berryhill 1B,,,,
,,5 Ramiro Rodriguez RF,,,,
,,6 Michael Papierski C,,,,
,,7 Enmanuel Valdez 3B,,,,
,,8 Rainier Rivas LF,,,,
,,9 Peter Zimmermann DH,,,,
,,,1 Dauri Lorenzo 2B,,,
,,,2 AJ Lee SS,,,
,,,3 David Hensley 3B,,,
,,,4 J.C. Correa DH,,,
,,,5 Alex Holderbach 1B,,,
,,,6 Cesar Salazar C,,,
,,,7 Roilan Machandy CF,,,
,,,8 Ross Adolph LF,,,
,,,9 Frank Perez RF,,,
,,,,,1 Chas McCormick CF,
,,,,,2 Niko Goodrum SS,
,,,,,3 Kyle Tucker RF,
,,,,,4 Lewis Brinson LF,
,,,,,5 Jason Castro C,
,,,,,6 Joe Perez 3B,
,,,,,7 Taylor Jones 1B,
,,,,,8 Alex De Goti 2B,
,,,,,9 Cesar Salazar DH,
,1 Pedro Leon CF,,,,,
,2 Justin Dirden RF,,,,,
,3 Marty Costes LF,,,,,
,4 J.J. Matijevic 1B,,,,,
,5 Corey Julks 3B,,,,,
,6 Korey Lee C,,,,,
,7 Grae Kessinger 2B,,,,,
,8 Cristian Gonzalez SS,,,,,
,9 Zach Daniels DH,,,,,
,,1 Leosdany Molina SS,,,,
,,2 Yeuris Ramirez 2B,,,,
,,3 Wilyer Abreu CF,,,,
,,4 Luke Berryhill 1B,,,,
,,5 Ramiro Rodriguez RF,,,,
,,6 Michael Papierski C,,,,
,,7 Enmanuel Valdez 3B,,,,
,,8 Rainier Rivas LF,,,,
,,9 Peter Zimmermann DH,,,,
,,,1 Dauri Lorenzo 2B,,,
,,,2 AJ Lee SS,,,
,,,3 David Hensley 3B,,,
,,,4 J.C. Correa DH,,,
,,,5 Alex Holderbach 1B,,,
,,,6 Cesar Salazar C,,,
,,,7 Roilan Machandy CF,,,
,,,8 Ross Adolph LF,,,
,,,9 Frank Perez RF,,,
,,,,,1 Chas McCormick CF,
,,,,,2 Niko Goodrum SS,
,,,,,3 Kyle Tucker RF,
,,,,,4 Lewis Brinson LF,
,,,,,5 Jason Castro C,
,,,,,6 Joe Perez 3B,
,,,,,7 Taylor Jones 1B,
,,,,,8 Alex De Goti 2B,
,,,,,9 Cesar Salazar DH,
,,,,,,1 Jeremy Pena SS
,,,,,,2 Jose Altuve 2B
,,,,,,3 Michael Brantley DH
,,,,,,4 Alex Bregman 3B
,,,,,,5 Yordan Alvarez LF
,,,,,,6 Yuli Gurriel 1B
,,,,,,7 Martin Maldonado C
,,,,,,8 Pedro Leon CF
,,,,,,9 Corey Julks RF
