03/17/2022,03/18/2022,03/19/2022,03/20/2022,03/21/2022,03/22/2022,03/23/2022
,1 Whit Merrifield RF,,,,,
,2 Nicky Lopez 2B,,,,,
,3 Salvador Perez C,,,,,
,4 Andrew Benintendi LF,,,,,
,5 Carlos Santana 1B,,,,,
,6 Hunter Dozier DH,,,,,
,7 Adalberto Mondesi SS,,,,,
,8 Bobby Witt Jr. 3B,,,,,
,9 Michael A. Taylor CF,,,,,
,,,1 Whit Merrifield RF,,,
,,,2 Nicky Lopez 2B,,,
,,,3 Salvador Perez C,,,
,,,4 Andrew Benintendi LF,,,
,,,5 Carlos Santana DH,,,
,,,6 Hunter Dozier 1B,,,
,,,7 Adalberto Mondesi SS,,,
,,,8 Bobby Witt Jr. 3B,,,
,,,9 Michael A. Taylor CF,,,
,,,,1 Kyle Isbel LF,,
,,,,2 Edward Olivares RF,,
,,,,3 Nick Pratto 1B,,
,,,,4 Ryan O'Hearn DH,,
,,,,5 Emmanuel Rivera 3B,,
,,,,6 Clay Dungan 2B,,
,,,,7 JaCoby Jones CF,,
,,,,8 Cam Gallagher C,,
,,,,9 Maikel Garcia SS,,
,,,,,1 Whit Merrifield 2B,
,,,,,2 Bobby Witt Jr. 3B,
,,,,,3 Salvador Perez C,
,,,,,4 Andrew Benintendi LF,
,,,,,5 Carlos Santana 1B,
,,,,,6 Hunter Dozier RF,
,,,,,7 Adalberto Mondesi SS,
,,,,,8 Vinnie Pasquantino DH,
,,,,,9 Michael A. Taylor CF,
,1 Whit Merrifield RF,,,,,
,2 Nicky Lopez 2B,,,,,
,3 Salvador Perez C,,,,,
,4 Andrew Benintendi LF,,,,,
,5 Carlos Santana 1B,,,,,
,6 Hunter Dozier DH,,,,,
,7 Adalberto Mondesi SS,,,,,
,8 Bobby Witt Jr. 3B,,,,,
,9 Michael A. Taylor CF,,,,,
,,,1 Whit Merrifield RF,,,
,,,2 Nicky Lopez 2B,,,
,,,3 Salvador Perez C,,,
,,,4 Andrew Benintendi LF,,,
,,,5 Carlos Santana DH,,,
,,,6 Hunter Dozier 1B,,,
,,,7 Adalberto Mondesi SS,,,
,,,8 Bobby Witt Jr. 3B,,,
,,,9 Michael A. Taylor CF,,,
,,,,1 Kyle Isbel LF,,
,,,,2 Edward Olivares RF,,
,,,,3 Nick Pratto 1B,,
,,,,4 Ryan O'Hearn DH,,
,,,,5 Emmanuel Rivera 3B,,
,,,,6 Clay Dungan 2B,,
,,,,7 JaCoby Jones CF,,
,,,,8 Cam Gallagher C,,
,,,,9 Maikel Garcia SS,,
,,,,,1 Whit Merrifield 2B,
,,,,,2 Bobby Witt Jr. 3B,
,,,,,3 Salvador Perez C,
,,,,,4 Andrew Benintendi LF,
,,,,,5 Carlos Santana 1B,
,,,,,6 Hunter Dozier RF,
,,,,,7 Adalberto Mondesi SS,
,,,,,8 Vinnie Pasquantino DH,
,,,,,9 Michael A. Taylor CF,
,,,,,,1 Nicky Lopez SS
,,,,,,2 Hunter Dozier 1B
,,,,,,3 Salvador Perez C
,,,,,,4 Ryan O'Hearn RF
,,,,,,5 Edward Olivares CF
,,,,,,6 Emmanuel Rivera 3B
,,,,,,7 JaCoby Jones LF
,,,,,,8 Brewer Hicklen DH
,,,,,,9 Gabriel Cancel 2B
