03/17/2022,03/18/2022,03/19/2022,03/20/2022,03/21/2022,03/22/2022,03/23/2022
,1 Brandon Marsh LF,,,,,
,2 Tyler Wade SS,,,,,
,3 Luis Rengifo 2B,,,,,
,4 Jo Adell RF,,,,,
,5 Matt Thaiss C,,,,,
,6 Jack Mayfield 3B,,,,,
,7 Jake Gatewood 1B,,,,,
,8 Braxton Martinez DH,,,,,
,9 Magneuris Sierra CF,,,,,
,,1 David Fletcher SS,,,,
,,2 Shohei Ohtani DH,,,,
,,3 Mike Trout CF,,,,
,,4 Jared Walsh 1B,,,,
,,5 Taylor Ward RF,,,,
,,6 Justin Upton LF,,,,
,,7 Max Stassi C,,,,
,,8 Tyler Wade 3B,,,,
,,9 Luis Rengifo 2B,,,,
,,,1 Andrew Velazquez 2B,,,
,,,2 Brandon Marsh CF,,,
,,,3 Jo Adell LF,,,
,,,4 Jack Mayfield SS,,,
,,,5 Jose Rojas 3B,,,
,,,6 Taylor Ward RF,,,
,,,7 Matt Thaiss C,,,
,,,8 Jake Gatewood 1B,,,
,,,9 Braxton Martinez DH,,,
,,,,1 Brandon Marsh RF,,
,,,,2 Mike Trout CF,,
,,,,3 Jared Walsh 1B,,
,,,,4 Justin Upton LF,,
,,,,5 Max Stassi C,,
,,,,6 David Fletcher 2B,,
,,,,7 Tyler Wade SS,,
,,,,8 Michael Stefanic 3B,,
,,,,9 Trey Cabbage DH,,
,,,,,1 Shohei Ohtani DH,
,,,,,2 Mike Trout CF,
,,,,,3 Anthony Rendon 3B,
,,,,,4 Justin Upton LF,
,,,,,5 Jared Walsh 1B,
,,,,,6 Jo Adell RF,
,,,,,7 Tyler Wade 2B,
,,,,,8 David Fletcher SS,
,,,,,9 Austin Romine C,
,1 Brandon Marsh LF,,,,,
,2 Tyler Wade SS,,,,,
,3 Luis Rengifo 2B,,,,,
,4 Jo Adell RF,,,,,
,5 Matt Thaiss C,,,,,
,6 Jack Mayfield 3B,,,,,
,7 Jake Gatewood 1B,,,,,
,8 Braxton Martinez DH,,,,,
,9 Magneuris Sierra CF,,,,,
,,1 David Fletcher SS,,,,
,,2 Shohei Ohtani DH,,,,
,,3 Mike Trout CF,,,,
,,4 Jared Walsh 1B,,,,
,,5 Taylor Ward RF,,,,
,,6 Justin Upton LF,,,,
,,7 Max Stassi C,,,,
,,8 Tyler Wade 3B,,,,
,,9 Luis Rengifo 2B,,,,
,,,1 Andrew Velazquez 2B,,,
,,,2 Brandon Marsh CF,,,
,,,3 Jo Adell LF,,,
,,,4 Jack Mayfield SS,,,
,,,5 Jose Rojas 3B,,,
,,,6 Taylor Ward RF,,,
,,,7 Matt Thaiss C,,,
,,,8 Jake Gatewood 1B,,,
,,,9 Braxton Martinez DH,,,
,,,,1 Brandon Marsh RF,,
,,,,2 Mike Trout CF,,
,,,,3 Jared Walsh 1B,,
,,,,4 Justin Upton LF,,
,,,,5 Max Stassi C,,
,,,,6 David Fletcher 2B,,
,,,,7 Tyler Wade SS,,
,,,,8 Michael Stefanic 3B,,
,,,,9 Trey Cabbage DH,,
,,,,,1 Shohei Ohtani DH,
,,,,,2 Mike Trout CF,
,,,,,3 Anthony Rendon 3B,
,,,,,4 Justin Upton LF,
,,,,,5 Jared Walsh 1B,
,,,,,6 Jo Adell RF,
,,,,,7 Tyler Wade 2B,
,,,,,8 David Fletcher SS,
,,,,,9 Austin Romine C,
,,,,,,1 Luis Rengifo SS
,,,,,,2 Tyler Wade DH
,,,,,,3 Jo Adell LF
,,,,,,4 Taylor Ward CF
,,,,,,5 Jack Mayfield 3B
,,,,,,6 Matt Thaiss C
,,,,,,7 Michael Stefanic 2B
,,,,,,8 Jake Gatewood 1B
,,,,,,9 Orlando Martinez RF
