03/17/2022,03/18/2022,03/19/2022,03/20/2022,03/21/2022,03/22/2022,03/23/2022
,1 Trea Turner SS,,,,,
,2 Justin Turner 3B,,,,,
,3 Will Smith C,,,,,
,4 AJ Pollock LF,,,,,
,5 Cody Bellinger CF,,,,,
,6 Chris Taylor DH,,,,,
,7 Gavin Lux 2B,,,,,
,8 Matt Beaty 1B,,,,,
,9 Zach McKinstry RF,,,,,
,,1 Trea Turner SS,,,,
,,2 Cody Bellinger CF,,,,
,,3 Chris Taylor DH,,,,
,,4 Austin Barnes C,,,,
,,5 Gavin Lux 2B,,,,
,,6 Edwin Rios 3B,,,,
,,7 Jake Lamb 1B,,,,
,,8 Stefen Romero LF,,,,
,,9 James Outman RF,,,,
,,,1 Chris Taylor DH,,,
,,,2 Justin Turner 3B,,,
,,,3 AJ Pollock LF,,,
,,,4 Will Smith C,,,
,,,5 Matt Beaty 1B,,,
,,,6 Zach McKinstry SS,,,
,,,7 Jason Martin RF,,,
,,,8 Michael Busch 2B,,,
,,,9 James Outman CF,,,
,,,,1 Trea Turner SS,,
,,,,2 Max Muncy 3B,,
,,,,3 Austin Barnes C,,
,,,,4 Cody Bellinger CF,,
,,,,5 Gavin Lux 2B,,
,,,,6 Edwin Rios DH,,
,,,,7 Stefen Romero LF,,
,,,,8 Jake Lamb 1B,,
,,,,9 Ryan Noda RF,,
,,,,,1 Trea Turner SS,
,,,,,2 Justin Turner 3B,
,,,,,3 Freddie Freeman 1B,
,,,,,4 Will Smith C,
,,,,,5 AJ Pollock LF,
,,,,,6 Cody Bellinger CF,
,,,,,7 Chris Taylor 2B,
,,,,,8 Edwin Rios DH,
,,,,,9 Zach McKinstry RF,
,1 Trea Turner SS,,,,,
,2 Justin Turner 3B,,,,,
,3 Will Smith C,,,,,
,4 AJ Pollock LF,,,,,
,5 Cody Bellinger CF,,,,,
,6 Chris Taylor DH,,,,,
,7 Gavin Lux 2B,,,,,
,8 Matt Beaty 1B,,,,,
,9 Zach McKinstry RF,,,,,
,,1 Trea Turner SS,,,,
,,2 Cody Bellinger CF,,,,
,,3 Chris Taylor DH,,,,
,,4 Austin Barnes C,,,,
,,5 Gavin Lux 2B,,,,
,,6 Edwin Rios 3B,,,,
,,7 Jake Lamb 1B,,,,
,,8 Stefen Romero LF,,,,
,,9 James Outman RF,,,,
,,,1 Chris Taylor DH,,,
,,,2 Justin Turner 3B,,,
,,,3 AJ Pollock LF,,,
,,,4 Will Smith C,,,
,,,5 Matt Beaty 1B,,,
,,,6 Zach McKinstry SS,,,
,,,7 Jason Martin RF,,,
,,,8 Michael Busch 2B,,,
,,,9 James Outman CF,,,
,,,,1 Trea Turner SS,,
,,,,2 Max Muncy 3B,,
,,,,3 Austin Barnes C,,
,,,,4 Cody Bellinger CF,,
,,,,5 Gavin Lux 2B,,
,,,,6 Edwin Rios DH,,
,,,,7 Stefen Romero LF,,
,,,,8 Jake Lamb 1B,,
,,,,9 Ryan Noda RF,,
,,,,,1 Trea Turner SS,
,,,,,2 Justin Turner 3B,
,,,,,3 Freddie Freeman 1B,
,,,,,4 Will Smith C,
,,,,,5 AJ Pollock LF,
,,,,,6 Cody Bellinger CF,
,,,,,7 Chris Taylor 2B,
,,,,,8 Edwin Rios DH,
,,,,,9 Zach McKinstry RF,
,,,,,,1 Gavin Lux LF
,,,,,,2 Max Muncy 2B
,,,,,,3 Justin Turner 3B
,,,,,,4 Will Smith C
,,,,,,5 Chris Taylor DH
,,,,,,6 Jake Lamb RF
,,,,,,7 Miguel Vargas 1B
,,,,,,8 Eddy Alvarez SS
,,,,,,9 James Outman CF
