03/17/2022,03/18/2022,03/19/2022,03/20/2022,03/21/2022,03/22/2022,03/23/2022
,1 Jazz Chisholm Jr. 2B,,,,,
,2 Jacob Stallings C,,,,,
,3 Jon Berti SS,,,,,
,4 Lorenzo Quintana DH,,,,,
,5 Lewin Diaz 1B,,,,,
,6 Isan Diaz 3B,,,,,
,7 Bryan De La Cruz LF,,,,,
,8 Jerar Encarnacion RF,,,,,
,9 Roman Quinn CF,,,,,
,,1 Miguel Rojas SS,,,,
,,2 Joey Wendle 2B,,,,
,,3 Garrett Cooper 1B,,,,
,,4 Avisail Garcia RF,,,,
,,5 Jesus Aguilar DH,,,,
,,6 Brian Anderson 3B,,,,
,,7 Jesus Sanchez CF,,,,
,,8 Nick Fortes C,,,,
,,9 JJ Bleday LF,,,,
,,,,1 Jazz Chisholm Jr. 2B,,
,,,,2 Garrett Cooper 1B,,
,,,,3 Jesus Sanchez CF,,
,,,,4 Avisail Garcia RF,,
,,,,5 Jesus Aguilar DH,,
,,,,6 Joey Wendle 3B,,
,,,,7 Brian Anderson LF,,
,,,,8 Jacob Stallings C,,
,,,,9 Miguel Rojas SS,,
,,,,,1 Jazz Chisholm Jr. 2B,
,,,,,2 Lewin Diaz DH,
,,,,,3 Avisail Garcia RF,
,,,,,4 Jesus Aguilar 1B,
,,,,,5 Miguel Rojas SS,
,,,,,6 Willians Astudillo 3B,
,,,,,7 Jesus Sanchez CF,
,,,,,8 Payton Henry C,
,,,,,9 Bryan De La Cruz LF,
,1 Jazz Chisholm Jr. 2B,,,,,
,2 Jacob Stallings C,,,,,
,3 Jon Berti SS,,,,,
,4 Lorenzo Quintana DH,,,,,
,5 Lewin Diaz 1B,,,,,
,6 Isan Diaz 3B,,,,,
,7 Bryan De La Cruz LF,,,,,
,8 Jerar Encarnacion RF,,,,,
,9 Roman Quinn CF,,,,,
,,1 Miguel Rojas SS,,,,
,,2 Joey Wendle 2B,,,,
,,3 Garrett Cooper 1B,,,,
,,4 Avisail Garcia RF,,,,
,,5 Jesus Aguilar DH,,,,
,,6 Brian Anderson 3B,,,,
,,7 Jesus Sanchez CF,,,,
,,8 Nick Fortes C,,,,
,,9 JJ Bleday LF,,,,
,,,,1 Jazz Chisholm Jr. 2B,,
,,,,2 Garrett Cooper 1B,,
,,,,3 Jesus Sanchez CF,,
,,,,4 Avisail Garcia RF,,
,,,,5 Jesus Aguilar DH,,
,,,,6 Joey Wendle 3B,,
,,,,7 Brian Anderson LF,,
,,,,8 Jacob Stallings C,,
,,,,9 Miguel Rojas SS,,
,,,,,1 Jazz Chisholm Jr. 2B,
,,,,,2 Lewin Diaz DH,
,,,,,3 Avisail Garcia RF,
,,,,,4 Jesus Aguilar 1B,
,,,,,5 Miguel Rojas SS,
,,,,,6 Willians Astudillo 3B,
,,,,,7 Jesus Sanchez CF,
,,,,,8 Payton Henry C,
,,,,,9 Bryan De La Cruz LF,
,,,,,,1 Jon Berti CF
,,,,,,2 Joey Wendle SS
,,,,,,3 Jacob Stallings C
,,,,,,4 Willians Astudillo 1B
,,,,,,5 Brian Anderson 3B
,,,,,,6 Delino DeShields RF
,,,,,,7 Erik Gonzalez 2B
,,,,,,8 Alex Jackson DH
,,,,,,9 Roman Quinn LF
