03/17/2022,03/18/2022,03/19/2022,03/20/2022,03/21/2022,03/22/2022,03/23/2022
,1 Jace Peterson 2B,,,,,
,2 Willy Adames SS,,,,,
,3 Christian Yelich LF,,,,,
,4 Hunter Renfroe RF,,,,,
,5 Keston Hiura 1B,,,,,
,6 Mike Brosseau 3B,,,,,
,7 Corey Ray CF,,,,,
,8 Mario Feliciano C,,,,,
,9 Tyler White DH,,,,,
,,1 Kolten Wong 2B,,,,
,,2 Luis Urias SS,,,,
,,3 Rowdy Tellez 1B,,,,
,,4 Pedro Severino C,,,,
,,5 Tyrone Taylor CF,,,,
,,6 Abraham Almonte LF,,,,
,,7 Pablo Reyes 3B,,,,
,,8 David Dahl DH,,,,
,,9 Jonathan Davis RF,,,,
,,,1 Omar Narvaez C,,,
,,,2 Willy Adames SS,,,
,,,3 Christian Yelich LF,,,
,,,4 Hunter Renfroe RF,,,
,,,5 Keston Hiura 1B,,,
,,,6 Jace Peterson 3B,,,
,,,7 Mike Brosseau 2B,,,
,,,8 Tyler White DH,,,
,,,9 Jonathan Davis CF,,,
,,,,1 Kolten Wong 2B,,
,,,,2 Willy Adames SS,,
,,,,3 Christian Yelich LF,,
,,,,4 Andrew McCutchen DH,,
,,,,5 Rowdy Tellez 1B,,
,,,,6 Pedro Severino C,,
,,,,7 Tyrone Taylor CF,,
,,,,8 David Dahl RF,,
,,,,9 Pablo Reyes 3B,,
,,,,,1 Lorenzo Cain CF,
,,,,,2 Omar Narvaez C,
,,,,,3 Hunter Renfroe RF,
,,,,,4 Keston Hiura DH,
,,,,,5 Mike Brosseau 1B,
,,,,,6 Pablo Reyes 2B,
,,,,,7 Jace Peterson 3B,
,,,,,8 Jonathan Davis LF,
,,,,,9 Andruw Monasterio SS,
,1 Jace Peterson 2B,,,,,
,2 Willy Adames SS,,,,,
,3 Christian Yelich LF,,,,,
,4 Hunter Renfroe RF,,,,,
,5 Keston Hiura 1B,,,,,
,6 Mike Brosseau 3B,,,,,
,7 Corey Ray CF,,,,,
,8 Mario Feliciano C,,,,,
,9 Tyler White DH,,,,,
,,1 Kolten Wong 2B,,,,
,,2 Luis Urias SS,,,,
,,3 Rowdy Tellez 1B,,,,
,,4 Pedro Severino C,,,,
,,5 Tyrone Taylor CF,,,,
,,6 Abraham Almonte LF,,,,
,,7 Pablo Reyes 3B,,,,
,,8 David Dahl DH,,,,
,,9 Jonathan Davis RF,,,,
,,,1 Omar Narvaez C,,,
,,,2 Willy Adames SS,,,
,,,3 Christian Yelich LF,,,
,,,4 Hunter Renfroe RF,,,
,,,5 Keston Hiura 1B,,,
,,,6 Jace Peterson 3B,,,
,,,7 Mike Brosseau 2B,,,
,,,8 Tyler White DH,,,
,,,9 Jonathan Davis CF,,,
,,,,1 Kolten Wong 2B,,
,,,,2 Willy Adames SS,,
,,,,3 Christian Yelich LF,,
,,,,4 Andrew McCutchen DH,,
,,,,5 Rowdy Tellez 1B,,
,,,,6 Pedro Severino C,,
,,,,7 Tyrone Taylor CF,,
,,,,8 David Dahl RF,,
,,,,9 Pablo Reyes 3B,,
,,,,,1 Lorenzo Cain CF,
,,,,,2 Omar Narvaez C,
,,,,,3 Hunter Renfroe RF,
,,,,,4 Keston Hiura DH,
,,,,,5 Mike Brosseau 1B,
,,,,,6 Pablo Reyes 2B,
,,,,,7 Jace Peterson 3B,
,,,,,8 Jonathan Davis LF,
,,,,,9 Andruw Monasterio SS,
