03/17/2022,03/18/2022,03/19/2022,03/20/2022,03/21/2022,03/22/2022,03/23/2022
1 Byron Buxton CF,,,,,,
2 Luis Arraez 3B,,,,,,
3 Jorge Polanco 2B,,,,,,
4 Miguel Sano 1B,,,,,,
5 Gary Sanchez DH,,,,,,
6 Max Kepler RF,,,,,,
7 Ryan Jeffers C,,,,,,
8 Trevor Larnach LF,,,,,,
9 Nick Gordon SS,,,,,,
,1 Royce Lewis SS,,,,,
,2 Gio Urshela 3B,,,,,
,3 Alex Kirilloff 1B,,,,,
,4 Kyle Garlick LF,,,,,
,5 Jake Cave RF,,,,,
,6 Gilberto Celestino CF,,,,,
,7 Tim Beckham DH,,,,,
,8 Daniel Robertson 2B,,,,,
,9 David Banuelos C,,,,,
,,1 Byron Buxton CF,,,,
,,2 Luis Arraez 3B,,,,
,,3 Jorge Polanco 2B,,,,
,,4 Miguel Sano 1B,,,,
,,5 Gary Sanchez C,,,,
,,6 Max Kepler RF,,,,
,,7 Trevor Larnach DH,,,,
,,8 Nick Gordon SS,,,,
,,9 Brent Rooker LF,,,,
,,,1 Luis Arraez 2B,,,
,,,2 Gio Urshela 3B,,,
,,,3 Miguel Sano DH,,,
,,,4 Alex Kirilloff 1B,,,
,,,5 Ryan Jeffers C,,,
,,,6 Nick Gordon LF,,,
,,,7 Royce Lewis SS,,,
,,,8 Jake Cave CF,,,
,,,9 Gilberto Celestino RF,,,
,,,,1 Austin Martin SS,,
,,,,2 Jose Miranda 3B,,
,,,,3 Ryan Jeffers DH,,
,,,,4 Brent Rooker LF,,
,,,,5 Jake Cave CF,,
,,,,6 Jose Godoy C,,
,,,,7 Kyle Garlick RF,,
,,,,8 Curtis Terry 1B,,
,,,,9 Jermaine Palacios 2B,,
,,,,,1 Byron Buxton CF,
,,,,,2 Jorge Polanco DH,
,,,,,3 Luis Arraez 2B,
,,,,,4 Miguel Sano 1B,
,,,,,5 Gary Sanchez C,
,,,,,6 Max Kepler RF,
,,,,,7 Gio Urshela 3B,
,,,,,8 Alex Kirilloff LF,
,,,,,9 Nick Gordon SS,
1 Byron Buxton CF,,,,,,
2 Luis Arraez 3B,,,,,,
3 Jorge Polanco 2B,,,,,,
4 Miguel Sano 1B,,,,,,
5 Gary Sanchez DH,,,,,,
6 Max Kepler RF,,,,,,
7 Ryan Jeffers C,,,,,,
8 Trevor Larnach LF,,,,,,
9 Nick Gordon SS,,,,,,
,1 Royce Lewis SS,,,,,
,2 Gio Urshela 3B,,,,,
,3 Alex Kirilloff 1B,,,,,
,4 Kyle Garlick LF,,,,,
,5 Jake Cave RF,,,,,
,6 Gilberto Celestino CF,,,,,
,7 Tim Beckham DH,,,,,
,8 Daniel Robertson 2B,,,,,
,9 David Banuelos C,,,,,
,,1 Byron Buxton CF,,,,
,,2 Luis Arraez 3B,,,,
,,3 Jorge Polanco 2B,,,,
,,4 Miguel Sano 1B,,,,
,,5 Gary Sanchez C,,,,
,,6 Max Kepler RF,,,,
,,7 Trevor Larnach DH,,,,
,,8 Nick Gordon SS,,,,
,,9 Brent Rooker LF,,,,
,,,1 Luis Arraez 2B,,,
,,,2 Gio Urshela 3B,,,
,,,3 Miguel Sano DH,,,
,,,4 Alex Kirilloff 1B,,,
,,,5 Ryan Jeffers C,,,
,,,6 Nick Gordon LF,,,
,,,7 Royce Lewis SS,,,
,,,8 Jake Cave CF,,,
,,,9 Gilberto Celestino RF,,,
,,,,1 Austin Martin SS,,
,,,,2 Jose Miranda 3B,,
,,,,3 Ryan Jeffers DH,,
,,,,4 Brent Rooker LF,,
,,,,5 Jake Cave CF,,
,,,,6 Jose Godoy C,,
,,,,7 Kyle Garlick RF,,
,,,,8 Curtis Terry 1B,,
,,,,9 Jermaine Palacios 2B,,
,,,,,1 Byron Buxton CF,
,,,,,2 Jorge Polanco DH,
,,,,,3 Luis Arraez 2B,
,,,,,4 Miguel Sano 1B,
,,,,,5 Gary Sanchez C,
,,,,,6 Max Kepler RF,
,,,,,7 Gio Urshela 3B,
,,,,,8 Alex Kirilloff LF,
,,,,,9 Nick Gordon SS,
,,,,,,1 Byron Buxton DH
,,,,,,2 Jorge Polanco 2B
,,,,,,3 Miguel Sano 1B
,,,,,,4 Max Kepler RF
,,,,,,5 Gio Urshela 3B
,,,,,,6 Ryan Jeffers C
,,,,,,7 Trevor Larnach LF
,,,,,,8 Jake Cave CF
,,,,,,9 Jermaine Palacios SS
