03/17/2022,03/18/2022,03/19/2022,03/20/2022,03/21/2022,03/22/2022,03/23/2022
,,1 Luis Guillorme SS,,,,
,,2 J.D. Davis 3B,,,,
,,3 Dominic Smith 1B,,,,
,,4 Daniel Palka DH,,,,
,,5 Tomas Nido C,,,,
,,6 Nick Plummer LF,,,,
,,7 Matt Reynolds 2B,,,,
,,8 Khalil Lee RF,,,,
,,9 Jake Mangum CF,,,,
,,,1 Brandon Nimmo CF,,,
,,,2 Francisco Lindor SS,,,
,,,3 Jeff McNeil 2B,,,
,,,4 Pete Alonso 1B,,,
,,,5 Robinson Cano DH,,,
,,,6 Eduardo Escobar 3B,,,
,,,7 Mark Canha LF,,,
,,,8 James McCann C,,,
,,,9 Travis Jankowski RF,,,
,,,,1 Luis Guillorme SS,,
,,,,2 J.D. Davis 3B,,
,,,,3 Dominic Smith 1B,,
,,,,4 Daniel Palka LF,,
,,,,5 Mark Vientos DH,,
,,,,6 Nick Plummer RF,,
,,,,7 Tomas Nido C,,
,,,,8 Khalil Lee CF,,
,,,,9 Matt Reynolds 2B,,
,,,,,1 Brandon Nimmo CF,
,,,,,2 Francisco Lindor SS,
,,,,,3 Jeff McNeil DH,
,,,,,4 Pete Alonso 1B,
,,,,,5 Robinson Cano 2B,
,,,,,6 Eduardo Escobar 3B,
,,,,,7 Mark Canha RF,
,,,,,8 Dominic Smith LF,
,,,,,9 Tomas Nido C,
,,1 Luis Guillorme SS,,,,
,,2 J.D. Davis 3B,,,,
,,3 Dominic Smith 1B,,,,
,,4 Daniel Palka DH,,,,
,,5 Tomas Nido C,,,,
,,6 Nick Plummer LF,,,,
,,7 Matt Reynolds 2B,,,,
,,8 Khalil Lee RF,,,,
,,9 Jake Mangum CF,,,,
,,,1 Brandon Nimmo CF,,,
,,,2 Francisco Lindor SS,,,
,,,3 Jeff McNeil 2B,,,
,,,4 Pete Alonso 1B,,,
,,,5 Robinson Cano DH,,,
,,,6 Eduardo Escobar 3B,,,
,,,7 Mark Canha LF,,,
,,,8 James McCann C,,,
,,,9 Travis Jankowski RF,,,
,,,,1 Luis Guillorme SS,,
,,,,2 J.D. Davis 3B,,
,,,,3 Dominic Smith 1B,,
,,,,4 Daniel Palka LF,,
,,,,5 Mark Vientos DH,,
,,,,6 Nick Plummer RF,,
,,,,7 Tomas Nido C,,
,,,,8 Khalil Lee CF,,
,,,,9 Matt Reynolds 2B,,
,,,,,1 Brandon Nimmo CF,
,,,,,2 Francisco Lindor SS,
,,,,,3 Jeff McNeil DH,
,,,,,4 Pete Alonso 1B,
,,,,,5 Robinson Cano 2B,
,,,,,6 Eduardo Escobar 3B,
,,,,,7 Mark Canha RF,
,,,,,8 Dominic Smith LF,
,,,,,9 Tomas Nido C,
