03/17/2022,03/18/2022,03/19/2022,03/20/2022,03/21/2022,03/22/2022,03/23/2022
,1 Isiah Kiner-Falefa SS,,,,,
,2 Joey Gallo LF,,,,,
,3 Gleyber Torres 2B,,,,,
,4 Austin Wells DH,,,,,
,5 Jose Peraza 3B,,,,,
,6 Ender Inciarte CF,,,,,
,7 Phillip Evans 1B,,,,,
,8 Rob Brantly C,,,,,
,9 Estevan Florial RF,,,,,
,,1 DJ LeMahieu 2B,,,,
,,2 Josh Donaldson 3B,,,,
,,3 Aaron Hicks CF,,,,
,,4 Miguel Andujar LF,,,,
,,5 Kyle Higashioka C,,,,
,,6 Tim Locastro RF,,,,
,,7 Phillip Evans 1B,,,,
,,8 Oswald Peraza SS,,,,
,,9 David Freitas DH,,,,
,,,1 Anthony Rizzo 1B,,,
,,,2 Aaron Judge RF,,,
,,,3 Joey Gallo LF,,,
,,,4 Giancarlo Stanton DH,,,
,,,5 Gleyber Torres 2B,,,
,,,6 Isiah Kiner-Falefa SS,,,
,,,7 Ender Inciarte CF,,,
,,,8 Jose Peraza 3B,,,
,,,9 David Freitas C,,,
,,,,1 DJ LeMahieu 2B,,
,,,,2 Aaron Judge DH,,
,,,,3 Joey Gallo LF,,
,,,,4 Giancarlo Stanton RF,,
,,,,5 Josh Donaldson 3B,,
,,,,6 Aaron Hicks CF,,
,,,,7 Kyle Higashioka C,,
,,,,8 Phillip Evans 1B,,
,,,,9 Oswald Peraza SS,,
,,,,,1 Anthony Rizzo 1B,
,,,,,2 Gleyber Torres 2B,
,,,,,3 Ender Inciarte LF,
,,,,,4 Miguel Andujar DH,
,,,,,5 Estevan Florial CF,
,,,,,6 Jose Peraza 3B,
,,,,,7 Ryan LaMarre RF,
,,,,,8 Rob Brantly C,
,,,,,9 Oswald Peraza SS,
,1 Isiah Kiner-Falefa SS,,,,,
,2 Joey Gallo LF,,,,,
,3 Gleyber Torres 2B,,,,,
,4 Austin Wells DH,,,,,
,5 Jose Peraza 3B,,,,,
,6 Ender Inciarte CF,,,,,
,7 Phillip Evans 1B,,,,,
,8 Rob Brantly C,,,,,
,9 Estevan Florial RF,,,,,
,,1 DJ LeMahieu 2B,,,,
,,2 Josh Donaldson 3B,,,,
,,3 Aaron Hicks CF,,,,
,,4 Miguel Andujar LF,,,,
,,5 Kyle Higashioka C,,,,
,,6 Tim Locastro RF,,,,
,,7 Phillip Evans 1B,,,,
,,8 Oswald Peraza SS,,,,
,,9 David Freitas DH,,,,
,,,1 Anthony Rizzo 1B,,,
,,,2 Aaron Judge RF,,,
,,,3 Joey Gallo LF,,,
,,,4 Giancarlo Stanton DH,,,
,,,5 Gleyber Torres 2B,,,
,,,6 Isiah Kiner-Falefa SS,,,
,,,7 Ender Inciarte CF,,,
,,,8 Jose Peraza 3B,,,
,,,9 David Freitas C,,,
,,,,1 DJ LeMahieu 2B,,
,,,,2 Aaron Judge DH,,
,,,,3 Joey Gallo LF,,
,,,,4 Giancarlo Stanton RF,,
,,,,5 Josh Donaldson 3B,,
,,,,6 Aaron Hicks CF,,
,,,,7 Kyle Higashioka C,,
,,,,8 Phillip Evans 1B,,
,,,,9 Oswald Peraza SS,,
,,,,,1 Anthony Rizzo 1B,
,,,,,2 Gleyber Torres 2B,
,,,,,3 Ender Inciarte LF,
,,,,,4 Miguel Andujar DH,
,,,,,5 Estevan Florial CF,
,,,,,6 Jose Peraza 3B,
,,,,,7 Ryan LaMarre RF,
,,,,,8 Rob Brantly C,
,,,,,9 Oswald Peraza SS,
