03/17/2022,03/18/2022,03/19/2022,03/20/2022,03/21/2022,03/22/2022,03/23/2022
,1 Tony Kemp 2B,,,,,
,2 Elvis Andrus SS,,,,,
,3 Sean Murphy C,,,,,
,4 Seth Brown RF,,,,,
,5 Chad Pinder LF,,,,,
,6 Eric Thames DH,,,,,
,7 Ramon Laureano CF,,,,,
,8 Dalton Kelly 1B,,,,,
,9 Kevin Smith 3B,,,,,
,,1 Cristian Pache CF,,,,
,,2 Vimael Machin SS,,,,
,,3 Austin Allen C,,,,
,,4 Dermis Garcia 1B,,,,
,,5 Skye Bolt RF,,,,
,,6 Drew Jackson LF,,,,
,,7 Tyler Soderstrom DH,,,,
,,8 Jordan Diaz 3B,,,,
,,9 Nick Allen 2B,,,,
,,,1 Elvis Andrus SS,,,
,,,2 Tony Kemp 2B,,,
,,,3 Sean Murphy C,,,
,,,4 Chad Pinder LF,,,
,,,5 Seth Brown RF,,,
,,,6 Ramon Laureano CF,,,
,,,7 Eric Thames DH,,,
,,,8 Sheldon Neuse 3B,,,
,,,9 Billy McKinney 1B,,,
,,,,,1 Cristian Pache CF,
,,,,,2 Kevin Smith SS,
,,,,,3 Ramon Laureano RF,
,,,,,4 Christian Bethancourt DH,
,,,,,5 Austin Allen C,
,,,,,6 Sheldon Neuse 2B,
,,,,,7 Dalton Kelly 1B,
,,,,,8 Zack Gelof 3B,
,,,,,9 Skye Bolt LF,
,1 Tony Kemp 2B,,,,,
,2 Elvis Andrus SS,,,,,
,3 Sean Murphy C,,,,,
,4 Seth Brown RF,,,,,
,5 Chad Pinder LF,,,,,
,6 Eric Thames DH,,,,,
,7 Ramon Laureano CF,,,,,
,8 Dalton Kelly 1B,,,,,
,9 Kevin Smith 3B,,,,,
,,1 Cristian Pache CF,,,,
,,2 Vimael Machin SS,,,,
,,3 Austin Allen C,,,,
,,4 Dermis Garcia 1B,,,,
,,5 Skye Bolt RF,,,,
,,6 Drew Jackson LF,,,,
,,7 Tyler Soderstrom DH,,,,
,,8 Jordan Diaz 3B,,,,
,,9 Nick Allen 2B,,,,
,,,1 Elvis Andrus SS,,,
,,,2 Tony Kemp 2B,,,
,,,3 Sean Murphy C,,,
,,,4 Chad Pinder LF,,,
,,,5 Seth Brown RF,,,
,,,6 Ramon Laureano CF,,,
,,,7 Eric Thames DH,,,
,,,8 Sheldon Neuse 3B,,,
,,,9 Billy McKinney 1B,,,
,,,,,1 Cristian Pache CF,
,,,,,2 Kevin Smith SS,
,,,,,3 Ramon Laureano RF,
,,,,,4 Christian Bethancourt DH,
,,,,,5 Austin Allen C,
,,,,,6 Sheldon Neuse 2B,
,,,,,7 Dalton Kelly 1B,
,,,,,8 Zack Gelof 3B,
,,,,,9 Skye Bolt LF,
,,,,,,1 Tony Kemp 2B
,,,,,,2 Elvis Andrus SS
,,,,,,3 Sean Murphy C
,,,,,,4 Seth Brown 1B
,,,,,,5 Chad Pinder 3B
,,,,,,6 Eric Thames DH
,,,,,,7 Dalton Kelly LF
,,,,,,8 Skye Bolt CF
,,,,,,9 Billy McKinney RF
