03/17/2022,03/18/2022,03/19/2022,03/20/2022,03/21/2022,03/22/2022,03/23/2022
,1 Johan Rojas CF,,,,,
,2 Bryson Stott SS,,,,,
,3 Alec Bohm 3B,,,,,
,4 Darick Hall 1B,,,,,
,5 Donny Sands C,,,,,
,6 Mickey Moniak RF,,,,,
,7 Justin Williams LF,,,,,
,8 Nick Maton 2B,,,,,
,9 Jhailyn Ortiz DH,,,,,
,,1 Matt Vierling CF,,,,
,,2 Jean Segura 2B,,,,
,,3 Bryce Harper DH,,,,
,,4 J.T. Realmuto C,,,,
,,5 Rhys Hoskins 1B,,,,
,,6 Didi Gregorius SS,,,,
,,7 Johan Camargo 3B,,,,
,,8 Adam Haseley LF,,,,
,,9 Luke Williams RF,,,,
,,,1 Johan Rojas CF,,,
,,,2 Bryson Stott SS,,,
,,,3 Alec Bohm 3B,,,
,,,4 Johan Camargo 2B,,,
,,,5 Darick Hall 1B,,,
,,,6 Mickey Moniak LF,,,
,,,7 Garrett Stubbs C,,,
,,,8 Simon Muzziotti RF,,,
,,,9 Justin Williams DH,,,
,,,,1 Matt Vierling CF,,
,,,,2 Jean Segura 2B,,
,,,,3 Bryce Harper DH,,
,,,,4 J.T. Realmuto C,,
,,,,5 Rhys Hoskins 1B,,
,,,,6 Didi Gregorius SS,,
,,,,7 Adam Haseley LF,,
,,,,8 Yairo Munoz 3B,,
,,,,9 Mickey Moniak RF,,
,,,,,1 Bryson Stott SS,
,,,,,2 Alec Bohm 3B,
,,,,,3 Bryce Harper RF,
,,,,,4 Darick Hall 1B,
,,,,,5 Donny Sands C,
,,,,,6 Matt Vierling DH,
,,,,,7 Nick Maton 2B,
,,,,,8 Justin Williams LF,
,,,,,9 Simon Muzziotti CF,
,1 Johan Rojas CF,,,,,
,2 Bryson Stott SS,,,,,
,3 Alec Bohm 3B,,,,,
,4 Darick Hall 1B,,,,,
,5 Donny Sands C,,,,,
,6 Mickey Moniak RF,,,,,
,7 Justin Williams LF,,,,,
,8 Nick Maton 2B,,,,,
,9 Jhailyn Ortiz DH,,,,,
,,1 Matt Vierling CF,,,,
,,2 Jean Segura 2B,,,,
,,3 Bryce Harper DH,,,,
,,4 J.T. Realmuto C,,,,
,,5 Rhys Hoskins 1B,,,,
,,6 Didi Gregorius SS,,,,
,,7 Johan Camargo 3B,,,,
,,8 Adam Haseley LF,,,,
,,9 Luke Williams RF,,,,
,,,1 Johan Rojas CF,,,
,,,2 Bryson Stott SS,,,
,,,3 Alec Bohm 3B,,,
,,,4 Johan Camargo 2B,,,
,,,5 Darick Hall 1B,,,
,,,6 Mickey Moniak LF,,,
,,,7 Garrett Stubbs C,,,
,,,8 Simon Muzziotti RF,,,
,,,9 Justin Williams DH,,,
,,,,1 Matt Vierling CF,,
,,,,2 Jean Segura 2B,,
,,,,3 Bryce Harper DH,,
,,,,4 J.T. Realmuto C,,
,,,,5 Rhys Hoskins 1B,,
,,,,6 Didi Gregorius SS,,
,,,,7 Adam Haseley LF,,
,,,,8 Yairo Munoz 3B,,
,,,,9 Mickey Moniak RF,,
,,,,,1 Bryson Stott SS,
,,,,,2 Alec Bohm 3B,
,,,,,3 Bryce Harper RF,
,,,,,4 Darick Hall 1B,
,,,,,5 Donny Sands C,
,,,,,6 Matt Vierling DH,
,,,,,7 Nick Maton 2B,
,,,,,8 Justin Williams LF,
,,,,,9 Simon Muzziotti CF,
,,,,,,1 Kyle Schwarber DH
,,,,,,2 Jean Segura 2B
,,,,,,3 Bryce Harper RF
,,,,,,4 J.T. Realmuto C
,,,,,,5 Rhys Hoskins 1B
,,,,,,6 Didi Gregorius SS
,,,,,,7 Alec Bohm 3B
,,,,,,8 Matt Vierling LF
,,,,,,9 Adam Haseley CF
