03/17/2022,03/18/2022,03/19/2022,03/20/2022,03/21/2022,03/22/2022,03/23/2022
,1 Cole Tucker SS,,,,,
,2 Greg Allen LF,,,,,
,3 Roberto Perez C,,,,,
,4 Michael Chavis 2B,,,,,
,5 Diego Castillo 3B,,,,,
,6 Jared Oliva CF,,,,,
,7 Cal Mitchell RF,,,,,
,8 Mason Martin 1B,,,,,
,9 Endy Rodriguez DH,,,,,
,,1 Ke'Bryan Hayes 3B,,,,
,,2 Bryan Reynolds CF,,,,
,,3 Ben Gamel RF,,,,
,,4 Yoshi Tsutsugo 1B,,,,
,,5 Daniel Vogelbach DH,,,,
,,6 Anthony Alford LF,,,,
,,7 Oneil Cruz SS,,,,
,,8 Rodolfo Castro 2B,,,,
,,9 Michael Perez C,,,,
,,,1 Kevin Newman SS,,,
,,,2 Greg Allen CF,,,
,,,3 Roberto Perez C,,,
,,,4 Michael Chavis 1B,,,
,,,5 Cole Tucker 2B,,,
,,,6 Rodolfo Castro DH,,,
,,,7 Diego Castillo 3B,,,
,,,8 Jared Oliva LF,,,
,,,9 Cal Mitchell RF,,,
,,,,1 Anthony Alford RF,,
,,,,2 Bryan Reynolds CF,,
,,,,3 Daniel Vogelbach 1B,,
,,,,4 Yoshi Tsutsugo DH,,
,,,,5 Rodolfo Castro 3B,,
,,,,6 Ben Gamel LF,,
,,,,7 Oneil Cruz SS,,
,,,,8 Nick Gonzales 2B,,
,,,,9 Jamie Ritchie C,,
,,,,,1 Cole Tucker RF,
,,,,,2 Bryan Reynolds DH,
,,,,,3 Ke'Bryan Hayes 3B,
,,,,,4 Yoshi Tsutsugo 1B,
,,,,,5 Roberto Perez C,
,,,,,6 Kevin Newman SS,
,,,,,7 Michael Chavis 2B,
,,,,,8 Greg Allen CF,
,,,,,9 Ben Gamel LF,
,1 Cole Tucker SS,,,,,
,2 Greg Allen LF,,,,,
,3 Roberto Perez C,,,,,
,4 Michael Chavis 2B,,,,,
,5 Diego Castillo 3B,,,,,
,6 Jared Oliva CF,,,,,
,7 Cal Mitchell RF,,,,,
,8 Mason Martin 1B,,,,,
,9 Endy Rodriguez DH,,,,,
,,1 Ke'Bryan Hayes 3B,,,,
,,2 Bryan Reynolds CF,,,,
,,3 Ben Gamel RF,,,,
,,4 Yoshi Tsutsugo 1B,,,,
,,5 Daniel Vogelbach DH,,,,
,,6 Anthony Alford LF,,,,
,,7 Oneil Cruz SS,,,,
,,8 Rodolfo Castro 2B,,,,
,,9 Michael Perez C,,,,
,,,1 Kevin Newman SS,,,
,,,2 Greg Allen CF,,,
,,,3 Roberto Perez C,,,
,,,4 Michael Chavis 1B,,,
,,,5 Cole Tucker 2B,,,
,,,6 Rodolfo Castro DH,,,
,,,7 Diego Castillo 3B,,,
,,,8 Jared Oliva LF,,,
,,,9 Cal Mitchell RF,,,
,,,,1 Anthony Alford RF,,
,,,,2 Bryan Reynolds CF,,
,,,,3 Daniel Vogelbach 1B,,
,,,,4 Yoshi Tsutsugo DH,,
,,,,5 Rodolfo Castro 3B,,
,,,,6 Ben Gamel LF,,
,,,,7 Oneil Cruz SS,,
,,,,8 Nick Gonzales 2B,,
,,,,9 Jamie Ritchie C,,
,,,,,1 Cole Tucker RF,
,,,,,2 Bryan Reynolds DH,
,,,,,3 Ke'Bryan Hayes 3B,
,,,,,4 Yoshi Tsutsugo 1B,
,,,,,5 Roberto Perez C,
,,,,,6 Kevin Newman SS,
,,,,,7 Michael Chavis 2B,
,,,,,8 Greg Allen CF,
,,,,,9 Ben Gamel LF,
,,,,,,1 Jared Oliva LF
,,,,,,2 Hoy Park 2B
,,,,,,3 Michael Chavis DH
,,,,,,4 Daniel Vogelbach 1B
,,,,,,5 Anthony Alford CF
,,,,,,6 Oneil Cruz SS
,,,,,,7 Diego Castillo 3B
,,,,,,8 Michael Perez C
,,,,,,9 Canaan Smith-Njigba RF
