03/17/2022,03/18/2022,03/19/2022,03/20/2022,03/21/2022,03/22/2022,03/23/2022
,1 Trent Grisham CF,,,,,
,2 Manny Machado 3B,,,,,
,3 Austin Nola C,,,,,
,4 Wil Myers RF,,,,,
,5 Eric Hosmer 1B,,,,,
,6 Luis Campusano DH,,,,,
,7 Jurickson Profar LF,,,,,
,8 CJ Abrams SS,,,,,
,9 Eguy Rosario 2B,,,,,
,,1 CJ Abrams 2B,,,,
,,2 Ha-Seong Kim SS,,,,
,,3 Luis Campusano DH,,,,
,,4 Trayce Thompson CF,,,,
,,5 Nomar Mazara RF,,,,
,,6 Aderlin Rodriguez 1B,,,,
,,7 Victor Caratini C,,,,
,,8 Luis Liberato LF,,,,
,,9 Domingo Leyba 3B,,,,
,,,1 Trent Grisham CF,,,
,,,2 Jurickson Profar LF,,,
,,,3 Austin Nola C,,,
,,,4 Wil Myers DH,,,
,,,5 Nomar Mazara RF,,,
,,,6 Eguy Rosario 3B,,,
,,,7 Domingo Leyba 2B,,,
,,,8 Taylor Kohlwey 1B,,,
,,,9 C.J. Hinojosa SS,,,
,,,,1 Trent Grisham CF,,
,,,,2 Jurickson Profar LF,,
,,,,3 Manny Machado 3B,,
,,,,4 Luke Voit DH,,
,,,,5 Eric Hosmer 1B,,
,,,,6 Wil Myers RF,,
,,,,7 Ha-Seong Kim SS,,
,,,,8 Victor Caratini C,,
,,,,9 CJ Abrams 2B,,
,,,,,1 CJ Abrams 2B,
,,,,,2 Austin Nola C,
,,,,,3 Jurickson Profar LF,
,,,,,4 Luis Campusano DH,
,,,,,5 Nomar Mazara RF,
,,,,,6 Ha-Seong Kim SS,
,,,,,7 Trayce Thompson CF,
,,,,,8 Aderlin Rodriguez 1B,
,,,,,9 Eguy Rosario 3B,
,1 Trent Grisham CF,,,,,
,2 Manny Machado 3B,,,,,
,3 Austin Nola C,,,,,
,4 Wil Myers RF,,,,,
,5 Eric Hosmer 1B,,,,,
,6 Luis Campusano DH,,,,,
,7 Jurickson Profar LF,,,,,
,8 CJ Abrams SS,,,,,
,9 Eguy Rosario 2B,,,,,
,,1 CJ Abrams 2B,,,,
,,2 Ha-Seong Kim SS,,,,
,,3 Luis Campusano DH,,,,
,,4 Trayce Thompson CF,,,,
,,5 Nomar Mazara RF,,,,
,,6 Aderlin Rodriguez 1B,,,,
,,7 Victor Caratini C,,,,
,,8 Luis Liberato LF,,,,
,,9 Domingo Leyba 3B,,,,
,,,1 Trent Grisham CF,,,
,,,2 Jurickson Profar LF,,,
,,,3 Austin Nola C,,,
,,,4 Wil Myers DH,,,
,,,5 Nomar Mazara RF,,,
,,,6 Eguy Rosario 3B,,,
,,,7 Domingo Leyba 2B,,,
,,,8 Taylor Kohlwey 1B,,,
,,,9 C.J. Hinojosa SS,,,
,,,,1 Trent Grisham CF,,
,,,,2 Jurickson Profar LF,,
,,,,3 Manny Machado 3B,,
,,,,4 Luke Voit DH,,
,,,,5 Eric Hosmer 1B,,
,,,,6 Wil Myers RF,,
,,,,7 Ha-Seong Kim SS,,
,,,,8 Victor Caratini C,,
,,,,9 CJ Abrams 2B,,
,,,,,1 CJ Abrams 2B,
,,,,,2 Austin Nola C,
,,,,,3 Jurickson Profar LF,
,,,,,4 Luis Campusano DH,
,,,,,5 Nomar Mazara RF,
,,,,,6 Ha-Seong Kim SS,
,,,,,7 Trayce Thompson CF,
,,,,,8 Aderlin Rodriguez 1B,
,,,,,9 Eguy Rosario 3B,
,,,,,,1 Trent Grisham CF
,,,,,,2 Manny Machado 3B
,,,,,,3 Jake Cronenworth 2B
,,,,,,4 Luke Voit DH
,,,,,,5 Wil Myers RF
,,,,,,6 Eric Hosmer 1B
,,,,,,7 Jorge Alfaro C
,,,,,,8 Nomar Mazara LF
,,,,,,9 Ha-Seong Kim SS
