03/17/2022,03/18/2022,03/19/2022,03/20/2022,03/21/2022,03/22/2022,03/23/2022
,1 J.P. Crawford SS,,,,,
,2 Jesse Winker LF,,,,,
,3 Ty France 1B,,,,,
,4 Mitch Haniger RF,,,,,
,5 Jarred Kelenic CF,,,,,
,6 Eugenio Suarez 3B,,,,,
,7 Abraham Toro DH,,,,,
,8 Adam Frazier 2B,,,,,
,9 Tom Murphy C,,,,,
,,1 Dylan Moore 2B,,,,
,,2 Abraham Toro 3B,,,,
,,3 Julio Rodriguez CF,,,,
,,4 Cal Raleigh C,,,,
,,5 Luis Torrens DH,,,,
,,6 Steven Souza Jr. RF,,,,
,,7 Taylor Trammell LF,,,,
,,8 Mike Ford 1B,,,,
,,9 Donovan Walton SS,,,,
,,,1 J.P. Crawford SS,,,
,,,2 Jesse Winker LF,,,
,,,3 Ty France 1B,,,
,,,4 Mitch Haniger RF,,,
,,,5 Adam Frazier 2B,,,
,,,6 Eugenio Suarez 3B,,,
,,,7 Jarred Kelenic CF,,,
,,,8 Tom Murphy C,,,
,,,9 Cal Raleigh DH,,,
,,,,1 J.P. Crawford SS,,
,,,,2 Ty France 1B,,
,,,,3 Jesse Winker LF,,
,,,,4 Mitch Haniger DH,,
,,,,5 Adam Frazier 2B,,
,,,,6 Abraham Toro 3B,,
,,,,7 Jarred Kelenic RF,,
,,,,8 Julio Rodriguez CF,,
,,,,9 Luis Torrens C,,
,,,,,1 Abraham Toro 2B,
,,,,,2 Julio Rodriguez CF,
,,,,,3 Eugenio Suarez 3B,
,,,,,4 Cal Raleigh C,
,,,,,5 Tom Murphy DH,
,,,,,6 Taylor Trammell LF,
,,,,,7 Evan White 1B,
,,,,,8 Steven Souza Jr. RF,
,,,,,9 Dylan Moore SS,
,1 J.P. Crawford SS,,,,,
,2 Jesse Winker LF,,,,,
,3 Ty France 1B,,,,,
,4 Mitch Haniger RF,,,,,
,5 Jarred Kelenic CF,,,,,
,6 Eugenio Suarez 3B,,,,,
,7 Abraham Toro DH,,,,,
,8 Adam Frazier 2B,,,,,
,9 Tom Murphy C,,,,,
,,1 Dylan Moore 2B,,,,
,,2 Abraham Toro 3B,,,,
,,3 Julio Rodriguez CF,,,,
,,4 Cal Raleigh C,,,,
,,5 Luis Torrens DH,,,,
,,6 Steven Souza Jr. RF,,,,
,,7 Taylor Trammell LF,,,,
,,8 Mike Ford 1B,,,,
,,9 Donovan Walton SS,,,,
,,,1 J.P. Crawford SS,,,
,,,2 Jesse Winker LF,,,
,,,3 Ty France 1B,,,
,,,4 Mitch Haniger RF,,,
,,,5 Adam Frazier 2B,,,
,,,6 Eugenio Suarez 3B,,,
,,,7 Jarred Kelenic CF,,,
,,,8 Tom Murphy C,,,
,,,9 Cal Raleigh DH,,,
,,,,1 J.P. Crawford SS,,
,,,,2 Ty France 1B,,
,,,,3 Jesse Winker LF,,
,,,,4 Mitch Haniger DH,,
,,,,5 Adam Frazier 2B,,
,,,,6 Abraham Toro 3B,,
,,,,7 Jarred Kelenic RF,,
,,,,8 Julio Rodriguez CF,,
,,,,9 Luis Torrens C,,
,,,,,1 Abraham Toro 2B,
,,,,,2 Julio Rodriguez CF,
,,,,,3 Eugenio Suarez 3B,
,,,,,4 Cal Raleigh C,
,,,,,5 Tom Murphy DH,
,,,,,6 Taylor Trammell LF,
,,,,,7 Evan White 1B,
,,,,,8 Steven Souza Jr. RF,
,,,,,9 Dylan Moore SS,
