03/17/2022,03/18/2022,03/19/2022,03/20/2022,03/21/2022,03/22/2022,03/23/2022
,1 Mike Yastrzemski RF,,,,,
,2 Wilmer Flores 1B,,,,,
,3 Jason Krizan 2B,,,,,
,4 Joey Bart C,,,,,
,5 Jason Vosler 3B,,,,,
,6 Luis Gonzalez LF,,,,,
,7 Jaylin Davis CF,,,,,
,8 Ka'ai Tom DH,,,,,
,9 Mauricio Dubon SS,,,,,
,,1 LaMonte Wade Jr. LF,,,,
,,2 Thairo Estrada SS,,,,
,,3 Austin Slater RF,,,,
,,4 Steven Duggar CF,,,,
,,5 Curt Casali C,,,,
,,6 Alex Blandino 3B,,,,
,,7 Austin Dean DH,,,,
,,8 Wyatt Mathisen 1B,,,,
,,9 Arquimedes Gamboa 2B,,,,
,,,1 Mike Yastrzemski CF,,,
,,,2 Wilmer Flores 3B,,,
,,,3 Joc Pederson RF,,,
,,,4 Heliot Ramos DH,,,
,,,5 Jason Krizan 2B,,,
,,,6 Jaylin Davis LF,,,
,,,7 Jason Vosler 1B,,,
,,,8 Mauricio Dubon SS,,,
,,,9 Patrick Bailey C,,,
,,,,1 LaMonte Wade Jr. LF,,
,,,,2 Austin Slater CF,,
,,,,3 Steven Duggar RF,,
,,,,4 Darin Ruf DH,,
,,,,5 Curt Casali C,,
,,,,6 Alex Blandino 3B,,
,,,,7 Wyatt Mathisen 1B,,
,,,,8 Arquimedes Gamboa SS,,
,,,,9 Tyler Fitzgerald 2B,,
,1 Mike Yastrzemski RF,,,,,
,2 Wilmer Flores 1B,,,,,
,3 Jason Krizan 2B,,,,,
,4 Joey Bart C,,,,,
,5 Jason Vosler 3B,,,,,
,6 Luis Gonzalez LF,,,,,
,7 Jaylin Davis CF,,,,,
,8 Ka'ai Tom DH,,,,,
,9 Mauricio Dubon SS,,,,,
,,1 LaMonte Wade Jr. LF,,,,
,,2 Thairo Estrada SS,,,,
,,3 Austin Slater RF,,,,
,,4 Steven Duggar CF,,,,
,,5 Curt Casali C,,,,
,,6 Alex Blandino 3B,,,,
,,7 Austin Dean DH,,,,
,,8 Wyatt Mathisen 1B,,,,
,,9 Arquimedes Gamboa 2B,,,,
,,,1 Mike Yastrzemski CF,,,
,,,2 Wilmer Flores 3B,,,
,,,3 Joc Pederson RF,,,
,,,4 Heliot Ramos DH,,,
,,,5 Jason Krizan 2B,,,
,,,6 Jaylin Davis LF,,,
,,,7 Jason Vosler 1B,,,
,,,8 Mauricio Dubon SS,,,
,,,9 Patrick Bailey C,,,
,,,,1 LaMonte Wade Jr. LF,,
,,,,2 Austin Slater CF,,
,,,,3 Steven Duggar RF,,
,,,,4 Darin Ruf DH,,
,,,,5 Curt Casali C,,
,,,,6 Alex Blandino 3B,,
,,,,7 Wyatt Mathisen 1B,,
,,,,8 Arquimedes Gamboa SS,,
,,,,9 Tyler Fitzgerald 2B,,
,,,,,,1 Mike Yastrzemski CF
,,,,,,2 Brandon Crawford SS
,,,,,,3 Darin Ruf 1B
,,,,,,4 Joc Pederson RF
,,,,,,5 Wilmer Flores DH
,,,,,,6 Joey Bart C
,,,,,,7 Jason Vosler 3B
,,,,,,8 Jaylin Davis LF
,,,,,,9 Mauricio Dubon 2B
