03/17/2022,03/18/2022,03/19/2022,03/20/2022,03/21/2022,03/22/2022,03/23/2022
,1 Tommy Edman 2B,,,,,
,2 Paul Goldschmidt 1B,,,,,
,3 Tyler O'Neill LF,,,,,
,4 Nolan Arenado 3B,,,,,
,5 Dylan Carlson RF,,,,,
,6 Harrison Bader CF,,,,,
,7 Paul DeJong SS,,,,,
,8 Lars Nootbaar DH,,,,,
,9 Andrew Knizner C,,,,,
,,,1 Tommy Edman 2B,,,
,,,2 Paul Goldschmidt 1B,,,
,,,3 Tyler O'Neill LF,,,
,,,4 Nolan Arenado 3B,,,
,,,5 Dylan Carlson RF,,,
,,,6 Harrison Bader CF,,,
,,,7 Paul DeJong SS,,,
,,,8 Edmundo Sosa DH,,,
,,,9 Andrew Knizner C,,,
,,,,1 Corey Dickerson DH,,
,,,,2 Lars Nootbaar CF,,
,,,,3 Nolan Gorman 2B,,
,,,,4 Juan Yepez 1B,,
,,,,5 Edmundo Sosa SS,,
,,,,6 Brendan Donovan 3B,,
,,,,7 Ali Sanchez C,,
,,,,8 Alec Burleson LF,,
,,,,9 Conner Capel RF,,
,,,,,1 Tommy Edman 2B,
,,,,,2 Paul Goldschmidt 1B,
,,,,,3 Dylan Carlson CF,
,,,,,4 Nolan Arenado 3B,
,,,,,5 Paul DeJong SS,
,,,,,6 Andrew Knizner C,
,,,,,7 Juan Yepez DH,
,,,,,8 Brendan Donovan LF,
,,,,,9 Alec Burleson RF,
,1 Tommy Edman 2B,,,,,
,2 Paul Goldschmidt 1B,,,,,
,3 Tyler O'Neill LF,,,,,
,4 Nolan Arenado 3B,,,,,
,5 Dylan Carlson RF,,,,,
,6 Harrison Bader CF,,,,,
,7 Paul DeJong SS,,,,,
,8 Lars Nootbaar DH,,,,,
,9 Andrew Knizner C,,,,,
,,,1 Tommy Edman 2B,,,
,,,2 Paul Goldschmidt 1B,,,
,,,3 Tyler O'Neill LF,,,
,,,4 Nolan Arenado 3B,,,
,,,5 Dylan Carlson RF,,,
,,,6 Harrison Bader CF,,,
,,,7 Paul DeJong SS,,,
,,,8 Edmundo Sosa DH,,,
,,,9 Andrew Knizner C,,,
,,,,1 Corey Dickerson DH,,
,,,,2 Lars Nootbaar CF,,
,,,,3 Nolan Gorman 2B,,
,,,,4 Juan Yepez 1B,,
,,,,5 Edmundo Sosa SS,,
,,,,6 Brendan Donovan 3B,,
,,,,7 Ali Sanchez C,,
,,,,8 Alec Burleson LF,,
,,,,9 Conner Capel RF,,
,,,,,1 Tommy Edman 2B,
,,,,,2 Paul Goldschmidt 1B,
,,,,,3 Dylan Carlson CF,
,,,,,4 Nolan Arenado 3B,
,,,,,5 Paul DeJong SS,
,,,,,6 Andrew Knizner C,
,,,,,7 Juan Yepez DH,
,,,,,8 Brendan Donovan LF,
,,,,,9 Alec Burleson RF,
,,,,,,1 Tommy Edman 2B
,,,,,,2 Paul Goldschmidt 1B
,,,,,,3 Tyler O'Neill LF
,,,,,,4 Nolan Arenado 3B
,,,,,,5 Dylan Carlson DH
,,,,,,6 Corey Dickerson RF
,,,,,,7 Paul DeJong SS
,,,,,,8 Harrison Bader CF
,,,,,,9 Ali Sanchez C
