03/17/2022,03/18/2022,03/19/2022,03/20/2022,03/21/2022,03/22/2022,03/23/2022
,1 Taylor Walls SS,,,,,
,2 Josh Lowe CF,,,,,
,3 Vidal Brujan 3B,,,,,
,4 Francisco Mejia C,,,,,
,5 Jonathan Aranda 2B,,,,,
,6 Ryan Boldt RF,,,,,
,7 Miles Mastrobuoni LF,,,,,
,8 Tristan Gray 1B,,,,,
,9 Esteban Quiroz DH,,,,,
,,1 Brandon Lowe 2B,,,,
,,2 Wander Franco SS,,,,
,,3 Austin Meadows LF,,,,
,,4 Randy Arozarena RF,,,,
,,5 Ji-Man Choi 1B,,,,
,,6 Yandy Diaz 3B,,,,
,,7 Mike Zunino C,,,,
,,8 Manuel Margot DH,,,,
,,9 Brett Phillips CF,,,,
,,,1 Brett Phillips CF,,,
,,,2 Taylor Walls 3B,,,
,,,3 Josh Lowe RF,,,
,,,4 Rene Pinto C,,,
,,,5 Jonathan Aranda 2B,,,
,,,6 Greg Jones SS,,,
,,,7 Tristan Gray 1B,,,
,,,8 Ryan Boldt LF,,,
,,,9 Grant Witherspoon DH,,,
,,,,1 Brandon Lowe 2B,,
,,,,2 Wander Franco SS,,
,,,,3 Randy Arozarena RF,,
,,,,4 Austin Meadows LF,,
,,,,5 Yandy Diaz 1B,,
,,,,6 Mike Zunino DH,,
,,,,7 Francisco Mejia C,,
,,,,8 Manuel Margot CF,,
,,,,9 Vidal Brujan 3B,,
,,,,,1 Josh Lowe LF,
,,,,,2 Wander Franco SS,
,,,,,3 Brandon Lowe 2B,
,,,,,4 Yandy Diaz DH,
,,,,,5 Ji-Man Choi 1B,
,,,,,6 Kevin Kiermaier CF,
,,,,,7 Brett Phillips RF,
,,,,,8 Taylor Walls 3B,
,,,,,9 Rene Pinto C,
,1 Taylor Walls SS,,,,,
,2 Josh Lowe CF,,,,,
,3 Vidal Brujan 3B,,,,,
,4 Francisco Mejia C,,,,,
,5 Jonathan Aranda 2B,,,,,
,6 Ryan Boldt RF,,,,,
,7 Miles Mastrobuoni LF,,,,,
,8 Tristan Gray 1B,,,,,
,9 Esteban Quiroz DH,,,,,
,,1 Brandon Lowe 2B,,,,
,,2 Wander Franco SS,,,,
,,3 Austin Meadows LF,,,,
,,4 Randy Arozarena RF,,,,
,,5 Ji-Man Choi 1B,,,,
,,6 Yandy Diaz 3B,,,,
,,7 Mike Zunino C,,,,
,,8 Manuel Margot DH,,,,
,,9 Brett Phillips CF,,,,
,,,1 Brett Phillips CF,,,
,,,2 Taylor Walls 3B,,,
,,,3 Josh Lowe RF,,,
,,,4 Rene Pinto C,,,
,,,5 Jonathan Aranda 2B,,,
,,,6 Greg Jones SS,,,
,,,7 Tristan Gray 1B,,,
,,,8 Ryan Boldt LF,,,
,,,9 Grant Witherspoon DH,,,
,,,,1 Brandon Lowe 2B,,
,,,,2 Wander Franco SS,,
,,,,3 Randy Arozarena RF,,
,,,,4 Austin Meadows LF,,
,,,,5 Yandy Diaz 1B,,
,,,,6 Mike Zunino DH,,
,,,,7 Francisco Mejia C,,
,,,,8 Manuel Margot CF,,
,,,,9 Vidal Brujan 3B,,
,,,,,1 Josh Lowe LF,
,,,,,2 Wander Franco SS,
,,,,,3 Brandon Lowe 2B,
,,,,,4 Yandy Diaz DH,
,,,,,5 Ji-Man Choi 1B,
,,,,,6 Kevin Kiermaier CF,
,,,,,7 Brett Phillips RF,
,,,,,8 Taylor Walls 3B,
,,,,,9 Rene Pinto C,
,,,,,,1 Josh Lowe RF
,,,,,,2 Ji-Man Choi 1B
,,,,,,3 Randy Arozarena LF
,,,,,,4 Austin Meadows DH
,,,,,,5 Francisco Mejia C
,,,,,,6 Brett Phillips CF
,,,,,,7 Taylor Walls SS
,,,,,,8 Vidal Brujan 3B
,,,,,,9 Ford Proctor 2B
