03/17/2022,03/18/2022,03/19/2022,03/20/2022,03/21/2022,03/22/2022,03/23/2022
,1 Marcus Semien 2B,,,,,
,2 Corey Seager SS,,,,,
,3 Nathaniel Lowe 1B,,,,,
,4 Kole Calhoun RF,,,,,
,5 Nick Solak LF,,,,,
,6 Jose Trevino C,,,,,
,7 Leody Taveras CF,,,,,
,8 Eli White DH,,,,,
,9 Davis Wendzel 3B,,,,,
,,1 Willie Calhoun LF,,,,
,,2 Andy Ibanez 3B,,,,
,,3 Mitch Garver DH,,,,
,,4 Adolis Garcia CF,,,,
,,5 Jonah Heim C,,,,
,,6 Jake Marisnick RF,,,,
,,7 Blaine Crim 1B,,,,
,,8 Davis Wendzel 2B,,,,
,,9 Yonny Hernandez SS,,,,
,,,,1 Brad Miller LF,,
,,,,2 Andy Ibanez 3B,,
,,,,3 Mitch Garver C,,
,,,,4 Adolis Garcia CF,,
,,,,5 Willie Calhoun DH,,
,,,,6 Jake Marisnick RF,,
,,,,7 Joe McCarthy 1B,,
,,,,8 Josh H. Smith SS,,
,,,,9 Davis Wendzel 2B,,
,,,,,1 Marcus Semien 2B,
,,,,,2 Corey Seager SS,
,,,,,3 Nathaniel Lowe 1B,
,,,,,4 Kole Calhoun RF,
,,,,,5 Nick Solak LF,
,,,,,6 Jonah Heim C,
,,,,,7 Eli White DH,
,,,,,8 Leody Taveras CF,
,,,,,9 Charlie Culberson 3B,
,1 Marcus Semien 2B,,,,,
,2 Corey Seager SS,,,,,
,3 Nathaniel Lowe 1B,,,,,
,4 Kole Calhoun RF,,,,,
,5 Nick Solak LF,,,,,
,6 Jose Trevino C,,,,,
,7 Leody Taveras CF,,,,,
,8 Eli White DH,,,,,
,9 Davis Wendzel 3B,,,,,
,,1 Willie Calhoun LF,,,,
,,2 Andy Ibanez 3B,,,,
,,3 Mitch Garver DH,,,,
,,4 Adolis Garcia CF,,,,
,,5 Jonah Heim C,,,,
,,6 Jake Marisnick RF,,,,
,,7 Blaine Crim 1B,,,,
,,8 Davis Wendzel 2B,,,,
,,9 Yonny Hernandez SS,,,,
,,,,1 Brad Miller LF,,
,,,,2 Andy Ibanez 3B,,
,,,,3 Mitch Garver C,,
,,,,4 Adolis Garcia CF,,
,,,,5 Willie Calhoun DH,,
,,,,6 Jake Marisnick RF,,
,,,,7 Joe McCarthy 1B,,
,,,,8 Josh H. Smith SS,,
,,,,9 Davis Wendzel 2B,,
,,,,,1 Marcus Semien 2B,
,,,,,2 Corey Seager SS,
,,,,,3 Nathaniel Lowe 1B,
,,,,,4 Kole Calhoun RF,
,,,,,5 Nick Solak LF,
,,,,,6 Jonah Heim C,
,,,,,7 Eli White DH,
,,,,,8 Leody Taveras CF,
,,,,,9 Charlie Culberson 3B,
,,,,,,1 Marcus Semien 2B
,,,,,,2 Corey Seager SS
,,,,,,3 Mitch Garver C
,,,,,,4 Nathaniel Lowe 1B
,,,,,,5 Adolis Garcia CF
,,,,,,6 Brad Miller LF
,,,,,,7 Andy Ibanez 3B
,,,,,,8 Willie Calhoun DH
,,,,,,9 Jake Marisnick RF
