03/17/2022,03/18/2022,03/19/2022,03/20/2022,03/21/2022,03/22/2022,03/23/2022
,1 Santiago Espinal 2B,,,,,
,2 Bo Bichette SS,,,,,
,3 Greg Bird 1B,,,,,
,4 Danny Jansen C,,,,,
,5 Josh Palacios RF,,,,,
,6 Jordan Groshans 3B,,,,,
,7 Mallex Smith CF,,,,,
,8 Otto Lopez DH,,,,,
,9 Nathan Lukes LF,,,,,
,,1 Mallex Smith CF,,,,
,,2 Bo Bichette DH,,,,
,,3 Vladimir Guerrero Jr. 1B,,,,
,,4 Teoscar Hernandez RF,,,,
,,5 Reese McGuire C,,,,
,,6 Santiago Espinal SS,,,,
,,7 Orelvis Martinez 3B,,,,
,,8 Gosuke Katoh 2B,,,,
,,9 Nathan Lukes LF,,,,
,,,1 Randal Grichuk RF,,,
,,,2 Matt Chapman 3B,,,
,,,3 Lourdes Gurriel Jr. LF,,,
,,,4 Alejandro Kirk DH,,,
,,,5 Danny Jansen C,,,
,,,6 Greg Bird 1B,,,
,,,7 Jordan Groshans SS,,,
,,,8 Gosuke Katoh 2B,,,
,,,9 Chavez Young CF,,,
,,,,1 Santiago Espinal 2B,,
,,,,2 Bo Bichette SS,,
,,,,3 Vladimir Guerrero Jr. 1B,,
,,,,4 Alejandro Kirk C,,
,,,,5 Greg Bird DH,,
,,,,6 Orelvis Martinez 3B,,
,,,,7 Mallex Smith CF,,
,,,,8 Nathan Lukes RF,,
,,,,9 Vinny Capra LF,,
,,,,,1 George Springer CF,
,,,,,2 Bo Bichette SS,
,,,,,3 Vladimir Guerrero Jr. 1B,
,,,,,4 Lourdes Gurriel Jr. LF,
,,,,,5 Matt Chapman 3B,
,,,,,6 Cavan Biggio 2B,
,,,,,7 Randal Grichuk RF,
,,,,,8 Danny Jansen C,
,,,,,9 Reese McGuire DH,
,1 Santiago Espinal 2B,,,,,
,2 Bo Bichette SS,,,,,
,3 Greg Bird 1B,,,,,
,4 Danny Jansen C,,,,,
,5 Josh Palacios RF,,,,,
,6 Jordan Groshans 3B,,,,,
,7 Mallex Smith CF,,,,,
,8 Otto Lopez DH,,,,,
,9 Nathan Lukes LF,,,,,
,,1 Mallex Smith CF,,,,
,,2 Bo Bichette DH,,,,
,,3 Vladimir Guerrero Jr. 1B,,,,
,,4 Teoscar Hernandez RF,,,,
,,5 Reese McGuire C,,,,
,,6 Santiago Espinal SS,,,,
,,7 Orelvis Martinez 3B,,,,
,,8 Gosuke Katoh 2B,,,,
,,9 Nathan Lukes LF,,,,
,,,1 Randal Grichuk RF,,,
,,,2 Matt Chapman 3B,,,
,,,3 Lourdes Gurriel Jr. LF,,,
,,,4 Alejandro Kirk DH,,,
,,,5 Danny Jansen C,,,
,,,6 Greg Bird 1B,,,
,,,7 Jordan Groshans SS,,,
,,,8 Gosuke Katoh 2B,,,
,,,9 Chavez Young CF,,,
,,,,1 Santiago Espinal 2B,,
,,,,2 Bo Bichette SS,,
,,,,3 Vladimir Guerrero Jr. 1B,,
,,,,4 Alejandro Kirk C,,
,,,,5 Greg Bird DH,,
,,,,6 Orelvis Martinez 3B,,
,,,,7 Mallex Smith CF,,
,,,,8 Nathan Lukes RF,,
,,,,9 Vinny Capra LF,,
,,,,,1 George Springer CF,
,,,,,2 Bo Bichette SS,
,,,,,3 Vladimir Guerrero Jr. 1B,
,,,,,4 Lourdes Gurriel Jr. LF,
,,,,,5 Matt Chapman 3B,
,,,,,6 Cavan Biggio 2B,
,,,,,7 Randal Grichuk RF,
,,,,,8 Danny Jansen C,
,,,,,9 Reese McGuire DH,
,,,,,,1 Cavan Biggio 2B
,,,,,,2 Santiago Espinal SS
,,,,,,3 Alejandro Kirk DH
,,,,,,4 Greg Bird 1B
,,,,,,5 Reese McGuire C
,,,,,,6 Josh Palacios RF
,,,,,,7 Gosuke Katoh 3B
,,,,,,8 Mallex Smith CF
,,,,,,9 Nathan Lukes LF
