03/17/2022,03/18/2022,03/19/2022,03/20/2022,03/21/2022,03/22/2022,03/23/2022
,1 Cesar Hernandez 2B,,,,,
,2 Alcides Escobar SS,,,,,
,3 Juan Soto DH,,,,,
,4 Josh Bell 1B,,,,,
,5 Keibert Ruiz C,,,,,
,6 Lane Thomas LF,,,,,
,7 Maikel Franco 3B,,,,,
,8 Gerardo Parra RF,,,,,
,9 Victor Robles CF,,,,,
,,1 Dee Strange-Gordon LF,,,,
,,2 Lane Thomas CF,,,,
,,3 Nelson Cruz DH,,,,
,,4 Josh Bell 1B,,,,
,,5 Ehire Adrianza SS,,,,
,,6 Riley Adams C,,,,
,,7 Richard Urena 3B,,,,
,,8 Luis Garcia 2B,,,,
,,9 Andrew Stevenson RF,,,,
,,,1 Cesar Hernandez 2B,,,
,,,2 Alcides Escobar SS,,,
,,,3 Juan Soto RF,,,
,,,4 Nelson Cruz DH,,,
,,,5 Keibert Ruiz C,,,
,,,6 Maikel Franco 3B,,,
,,,7 Andrew Stevenson LF,,,
,,,8 Jake Noll 1B,,,
,,,9 Victor Robles CF,,,
,,,,1 Dee Strange-Gordon 2B,,
,,,,2 Ehire Adrianza 3B,,
,,,,3 Juan Soto DH,,
,,,,4 Josh Bell 1B,,
,,,,5 Lane Thomas CF,,
,,,,6 Yadiel Hernandez LF,,
,,,,7 Riley Adams C,,
,,,,8 Gerardo Parra RF,,
,,,,9 Lucius Fox SS,,
,1 Cesar Hernandez 2B,,,,,
,2 Alcides Escobar SS,,,,,
,3 Juan Soto DH,,,,,
,4 Josh Bell 1B,,,,,
,5 Keibert Ruiz C,,,,,
,6 Lane Thomas LF,,,,,
,7 Maikel Franco 3B,,,,,
,8 Gerardo Parra RF,,,,,
,9 Victor Robles CF,,,,,
,,1 Dee Strange-Gordon LF,,,,
,,2 Lane Thomas CF,,,,
,,3 Nelson Cruz DH,,,,
,,4 Josh Bell 1B,,,,
,,5 Ehire Adrianza SS,,,,
,,6 Riley Adams C,,,,
,,7 Richard Urena 3B,,,,
,,8 Luis Garcia 2B,,,,
,,9 Andrew Stevenson RF,,,,
,,,1 Cesar Hernandez 2B,,,
,,,2 Alcides Escobar SS,,,
,,,3 Juan Soto RF,,,
,,,4 Nelson Cruz DH,,,
,,,5 Keibert Ruiz C,,,
,,,6 Maikel Franco 3B,,,
,,,7 Andrew Stevenson LF,,,
,,,8 Jake Noll 1B,,,
,,,9 Victor Robles CF,,,
,,,,1 Dee Strange-Gordon 2B,,
,,,,2 Ehire Adrianza 3B,,
,,,,3 Juan Soto DH,,
,,,,4 Josh Bell 1B,,
,,,,5 Lane Thomas CF,,
,,,,6 Yadiel Hernandez LF,,
,,,,7 Riley Adams C,,
,,,,8 Gerardo Parra RF,,
,,,,9 Lucius Fox SS,,
,,,,,,1 Cesar Hernandez 2B
,,,,,,2 Juan Soto RF
,,,,,,3 Nelson Cruz DH
,,,,,,4 Josh Bell 1B
,,,,,,5 Keibert Ruiz C
,,,,,,6 Lane Thomas LF
,,,,,,7 Alcides Escobar SS
,,,,,,8 Maikel Franco 3B
,,,,,,9 Victor Robles CF
