Name,HR,R,RBI,SB,OPS,AB,FVAL
Mitch Garver,21,53,56,1,0.793,361,5.2
DJ LeMahieu,12,76,58,4,0.752,517,3.04
Kolten Wong,12,74,55,14,0.745,492,4.21
Anthony Rendon,23,76,82,1,0.841,495,9.27
Gavin Lux,11,50,45,5,0.752,339,-11.2
Ke'Bryan Hayes,16,77,64,12,0.759,546,7.1
Josh Rojas,11,70,50,11,0.712,482,-5.53
Teoscar Hernandez,34,88,99,11,0.832,557,26.9
Bryan Reynolds,25,85,84,5,0.873,553,20.65
Franmil Reyes,36,76,97,3,0.83,530,16.43
Juan Soto,36,113,104,11,1.044,519,49.06
Mike Yastrzemski,23,71,68,4,0.783,469,-0.98
Alejandro Kirk,14,44,50,1,0.798,317,4.14
Brandon Marsh,9,51,40,10,0.707,377,-12.38
Fernando Tatis Jr.,23,58,56,13,0.95,291,10.08
Nolan Gorman,8,27,28,2,0.717,217,-23.77
