Name,QS,SV,K,ERA,WHIP,IP,FVAL
Edwin Diaz,5,32,93,3.27,1.12,64,14.97
Clayton Kershaw,13,0,135,3.62,1.12,130,9.81
Jose Berrios,17,0,191,3.87,1.2,188,15.07
Zac Gallen,12,0,169,4.04,1.26,159,5.07
Giovanny Gallegos,5,22,81,3.31,1.04,69,10.15
Michael Kopech,11,0,160,3.75,1.2,128,7.05
Blake Snell,12,0,173,3.85,1.26,144,7.36
Nathan Eovaldi,14,0,168,3.87,1.18,165,10.46
Mark Melancon,4,23,53,3.77,1.35,63,2.67
Cal Quantrill,12,0,122,4.19,1.3,147,-0.28
Corey Kluber,11,0,131,4.08,1.28,134,1.5
Adbert Alzolay,5,0,62,4.58,1.29,63,-9.93
