Name,QS,SV,K,ERA,WHIP,IP,FVAL
Andrew Kittredge,6,15,73,3.21,1.14,68,6.02
Cristian Javier,8,0,131,4.09,1.25,109,-0.02
Paul Sewald,5,11,86,3.58,1.14,64,2.67
Corey Kluber,11,0,131,4.08,1.28,134,1.5
Anthony Bender,4,12,72,3.49,1.2,65,0.82
Michael Fulmer,4,12,60,3.73,1.25,61,-1.33
Chad Green,7,3,86,3.56,1.06,70,0.87
Chris Flexen,15,0,139,4.24,1.3,176,2.39
Dylan Floro,6,14,55,3.74,1.29,61,-0.11
Jonathan Loaisiga,6,6,72,3.18,1.18,69,1.01
Alex Reyes,3,3,40,3.75,1.36,33,-9.62
Cole Sulser,6,13,74,3.89,1.29,67,0.4
Drew Steckenrider,4,10,60,3.89,1.24,64,-2.6
Mike Soroka,6,0,49,4.32,1.3,63,-9.3
Brad Hand,5,4,60,4.16,1.27,56,-6.72
Kendall Graveman,5,2,60,3.48,1.2,58,-4.43
Collin McHugh,5,1,69,3.48,1.14,63,-3.45
Tyler Rogers,5,6,50,3.7,1.28,71,-4.18
Aaron Ashby,8,0,102,3.79,1.28,88,-1.6
Dustin May,1,0,21,3.39,1.14,19,-12.53
Dinelson Lamet,4,6,75,3.58,1.21,61,-2.54
Lucas Sims,5,15,78,3.77,1.18,56,2.95
Josiah Gray,11,0,140,4.7,1.3,141,-2.92
Tyler Matzek,4,0,76,3.37,1.33,61,-6.28
Drew Rasmussen,9,0,121,3.79,1.24,120,2.03
MacKenzie Gore,5,0,65,4.54,1.37,70,-10.71
Rowan Wick,4,18,64,4.04,1.34,58,0.32
Adbert Alzolay,5,0,62,4.58,1.29,63,-9.93
Nick Pivetta,13,0,161,4.67,1.35,153,-0.9
Andrew Chafin,4,2,60,3.56,1.22,62,-5.67
Grayson Rodriguez,4,0,56,4.03,1.22,51,-8.35
Kyle Finnegan,6,14,65,4.21,1.39,64,-1.7
James Karinchak,6,5,81,3.56,1.22,59,-1.76
Patrick Corbin,15,0,150,4.63,1.35,170,-0.98
Robert Suarez,3,5,52,4.15,1.28,51,0.0
Daniel Hudson,5,6,73,3.91,1.21,58,-2.59
Ian Kennedy,3,6,61,4.25,1.27,57,-6.83
Nick Lodolo,5,0,64,4.33,1.27,63,-8.92
Nate Pearson,7,0,83,4.16,1.3,76,-5.54
Hector Neris,6,4,87,3.81,1.21,70,-2.07
Art Warren,4,5,65,3.41,1.23,50,-3.97
Matt Brash,7,0,97,4.33,1.33,92,-5.73
Adrian Houser,12,0,108,4.36,1.39,143,-4.47
Carlos Estevez,4,8,62,4.96,1.42,63,-8.23
Sixto Sanchez,6,0,51,3.87,1.23,58,-7.32
Luke Jackson,4,3,63,3.71,1.32,59,-6.44
Pierce Johnson,4,9,74,3.62,1.26,60,-1.73
Dane Dunning,12,0,117,4.28,1.34,128,-1.88
Eric Lauer,12,0,125,4.33,1.32,133,-1.21
Tylor Megill,8,0,101,4.25,1.25,97,-2.88
Josh Staumont,4,6,71,3.72,1.32,63,-4.31
Domingo German,7,0,87,4.34,1.22,85,-4.75
Ken Giles,3,12,58,3.79,1.22,48,-2.62
Reid Detmers,9,0,102,4.51,1.32,96,-5.0
Wade Miley,14,0,113,4.34,1.39,155,-3.33
Elieser Hernandez,8,0,125,4.38,1.22,126,-2.17
Merrill Kelly,14,0,134,4.69,1.33,169,-2.91
Mitch Keller,11,0,110,4.74,1.42,126,-7.47
James Kaprielian,9,0,112,4.4,1.28,114,-3.38
Trevor May,5,2,81,3.66,1.22,65,-3.36
James Paxton,4,0,47,4.34,1.26,43,-9.95
Dakota Hudson,10,0,86,4.19,1.38,116,-5.25
Edward Cabrera,7,0,84,4.25,1.33,78,-7.16
Ryan Tepera,4,1,68,3.96,1.27,61,-7.19
Chris Stratton,4,10,66,4.24,1.36,65,-4.44
Matt Manning,11,0,99,4.75,1.37,128,-7.3
Kenta Maeda,0,0,6,4.21,1.15,6,-15.51
Matthew Boyd,0,0,6,4.21,1.15,6,-15.51
Aaron Bummer,5,4,73,3.12,1.24,61,-1.88
Matthew Liberatore,6,0,56,4.48,1.32,71,-9.6
Aaron Loup,4,1,58,3.58,1.26,58,-6.91
David Robertson,4,3,61,3.81,1.24,54,-6.11
Garrett Crochet,6,0,76,3.48,1.26,62,-4.8
Genesis Cabrera,5,1,71,3.83,1.32,64,-7.16
Daniel Bard,6,4,68,4.86,1.48,60,-9.07
Cole Irvin,15,0,118,4.53,1.32,165,-2.55
Jordan Hicks,3,2,45,3.83,1.37,45,-9.98
Jake Odorizzi,9,0,94,4.42,1.28,99,-4.58
Brad Boxberger,4,2,72,4.26,1.33,62,-7.79
Michael Pineda,12,0,97,4.37,1.24,122,-1.56
Carlos Hernandez,12,0,116,4.4,1.35,131,-2.88
Miles Mikolas,11,0,91,4.21,1.25,130,-2.36
Jorge Alcala,5,8,69,3.94,1.21,64,-2.79
Adam Ottavino,6,2,72,4.05,1.37,60,-6.66
Brent Suter,7,0,62,3.94,1.28,69,-6.13
Seth Lugo,5,2,68,3.85,1.2,62,-4.64
Yimi Garcia,6,4,61,4.24,1.22,59,-5.35
Luis Cessa,4,4,60,4.09,1.3,69,-6.87
Tyler Wells,7,0,98,4.38,1.21,91,-4.94
Ryan Yarbrough,12,0,106,4.7,1.25,140,-3.11
JT Brubaker,12,0,106,4.7,1.25,140,-3.11
