Team,Name,HR,R,RBI,SB,OPS,G,PA,AB,H,2B,BB,SO,wOBA,wRC+,ADP,playerid
,Trea Turner,47.59,51.45,46.54,,,,,,,,,,,,,
,Fernando Tatis Jr.,49.84,36.73,41.08,,,,,,,,,,,,,
,José Ramírez,49.84,36.73,41.08,,,,,,,,,,,,,
,Juan Soto,46.83,48.21,33.13,,,,,,,,,,,,,
,Bo Bichette,38.17,39.02,43.57,,,,,,,,,,,,,
,Vladimir Guerrero Jr.,43.97,46.02,45.98,,,,,,,,,,,,,
,Ronald Acuña Jr.,43.97,46.02,45.98,,,,,,,,,,,,,
,Shohei Ohtani,35.85,37.01,40.27,,,,,,,,,,,,,
,Bryce Harper,36.0,36.92,34.01,,,,,,,,,,,,,
,Kyle Tucker,31.64,33.66,27.92,,,,,,,,,,,,,
,Mike Trout,29.49,34.94,-14.11,,,,,,,,,,,,,
,Rafael Devers,30.91,32.76,31.07,,,,,,,,,,,,,
,Mookie Betts,31.32,34.08,12.69,,,,,,,,,,,,,
,Luis Robert,28.51,29.25,2.21,,,,,,,,,,,,,
,Ozzie Albies,30.41,29.74,29.98,,,,,,,,,,,,,
,Freddie Freeman,32.14,35.93,31.96,,,,,,,,,,,,,
,Manny Machado,27.74,28.49,26.86,,,,,,,,,,,,,
,Yordan Alvarez,29.1,31.18,22.73,,,,,,,,,,,,,
,Starling Marte,24.11,25.68,33.74,,,,,,,,,,,,,
,Teoscar Hernández,24.11,25.68,33.74,,,,,,,,,,,,,
,Salvador Perez,30.69,33.42,40.41,,,,,,,,,,,,,
,Tim Anderson,25.88,27.87,23.31,,,,,,,,,,,,,
,Whit Merrifield,21.57,20.18,28.85,,,,,,,,,,,,,
,Cedric Mullins,19.55,20.72,32.96,,,,,,,,,,,,,
,Aaron Judge,28.2,30.65,29.13,,,,,,,,,,,,,
,Trevor Story,24.1,25.74,18.12,,,,,,,,,,,,,
,Marcus Semien,19.71,19.89,37.56,,,,,,,,,,,,,
,Matt Olson,23.14,25.31,28.92,,,,,,,,,,,,,
,Xander Bogaerts,22.54,22.46,18.86,,,,,,,,,,,,,
,Pete Alonso,23.3,23.3,19.49,,,,,,,,,,,,,
,Tyler O'Neill,22.07,21.35,27.86,,,,,,,,,,,,,
,Paul Goldschmidt,22.86,22.59,32.57,,,,,,,,,,,,,
,J.T. Realmuto,23.76,28.78,17.29,,,,,,,,,,,,,
,Austin Riley,19.22,19.51,28.35,,,,,,,,,,,,,
,Byron Buxton,22.42,25.32,2.6,,,,,,,,,,,,,
,Francisco Lindor,17.02,17.25,3.13,,,,,,,,,,,,,
,Will Smith,24.03,25.64,16.8,,,,,,,,,,,,,
,Wander Franco,20.49,22.25,-6.89,,,,,,,,,,,,,
,George Springer,21.76,22.83,2.15,,,,,,,,,,,,,
,Adalberto Mondesi,15.63,19.63,-13.34,,,,,,,,,,,,,
,Nick Castellanos,24.19,22.05,30.35,,,,,,,,,,,,,
,Javier Báez,24.19,22.05,30.35,,,,,,,,,,,,,
,Randy Arozarena,16.42,18.37,20.51,,,,,,,,,,,,,
,Eloy Jiménez,16.42,18.37,20.51,,,,,,,,,,,,,
,Nolan Arenado,14.65,14.1,17.65,,,,,,,,,,,,,
,Jose Altuve,19.21,19.17,25.01,,,,,,,,,,,,,
,Brandon Lowe,18.93,15.42,23.2,,,,,,,,,,,,,
,José Abreu,18.93,15.42,23.2,,,,,,,,,,,,,
,Jorge Polanco,17.99,19.16,26.54,,,,,,,,,,,,,
,Jazz Chisholm Jr.,17.99,19.16,26.54,,,,,,,,,,,,,
,Ketel Marte,18.73,19.31,2.54,,,,,,,,,,,,,
,Corey Seager,18.74,19.65,3.18,,,,,,,,,,,,,
,Alex Bregman,11.74,12.47,-3.84,,,,,,,,,,,,,
,Tommy Edman,11.49,11.17,16.35,,,,,,,,,,,,,
,Jonathan India,14.63,13.89,16.32,,,,,,,,,,,,,
,J.D. Martinez,17.05,16.95,20.83,,,,,,,,,,,,,
,Bryan Reynolds,17.91,17.27,23.41,,,,,,,,,,,,,
,Daulton Varsho,8.31,11.28,-0.66,,,,,,,,,,,,,
,Giancarlo Stanton,13.45,15.28,16.67,,,,,,,,,,,,,
,Cody Bellinger,9.72,8.65,-21.44,,,,,,,,,,,,,
,Kris Bryant,8.45,6.28,15.2,,,,,,,,,,,,,
,Christian Yelich,15.04,17.52,-2.17,,,,,,,,,,,,,
,Yasmani Grandal,12.16,15.06,8.58,,,,,,,,,,,,,
,Carlos Correa,14.37,13.62,19.07,,,,,,,,,,,,,
,Jesse Winker,7.96,11.47,14.16,,,,,,,,,,,,,
,Mitch Haniger,11.89,10.09,22.97,,,,,,,,,,,,,
,Anthony Rendon,6.59,7.9,-18.35,,,,,,,,,,,,,
,Willson Contreras,13.62,14.98,7.97,,,,,,,,,,,,,
,DJ LeMahieu,7.9,5.44,1.97,,,,,,,,,,,,,
,Ryan Mountcastle,11.52,11.7,15.19,,,,,,,,,,,,,
,Jared Walsh,16.46,14.62,16.67,,,,,,,,,,,,,
,Franmil Reyes,15.71,16.36,10.05,,,,,,,,,,,,,
,Kyle Schwarber,10.7,8.66,12.04,,,,,,,,,,,,,
,Dansby Swanson,9.98,9.35,13.17,,,,,,,,,,,,,
,Willy Adames,5.98,5.19,10.45,,,,,,,,,,,,,
,Jake Cronenworth,8.25,7.62,11.04,,,,,,,,,,,,,
,Josh Bell,12.92,13.44,10.68,,,,,,,,,,,,,
,C.J. Cron,12.67,11.55,15.06,,,,,,,,,,,,,
,Rhys Hoskins,11.2,9.07,5.94,,,,,,,,,,,,,
,Myles Straw,4.51,3.94,12.6,,,,,,,,,,,,,
,Wilmer Flores,-7.8,-10.37,-1.69,,,,,,,,,,,,,
,Tyler Stephenson,5.9,7.96,3.76,,,,,,,,,,,,,
,Joey Votto,9.6,9.55,18.18,,,,,,,,,,,,,
,Jarred Kelenic,-0.39,-2.96,-15.13,,,,,,,,,,,,,
,Austin Meadows,8.09,8.21,11.31,,,,,,,,,,,,,
,Ke'Bryan Hayes,5.52,2.64,-7.8,,,,,,,,,,,,,
,Lourdes Gurriel Jr.,7.05,7.46,8.15,,,,,,,,,,,,,
,Trent Grisham,7.05,7.46,8.15,,,,,,,,,,,,,
,Keibert Ruiz,7.05,7.46,8.15,,,,,,,,,,,,,
,Max Muncy,9.5,9.89,18.4,,,,,,,,,,,,,
,Gleyber Torres,7.03,6.37,-1.19,,,,,,,,,,,,,
,Ty France,8.24,6.38,11.41,,,,,,,,,,,,,
,Justin Turner,11.22,10.15,17.36,,,,,,,,,,,,,
,Akil Baddoo,5.7,5.96,5.42,,,,,,,,,,,,,
,Luis Urías,5.7,5.96,5.42,,,,,,,,,,,,,
,Yoán Moncada,5.7,5.96,5.42,,,,,,,,,,,,,
,Hunter Renfroe,7.36,7.38,16.42,,,,,,,,,,,,,
,Ryan McMahon,6.61,4.51,11.01,,,,,,,,,,,,,
,Brendan Rodgers,3.13,2.0,-2.27,,,,,,,,,,,,,
,Adolis García,3.13,2.0,-2.27,,,,,,,,,,,,,
,Alex Verdugo,9.31,9.53,10.34,,,,,,,,,,,,,
,Amed Rosario,8.44,7.34,9.05,,,,,,,,,,,,,
,Joey Gallo,6.98,6.38,8.92,,,,,,,,,,,,,
,Mitch Garver,5.04,8.11,-3.68,,,,,,,,,,,,,
,Avisaíl García,5.04,8.11,-3.68,,,,,,,,,,,,,
,Nelson Cruz,10.76,15.28,15.92,,,,,,,,,,,,,
,Dylan Carlson,2.11,1.27,5.0,,,,,,,,,,,,,
,Alex Kirilloff,-1.42,-2.87,-16.05,,,,,,,,,,,,,
,Marcell Ozuna,6.74,8.06,-21.22,,,,,,,,,,,,,
,Eddie Rosario,10.1,8.62,0.4,,,,,,,,,,,,,
,Matt Chapman,-0.26,-4.25,-0.2,,,,,,,,,,,,,
,Kolten Wong,5.04,3.4,5.48,,,,,,,,,,,,,
,Robbie Grossman,0.91,-0.93,13.71,,,,,,,,,,,,,
,Jorge Soler,10.41,8.04,0.38,,,,,,,,,,,,,
,Eugenio Suárez,10.41,8.04,0.38,,,,,,,,,,,,,
,Eduardo Escobar,1.63,-1.16,10.7,,,,,,,,,,,,,
,Josh Donaldson,4.48,3.5,4.96,,,,,,,,,,,,,
,Andrew Benintendi,6.63,4.81,8.29,,,,,,,,,,,,,
,Anthony Rizzo,8.07,7.35,4.33,,,,,,,,,,,,,
,Christian Vázquez,8.07,7.35,4.33,,,,,,,,,,,,,
,Trey Mancini,6.31,7.97,3.86,,,,,,,,,,,,,
,Jean Segura,8.7,7.81,9.67,,,,,,,,,,,,,
,Ian Happ,4.67,2.54,3.16,,,,,,,,,,,,,
,Michael Conforto,4.67,2.54,3.16,,,,,,,,,,,,,
,Jonathan Schoop,4.67,2.54,3.16,,,,,,,,,,,,,
,Yuli Gurriel,3.67,4.56,16.44,,,,,,,,,,,,,
,Adam Duvall,6.37,5.99,15.61,,,,,,,,,,,,,
,Brandon Crawford,0.55,1.31,22.71,,,,,,,,,,,,,
,Oneil Cruz,1.77,3.56,-27.31,,,,,,,,,,,,,
,AJ Pollock,1.77,3.56,-27.31,,,,,,,,,,,,,
,Travis d'Arnaud,1.77,3.56,-27.31,,,,,,,,,,,,,
,Enrique Hernández,1.77,3.56,-27.31,,,,,,,,,,,,,
,Jesús Sánchez,1.77,3.56,-27.31,,,,,,,,,,,,,
,Brandon Belt,1.34,-2.03,8.79,,,,,,,,,,,,,
,Jo Adell,-2.62,-3.91,-19.63,,,,,,,,,,,,,
,Frank Schwindel,3.66,3.38,-1.09,,,,,,,,,,,,,
,Bobby Dalbec,-4.87,-3.55,2.0,,,,,,,,,,,,,
,Elias Díaz,-4.87,-3.55,2.0,,,,,,,,,,,,,
,Harrison Bader,0.09,0.5,-0.05,,,,,,,,,,,,,
,Ramón Laureano,0.09,0.5,-0.05,,,,,,,,,,,,,
,Alejandro Kirk,2.0,3.18,-10.74,,,,,,,,,,,,,
,Charlie Blackmon,6.41,5.54,5.38,,,,,,,,,,,,,
,Austin Hays,4.17,2.36,6.35,,,,,,,,,,,,,
,Jeimer Candelario,-2.1,-4.05,3.58,,,,,,,,,,,,,
,Josh Rojas,-1.67,-5.7,-0.15,,,,,,,,,,,,,
,Gavin Lux,-5.75,-6.76,-10.48,,,,,,,,,,,,,
,Andrew Vaughn,-5.31,-6.02,-8.34,,,,,,,,,,,,,
,Michael Brantley,0.96,0.37,2.32,,,,,,,,,,,,,
,Nathaniel Lowe,0.96,0.37,2.32,,,,,,,,,,,,,
,Omar Narváez,0.96,0.37,2.32,,,,,,,,,,,,,
,Sean Murphy,-1.65,1.87,-1.56,,,,,,,,,,,,,
,Mike Zunino,-1.61,-0.59,10.91,,,,,,,,,,,,,
,Gary Sánchez,-1.61,-0.59,10.91,,,,,,,,,,,,,
,Nicky Lopez,-4.04,-6.79,10.21,,,,,,,,,,,,,
,Lane Thomas,-6.58,-9.31,-14.24,,,,,,,,,,,,,
,Luke Voit,-0.23,-5.01,-15.35,,,,,,,,,,,,,
,Raimel Tapia,1.21,2.24,5.91,,,,,,,,,,,,,
,Tommy Pham,3.67,3.44,0.18,,,,,,,,,,,,,
,Carson Kelly,-1.91,0.35,-2.43,,,,,,,,,,,,,
,Joey Bart,-9.73,-8.21,-19.94,,,,,,,,,,,,,
,Miguel Sanó,-9.73,-8.21,-19.94,,,,,,,,,,,,,
,Jonathan Villar,-2.73,-6.07,2.38,,,,,,,,,,,,,
,Abraham Toro,-9.24,-17.76,-8.36,,,,,,,,,,,,,
