Name,QS,SV,SO,ERA,WHIP,IP,FVAL
Cal Quantrill
Chris Flexen
Jordan Lyles
Patrick Corbin
Kyle Freeland
Dane Dunning
German Marquez
Nick Martinez
Jameson Taillon
Dakota Hudson
Adrian Houser
Erick Fedde
Jose Quintana
Elieser Hernandez
Zach Davies
Corey Kluber
Joan Adon
Video Forecast
Mitch Keller
Cole Irvin
Antonio Senzatela
Keegan Thompson
Nick Pivetta
Michael Wacha
Vladimir Gutierrez
Spenser Watkins
Yusei Kikuchi
Humberto Castellanos
Daniel Lynch
Tyler Wells
Zach Eflin
Drew Smyly
Ross Stripling
Vince Velasquez
Carlos Hernandez
Chris Archer
Chris Paddack
Justin Steele
Rich Hill
Bryse Wilson
Dallas Keuchel
Michael Pineda
Taylor Hearn
Video Forecast
Zach Thompson
Michael King
Aaron Civale
Matt Brash
Wil Crowe
Dillon Peters
David Peterson
Bryce Elder
Aaron Sanchez
Jeff Hoffman
Josh Fleming
Josh Rogers
Keegan Akin
Jose Suarez
Kyle Bradish
Jeffrey Springs
Oliver Ortega
Nabil Crismatt
Brock Burke
Reiver Sanmartin
Cody Poteet
Clay Holmes
Jimmy Herget
Domingo Acevedo
Drew Hutchison
Matt Wisler
Trent Thornton
Alexis Diaz
Ryan Tepera
Kendall Graveman
Andre Pallante
J.P. Feyereisen
Robert Suarez
Beau Brieske
Video Forecast
Jakob Junis
Anthony Bass
Nick Nelson
Dillon Tate
Matt Moore
Tanner Banks
Matt Foster
Corbin Martin
Zach Jackson
Trevor Richards
John Brebbia
Hector Neris
Paolo Espino
Ian Kennedy
Aaron Loup
Jesse Chavez
Erik Swanson
Tyler Rogers
Adam Cimber
Dauri Moreta
Will Vest
A.J. Minter
Jaime Barria
