ATL,Max Fried,,Kyle Wright,Charlie Morton,Spencer Strider,Mike Soroka,Max Fried,Kyle Wright,Charlie Morton,Spencer Strider,Mike Soroka,Max Fried,Kyle Wright,Charlie Morton,,Spencer Strider,Mike Soroka,Max Fried,Kyle Wright,Charlie Morton,Spencer Strider,,Mike Soroka,Max Fried,Kyle Wright,Charlie Morton,Spencer Strider,Mike Soroka,Max Fried,Kyle Wright,Charlie Morton,Spencer Strider,Mike Soroka,Max Fried,Kyle Wright,Charlie Morton,Spencer Strider,Mike Soroka,Max Fried,,Kyle Wright,Charlie Morton,,Spencer Strider,Mike Soroka,Max Fried,Kyle Wright,Charlie Morton,Spencer Strider,,Mike Soroka,Max Fried,Kyle Wright,Charlie Morton,Spencer Strider,Mike Soroka,Max Fried,Kyle Wright,Charlie Morton,Spencer Strider,Mike Soroka,Max Fried,Kyle Wright,,Charlie Morton,Spencer Strider,Mike Soroka,,Max Fried,Kyle Wright,Charlie Morton,Spencer Strider,Mike Soroka,Max Fried,Kyle Wright,Charlie Morton,Spencer Strider,Mike Soroka,Max Fried,Kyle Wright,Charlie Morton,,Spencer Strider,Mike Soroka,Max Fried,Kyle Wright,Charlie Morton,Spencer Strider,Mike Soroka,Max Fried,Kyle Wright,Charlie Morton,Spencer Strider,Mike Soroka,Max Fried,Kyle Wright,Charlie Morton,Spencer Strider,Mike Soroka,Max Fried,Kyle Wright,Charlie Morton,Spencer Strider,Mike Soroka,Max Fried,Kyle Wright,Charlie Morton,Spencer Strider,Mike Soroka,Max Fried,Kyle Wright,Charlie Morton,Spencer Strider,Mike Soroka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATL,at Washington/Mar 30,,at Washington/Apr 1,at Washington/Apr 2,at St. Louis/Apr 3,at St. Louis/Apr 4,at St. Louis/Apr 5,vs San Diego/Apr 6,vs San Diego/Apr 7,vs San Diego/Apr 8,vs San Diego/Apr 9,vs Cincinnati/Apr 10,vs Cincinnati/Apr 11,vs Cincinnati/Apr 12,,at Kansas City/Apr 14,at Kansas City/Apr 15,at Kansas City/Apr 16,at San Diego/Apr 17,at San Diego/Apr 18,at San Diego/Apr 19,,vs Houston/Apr 21,vs Houston/Apr 22,vs Houston/Apr 23,vs Miami/Apr 24,vs Miami/Apr 25,vs Miami/Apr 26,vs Miami/Apr 27,at N.Y. Mets/Apr 28,at N.Y. Mets/Apr 29,at N.Y. Mets/Apr 30,at N.Y. Mets/May 1,at Miami/May 2,at Miami/May 3,at Miami/May 4,vs Baltimore/May 5,vs Baltimore/May 6,vs Baltimore/May 7,,vs Boston/May 9,vs Boston/May 10,,at Toronto/May 12,at Toronto/May 13,at Toronto/May 14,at Texas/May 15,at Texas/May 16,at Texas/May 17,,vs Seattle/May 19,vs Seattle/May 20,vs Seattle/May 21,vs L.A. Dodgers/May 22,vs L.A. Dodgers/May 23,vs L.A. Dodgers/May 24,vs Philadelphia/May 25,vs Philadelphia/May 26,vs Philadelphia/May 27,vs Philadelphia/May 28,at Oakland/May 29,at Oakland/May 30,at Oakland/May 31,,at Arizona/Jun 2,at Arizona/Jun 3,at Arizona/Jun 4,,vs N.Y. Mets/Jun 6,vs N.Y. Mets/Jun 7,vs N.Y. Mets/Jun 8,vs Washington/Jun 9,vs Washington/Jun 10,vs Washington/Jun 11,at Detroit/Jun 12,at Detroit/Jun 13,at Detroit/Jun 14,vs Colorado/Jun 15,vs Colorado/Jun 16,vs Colorado/Jun 17,vs Colorado/Jun 18,,at Philadelphia/Jun 20,at Philadelphia/Jun 21,at Philadelphia/Jun 22,at Cincinnati/Jun 23,at Cincinnati/Jun 24,at Cincinnati/Jun 25,vs Minnesota/Jun 26,vs Minnesota/Jun 27,vs Minnesota/Jun 28,,vs Miami/Jun 30,vs Miami/Jul 1,vs Miami/Jul 2,at Cleveland/Jul 3,at Cleveland/Jul 4,at Cleveland/Jul 5,,at Tampa Bay/Jul 7,at Tampa Bay/Jul 8,at Tampa Bay/Jul 9,vs Chi. White Sox/Jul 14,vs Chi. White Sox/Jul 15,vs Chi. White Sox/Jul 16,,vs Arizona/Jul 18,vs Arizona/Jul 19,vs Arizona/Jul 20,at Milwaukee/Jul 21,at Milwaukee/Jul 22,at Milwaukee/Jul 23,,at Boston/Jul 25,at Boston/Jul 26,,vs Milwaukee/Jul 28,vs Milwaukee/Jul 29,vs Milwaukee/Jul 30,vs L.A. Angels/Jul 31,vs L.A. Angels/Aug 1,vs L.A. Angels/Aug 2,,at Chi. Cubs/Aug 4,at Chi. Cubs/Aug 5,at Chi. Cubs/Aug 6,at Pittsburgh/Aug 7,at Pittsburgh/Aug 8,at Pittsburgh/Aug 9,at Pittsburgh/Aug 10,at N.Y. Mets/Aug 11,at N.Y. Mets/Aug 12,at N.Y. Mets/Aug 13,vs N.Y. Yankees/Aug 14,vs N.Y. Yankees/Aug 15,vs N.Y. Yankees/Aug 16,,vs San Francisco/Aug 18,vs San Francisco/Aug 19,vs San Francisco/Aug 20,vs N.Y. Mets/Aug 21,vs N.Y. Mets/Aug 22,vs N.Y. Mets/Aug 23,at San Francisco/Aug 25,at San Francisco/Aug 26,at San Francisco/Aug 27,at Colorado/Aug 28,at Colorado/Aug 29,at Colorado/Aug 30,at L.A. Dodgers/Aug 31,at L.A. Dodgers/Sep 1,at L.A. Dodgers/Sep 2,at L.A. Dodgers/Sep 3,vs St. Louis/Sep 5,vs St. Louis/Sep 6,vs St. Louis/Sep 7,vs Pittsburgh/Sep 8,vs Pittsburgh/Sep 9,vs Pittsburgh/Sep 10,at Philadelphia/Sep 12,at Philadelphia/Sep 13,at Philadelphia/Sep 14,at Miami/Sep 15,at Miami/Sep 16,at Miami/Sep 17,vs Philadelphia/Sep 18,vs Philadelphia/Sep 19,vs Philadelphia/Sep 20,at Washington/Sep 21,at Washington/Sep 22,at Washington/Sep 23,at Washington/Sep 24,vs Chi. Cubs/Sep 26,vs Chi. Cubs/Sep 27,vs Chi. Cubs/Sep 28,vs Washington/Sep 29,vs Washington/Sep 30,vs Washington/Oct 1,
ARI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARI,at L.A. Dodgers/Mar 30,at L.A. Dodgers/Mar 31,at L.A. Dodgers/Apr 1,at L.A. Dodgers/Apr 2,at San Diego/Apr 3,at San Diego/Apr 4,,vs L.A. Dodgers/Apr 6,vs L.A. Dodgers/Apr 7,vs L.A. Dodgers/Apr 8,vs L.A. Dodgers/Apr 9,vs Milwaukee/Apr 10,vs Milwaukee/Apr 11,vs Milwaukee/Apr 12,,at Miami/Apr 14,at Miami/Apr 15,at Miami/Apr 16,at St. Louis/Apr 17,at St. Louis/Apr 18,at St. Louis/Apr 19,vs San Diego/Apr 20,vs San Diego/Apr 21,vs San Diego/Apr 22,vs San Diego/Apr 23,vs Kansas City/Apr 24,vs Kansas City/Apr 25,vs Kansas City/Apr 26,,at Colorado/Apr 28,at Colorado/Apr 29,at Colorado/Apr 30,,at Texas/May 2,at Texas/May 3,,vs Washington/May 5,vs Washington/May 6,vs Washington/May 7,vs Miami/May 8,vs Miami/May 9,vs Miami/May 10,vs San Francisco/May 11,vs San Francisco/May 12,vs San Francisco/May 13,vs San Francisco/May 14,at Oakland/May 15,at Oakland/May 16,at Oakland/May 17,,at Pittsburgh/May 19,at Pittsburgh/May 20,at Pittsburgh/May 21,at Philadelphia/May 22,at Philadelphia/May 23,at Philadelphia/May 24,,vs Boston/May 26,vs Boston/May 27,vs Boston/May 28,vs Colorado/May 29,vs Colorado/May 30,vs Colorado/May 31,vs Colorado/Jun 1,vs Atlanta/Jun 2,vs Atlanta/Jun 3,vs Atlanta/Jun 4,,at Washington/Jun 6,at Washington/Jun 7,at Washington/Jun 8,at Detroit/Jun 9,at Detroit/Jun 10,at Detroit/Jun 11,vs Philadelphia/Jun 12,vs Philadelphia/Jun 13,vs Philadelphia/Jun 14,vs Philadelphia/Jun 15,vs Cleveland/Jun 16,vs Cleveland/Jun 17,vs Cleveland/Jun 18,at Milwaukee/Jun 19,at Milwaukee/Jun 20,at Milwaukee/Jun 21,,at San Francisco/Jun 23,at San Francisco/Jun 24,at San Francisco/Jun 25,vs Tampa Bay/Jun 27,vs Tampa Bay/Jun 28,vs Tampa Bay/Jun 29,,at L.A. Angels/Jun 30,at L.A. Angels/Jul 1,at L.A. Angels/Jul 2,,vs N.Y. Mets/Jul 4,vs N.Y. Mets/Jul 5,vs N.Y. Mets/Jul 6,vs Pittsburgh/Jul 7,vs Pittsburgh/Jul 8,vs Pittsburgh/Jul 9,at Toronto/Jul 14,at Toronto/Jul 15,at Toronto/Jul 16,,at Atlanta/Jul 18,at Atlanta/Jul 19,at Atlanta/Jul 20,at Cincinnati/Jul 21,at Cincinnati/Jul 22,at Cincinnati/Jul 23,vs St. Louis/Jul 24,vs St. Louis/Jul 25,vs St. Louis/Jul 26,,vs Seattle/Jul 28,vs Seattle/Jul 29,vs Seattle/Jul 30,at San Francisco/Jul 31,at San Francisco/Aug 1,at San Francisco/Aug 2,at San Francisco/Aug 3,at Minnesota/Aug 4,at Minnesota/Aug 5,at Minnesota/Aug 6,,vs L.A. Dodgers/Aug 8,vs L.A. Dodgers/Aug 9,,vs San Diego/Aug 11,vs San Diego/Aug 12,vs San Diego/Aug 13,at Colorado/Aug 14,at Colorado/Aug 15,at Colorado/Aug 16,at San Diego/Aug 17,at San Diego/Aug 18,at San Diego/Aug 19,at San Diego/Aug 20,vs Texas/Aug 21,vs Texas/Aug 22,vs Cincinnati/Aug 24,vs Cincinnati/Aug 25,vs Cincinnati/Aug 26,vs Cincinnati/Aug 27,at L.A. Dodgers/Aug 28,at L.A. Dodgers/Aug 29,at L.A. Dodgers/Aug 30,vs Baltimore/Sep 1,vs Baltimore/Sep 2,vs Baltimore/Sep 3,vs Colorado/Sep 4,vs Colorado/Sep 5,vs Colorado/Sep 6,at Chi. Cubs/Sep 7,at Chi. Cubs/Sep 8,at Chi. Cubs/Sep 9,at Chi. Cubs/Sep 10,at N.Y. Mets/Sep 11,at N.Y. Mets/Sep 12,at N.Y. Mets/Sep 13,at N.Y. Mets/Sep 14,vs Chi. Cubs/Sep 15,vs Chi. Cubs/Sep 16,vs Chi. Cubs/Sep 17,vs San Francisco/Sep 19,vs San Francisco/Sep 20,at N.Y. Yankees/Sep 22,at N.Y. Yankees/Sep 23,at N.Y. Yankees/Sep 24,at Chi. White Sox/Sep 25,at Chi. White Sox/Sep 26,at Chi. White Sox/Sep 27,vs Houston/Sep 29,vs Houston/Sep 30,vs Houston/Oct 1,,
ATL,Max Fried,,Kyle Wright,Charlie Morton,Spencer Strider,Mike Soroka,Max Fried,Kyle Wright,Charlie Morton,Spencer Strider,Mike Soroka,Max Fried,Kyle Wright,Charlie Morton,,Spencer Strider,Mike Soroka,Max Fried,Kyle Wright,Charlie Morton,Spencer Strider,,Mike Soroka,Max Fried,Kyle Wright,Charlie Morton,Spencer Strider,Mike Soroka,Max Fried,Kyle Wright,Charlie Morton,Spencer Strider,Mike Soroka,Max Fried,Kyle Wright,Charlie Morton,Spencer Strider,Mike Soroka,Max Fried,,Kyle Wright,Charlie Morton,,Spencer Strider,Mike Soroka,Max Fried,Kyle Wright,Charlie Morton,Spencer Strider,,Mike Soroka,Max Fried,Kyle Wright,Charlie Morton,Spencer Strider,Mike Soroka,Max Fried,Kyle Wright,Charlie Morton,Spencer Strider,Mike Soroka,Max Fried,Kyle Wright,,Charlie Morton,Spencer Strider,Mike Soroka,,Max Fried,Kyle Wright,Charlie Morton,Spencer Strider,Mike Soroka,Max Fried,Kyle Wright,Charlie Morton,Spencer Strider,Mike Soroka,Max Fried,Kyle Wright,Charlie Morton,,Spencer Strider,Mike Soroka,Max Fried,Kyle Wright,Charlie Morton,Spencer Strider,Mike Soroka,Max Fried,Kyle Wright,Charlie Morton,Spencer Strider,Mike Soroka,Max Fried,Kyle Wright,Charlie Morton,Spencer Strider,Mike Soroka,Max Fried,Kyle Wright,Charlie Morton,Spencer Strider,Mike Soroka,Max Fried,Kyle Wright,Charlie Morton,Spencer Strider,Mike Soroka,Max Fried,Kyle Wright,Charlie Morton,Spencer Strider,Mike Soroka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATL,at Washington/Mar 30,,at Washington/Apr 1,at Washington/Apr 2,at St. Louis/Apr 3,at St. Louis/Apr 4,at St. Louis/Apr 5,vs San Diego/Apr 6,vs San Diego/Apr 7,vs San Diego/Apr 8,vs San Diego/Apr 9,vs Cincinnati/Apr 10,vs Cincinnati/Apr 11,vs Cincinnati/Apr 12,,at Kansas City/Apr 14,at Kansas City/Apr 15,at Kansas City/Apr 16,at San Diego/Apr 17,at San Diego/Apr 18,at San Diego/Apr 19,,vs Houston/Apr 21,vs Houston/Apr 22,vs Houston/Apr 23,vs Miami/Apr 24,vs Miami/Apr 25,vs Miami/Apr 26,vs Miami/Apr 27,at N.Y. Mets/Apr 28,at N.Y. Mets/Apr 29,at N.Y. Mets/Apr 30,at N.Y. Mets/May 1,at Miami/May 2,at Miami/May 3,at Miami/May 4,vs Baltimore/May 5,vs Baltimore/May 6,vs Baltimore/May 7,,vs Boston/May 9,vs Boston/May 10,,at Toronto/May 12,at Toronto/May 13,at Toronto/May 14,at Texas/May 15,at Texas/May 16,at Texas/May 17,,vs Seattle/May 19,vs Seattle/May 20,vs Seattle/May 21,vs L.A. Dodgers/May 22,vs L.A. Dodgers/May 23,vs L.A. Dodgers/May 24,vs Philadelphia/May 25,vs Philadelphia/May 26,vs Philadelphia/May 27,vs Philadelphia/May 28,at Oakland/May 29,at Oakland/May 30,at Oakland/May 31,,at Arizona/Jun 2,at Arizona/Jun 3,at Arizona/Jun 4,,vs N.Y. Mets/Jun 6,vs N.Y. Mets/Jun 7,vs N.Y. Mets/Jun 8,vs Washington/Jun 9,vs Washington/Jun 10,vs Washington/Jun 11,at Detroit/Jun 12,at Detroit/Jun 13,at Detroit/Jun 14,vs Colorado/Jun 15,vs Colorado/Jun 16,vs Colorado/Jun 17,vs Colorado/Jun 18,,at Philadelphia/Jun 20,at Philadelphia/Jun 21,at Philadelphia/Jun 22,at Cincinnati/Jun 23,at Cincinnati/Jun 24,at Cincinnati/Jun 25,vs Minnesota/Jun 26,vs Minnesota/Jun 27,vs Minnesota/Jun 28,,vs Miami/Jun 30,vs Miami/Jul 1,vs Miami/Jul 2,at Cleveland/Jul 3,at Cleveland/Jul 4,at Cleveland/Jul 5,,at Tampa Bay/Jul 7,at Tampa Bay/Jul 8,at Tampa Bay/Jul 9,vs Chi. White Sox/Jul 14,vs Chi. White Sox/Jul 15,vs Chi. White Sox/Jul 16,,vs Arizona/Jul 18,vs Arizona/Jul 19,vs Arizona/Jul 20,at Milwaukee/Jul 21,at Milwaukee/Jul 22,at Milwaukee/Jul 23,,at Boston/Jul 25,at Boston/Jul 26,,vs Milwaukee/Jul 28,vs Milwaukee/Jul 29,vs Milwaukee/Jul 30,vs L.A. Angels/Jul 31,vs L.A. Angels/Aug 1,vs L.A. Angels/Aug 2,,at Chi. Cubs/Aug 4,at Chi. Cubs/Aug 5,at Chi. Cubs/Aug 6,at Pittsburgh/Aug 7,at Pittsburgh/Aug 8,at Pittsburgh/Aug 9,at Pittsburgh/Aug 10,at N.Y. Mets/Aug 11,at N.Y. Mets/Aug 12,at N.Y. Mets/Aug 13,vs N.Y. Yankees/Aug 14,vs N.Y. Yankees/Aug 15,vs N.Y. Yankees/Aug 16,,vs San Francisco/Aug 18,vs San Francisco/Aug 19,vs San Francisco/Aug 20,vs N.Y. Mets/Aug 21,vs N.Y. Mets/Aug 22,vs N.Y. Mets/Aug 23,at San Francisco/Aug 25,at San Francisco/Aug 26,at San Francisco/Aug 27,at Colorado/Aug 28,at Colorado/Aug 29,at Colorado/Aug 30,at L.A. Dodgers/Aug 31,at L.A. Dodgers/Sep 1,at L.A. Dodgers/Sep 2,at L.A. Dodgers/Sep 3,vs St. Louis/Sep 5,vs St. Louis/Sep 6,vs St. Louis/Sep 7,vs Pittsburgh/Sep 8,vs Pittsburgh/Sep 9,vs Pittsburgh/Sep 10,at Philadelphia/Sep 12,at Philadelphia/Sep 13,at Philadelphia/Sep 14,at Miami/Sep 15,at Miami/Sep 16,at Miami/Sep 17,vs Philadelphia/Sep 18,vs Philadelphia/Sep 19,vs Philadelphia/Sep 20,at Washington/Sep 21,at Washington/Sep 22,at Washington/Sep 23,at Washington/Sep 24,vs Chi. Cubs/Sep 26,vs Chi. Cubs/Sep 27,vs Chi. Cubs/Sep 28,vs Washington/Sep 29,vs Washington/Sep 30,vs Washington/Oct 1,
BAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAL,at Boston/Mar 30,,at Boston/Apr 1,at Boston/Apr 2,at Texas/Apr 3,at Texas/Apr 4,at Texas/Apr 5,vs N.Y. Yankees/Apr 6,,vs N.Y. Yankees/Apr 8,vs N.Y. Yankees/Apr 9,vs Oakland/Apr 10,vs Oakland/Apr 11,vs Oakland/Apr 12,vs Oakland/Apr 13,at Chi. White Sox/Apr 14,at Chi. White Sox/Apr 15,at Chi. White Sox/Apr 16,,at Washington/Apr 18,at Washington/Apr 19,,vs Detroit/Apr 21,vs Detroit/Apr 22,vs Detroit/Apr 23,vs Boston/Apr 24,vs Boston/Apr 25,vs Boston/Apr 26,at Detroit/Apr 27,at Detroit/Apr 28,at Detroit/Apr 29,at Detroit/Apr 30,,at Kansas City/May 2,at Kansas City/May 3,at Kansas City/May 4,at Atlanta/May 5,at Atlanta/May 6,at Atlanta/May 7,vs Tampa Bay/May 8,vs Tampa Bay/May 9,vs Tampa Bay/May 10,,vs Pittsburgh/May 12,vs Pittsburgh/May 13,vs Pittsburgh/May 14,vs L.A. Angels/May 15,vs L.A. Angels/May 16,vs L.A. Angels/May 17,vs L.A. Angels/May 18,at Toronto/May 19,at Toronto/May 20,at Toronto/May 21,,at N.Y. Yankees/May 23,at N.Y. Yankees/May 24,at N.Y. Yankees/May 25,vs Texas/May 26,vs Texas/May 27,vs Texas/May 28,vs Cleveland/May 29,vs Cleveland/May 30,vs Cleveland/May 31,,at San Francisco/Jun 2,at San Francisco/Jun 3,at San Francisco/Jun 4,,at Milwaukee/Jun 6,at Milwaukee/Jun 7,at Milwaukee/Jun 8,vs Kansas City/Jun 9,vs Kansas City/Jun 10,vs Kansas City/Jun 11,,vs Toronto/Jun 13,vs Toronto/Jun 14,vs Toronto/Jun 15,at Chi. Cubs/Jun 16,at Chi. Cubs/Jun 17,at Chi. Cubs/Jun 18,,at Tampa Bay/Jun 20,at Tampa Bay/Jun 21,,vs Seattle/Jun 23,vs Seattle/Jun 24,vs Seattle/Jun 25,vs Cincinnati/Jun 26,vs Cincinnati/Jun 27,vs Cincinnati/Jun 28,,vs Minnesota/Jun 30,vs Minnesota/Jul 1,vs Minnesota/Jul 2,at N.Y. Yankees/Jul 3,at N.Y. Yankees/Jul 4,at N.Y. Yankees/Jul 5,at N.Y. Yankees/Jul 6,at Minnesota/Jul 7,at Minnesota/Jul 8,at Minnesota/Jul 9,vs Miami/Jul 14,vs Miami/Jul 15,vs Miami/Jul 16,vs L.A. Dodgers/Jul 17,vs L.A. Dodgers/Jul 18,vs L.A. Dodgers/Jul 19,at Tampa Bay/Jul 20,at Tampa Bay/Jul 21,at Tampa Bay/Jul 22,at Tampa Bay/Jul 23,at Philadelphia/Jul 24,at Philadelphia/Jul 25,at Philadelphia/Jul 26,,vs N.Y. Yankees/Jul 28,vs N.Y. Yankees/Jul 29,vs N.Y. Yankees/Jul 30,at Toronto/Jul 31,at Toronto/Aug 1,at Toronto/Aug 2,at Toronto/Aug 3,vs N.Y. Mets/Aug 4,vs N.Y. Mets/Aug 5,vs N.Y. Mets/Aug 6,,vs Houston/Aug 8,vs Houston/Aug 9,vs Houston/Aug 10,at Seattle/Aug 11,at Seattle/Aug 12,at Seattle/Aug 13,at San Diego/Aug 14,at San Diego/Aug 15,at San Diego/Aug 16,,at Oakland/Aug 18,at Oakland/Aug 19,at Oakland/Aug 20,vs Toronto/Aug 22,vs Toronto/Aug 23,vs Toronto/Aug 24,vs Colorado/Aug 25,vs Colorado/Aug 26,vs Colorado/Aug 27,vs Chi. White Sox/Aug 28,vs Chi. White Sox/Aug 29,vs Chi. White Sox/Aug 30,at Arizona/Sep 1,at Arizona/Sep 2,at Arizona/Sep 3,at L.A. Angels/Sep 4,at L.A. Angels/Sep 5,at L.A. Angels/Sep 6,at Boston/Sep 8,at Boston/Sep 9,at Boston/Sep 10,vs St. Louis/Sep 11,vs St. Louis/Sep 12,vs St. Louis/Sep 13,vs Tampa Bay/Sep 14,vs Tampa Bay/Sep 15,vs Tampa Bay/Sep 16,vs Tampa Bay/Sep 17,at Houston/Sep 18,at Houston/Sep 19,at Houston/Sep 20,at Cleveland/Sep 21,at Cleveland/Sep 22,at Cleveland/Sep 23,at Cleveland/Sep 24,vs Washington/Sep 26,vs Washington/Sep 27,vs Boston/Sep 28,vs Boston/Sep 29,vs Boston/Sep 30,vs Boston/Oct 1,
BOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOS,vs Baltimore/Mar 30,,vs Baltimore/Apr 1,vs Baltimore/Apr 2,vs Pittsburgh/Apr 3,vs Pittsburgh/Apr 4,vs Pittsburgh/Apr 5,at Detroit/Apr 6,,at Detroit/Apr 8,at Detroit/Apr 9,at Tampa Bay/Apr 10,at Tampa Bay/Apr 11,at Tampa Bay/Apr 12,at Tampa Bay/Apr 13,vs L.A. Angels/Apr 14,vs L.A. Angels/Apr 15,vs L.A. Angels/Apr 16,vs L.A. Angels/Apr 17,vs Minnesota/Apr 18,vs Minnesota/Apr 19,vs Minnesota/Apr 20,at Milwaukee/Apr 21,at Milwaukee/Apr 22,at Milwaukee/Apr 23,at Baltimore/Apr 24,at Baltimore/Apr 25,at Baltimore/Apr 26,,vs Cleveland/Apr 28,vs Cleveland/Apr 29,vs Cleveland/Apr 30,vs Toronto/May 1,vs Toronto/May 2,vs Toronto/May 3,vs Toronto/May 4,at Philadelphia/May 5,at Philadelphia/May 6,at Philadelphia/May 7,,at Atlanta/May 9,at Atlanta/May 10,,vs St. Louis/May 12,vs St. Louis/May 13,vs St. Louis/May 14,vs Seattle/May 15,vs Seattle/May 16,vs Seattle/May 17,,at San Diego/May 19,at San Diego/May 20,at San Diego/May 21,at L.A. Angels/May 22,at L.A. Angels/May 23,at L.A. Angels/May 24,,at Arizona/May 26,at Arizona/May 27,at Arizona/May 28,,vs Cincinnati/May 30,vs Cincinnati/May 31,vs Cincinnati/Jun 1,vs Tampa Bay/Jun 2,vs Tampa Bay/Jun 3 (DH),vs Tampa Bay/Jun 4,,at Cleveland/Jun 6,at Cleveland/Jun 7,at Cleveland/Jun 8,at N.Y. Yankees/Jun 9,at N.Y. Yankees/Jun 10,at N.Y. Yankees/Jun 11,vs Colorado/Jun 12,vs Colorado/Jun 13,vs Colorado/Jun 14,,vs N.Y. Yankees/Jun 16,vs N.Y. Yankees/Jun 17,vs N.Y. Yankees/Jun 18,at Minnesota/Jun 19,at Minnesota/Jun 20,at Minnesota/Jun 21,at Minnesota/Jun 22,at Chi. White Sox/Jun 23,at Chi. White Sox/Jun 24,at Chi. White Sox/Jun 25,,vs Miami/Jun 27,vs Miami/Jun 28,vs Miami/Jun 29,at Toronto/Jun 30,at Toronto/Jul 1,at Toronto/Jul 2,,vs Texas/Jul 4,vs Texas/Jul 5,vs Texas/Jul 6,vs Oakland/Jul 7,vs Oakland/Jul 8,vs Oakland/Jul 9,at Chi. Cubs/Jul 14,at Chi. Cubs/Jul 15,at Chi. Cubs/Jul 16,at Oakland/Jul 17,at Oakland/Jul 18,at Oakland/Jul 19,,vs N.Y. Mets/Jul 21,vs N.Y. Mets/Jul 22,vs N.Y. Mets/Jul 23,,vs Atlanta/Jul 25,vs Atlanta/Jul 26,,at San Francisco/Jul 28,at San Francisco/Jul 29,at San Francisco/Jul 30,at Seattle/Jul 31,at Seattle/Aug 1,at Seattle/Aug 2,,vs Toronto/Aug 4,vs Toronto/Aug 5,vs Toronto/Aug 6,vs Kansas City/Aug 7,vs Kansas City/Aug 8,vs Kansas City/Aug 9,vs Kansas City/Aug 10,vs Detroit/Aug 11,vs Detroit/Aug 12,vs Detroit/Aug 13,,at Washington/Aug 15,at Washington/Aug 16,at Washington/Aug 17,at N.Y. Yankees/Aug 18,at N.Y. Yankees/Aug 19,at N.Y. Yankees/Aug 20,at Houston/Aug 21,at Houston/Aug 22,at Houston/Aug 23,at Houston/Aug 24,vs L.A. Dodgers/Aug 25,vs L.A. Dodgers/Aug 26,vs L.A. Dodgers/Aug 27,vs Houston/Aug 28,vs Houston/Aug 29,vs Houston/Aug 30,at Kansas City/Sep 1,at Kansas City/Sep 2,at Kansas City/Sep 3,at Tampa Bay/Sep 4,at Tampa Bay/Sep 5,at Tampa Bay/Sep 6,vs Baltimore/Sep 8,vs Baltimore/Sep 9,vs Baltimore/Sep 10,vs N.Y. Yankees/Sep 11,vs N.Y. Yankees/Sep 12,vs N.Y. Yankees/Sep 13,vs N.Y. Yankees/Sep 14,at Toronto/Sep 15,at Toronto/Sep 16,at Toronto/Sep 17,at Texas/Sep 18,at Texas/Sep 19,at Texas/Sep 20,vs Chi. White Sox/Sep 22,vs Chi. White Sox/Sep 23,vs Chi. White Sox/Sep 24,vs Tampa Bay/Sep 26,vs Tampa Bay/Sep 27,at Baltimore/Sep 28,at Baltimore/Sep 29,at Baltimore/Sep 30,at Baltimore/Oct 1,
