Player,Spot,Frequency
Orlando Arcia,1,5
Orlando Arcia,SS,4
Orlando Arcia,3B,1
Orlando Arcia,9,1
Orlando Arcia,DH,2
Orlando Arcia,4,1
Orlando Arcia,7,2
Orlando Arcia,1B,1
Orlando Arcia,2B,1
Ozzie Albies,2,5
Ozzie Albies,2B,12
Ozzie Albies,6,1
Ozzie Albies,5,5
Ozzie Albies,1,1
Matt Olson,3,5
Matt Olson,1B,13
Matt Olson,2,8
Marcell Ozuna,4,11
Marcell Ozuna,LF,10
Marcell Ozuna,DH,2
Marcell Ozuna,5,1
Adam Duvall,5,4
Adam Duvall,CF,11
Adam Duvall,6,2
Adam Duvall,7,5
Adam Duvall,LF,1
Adam Duvall,4,1
William Contreras,6,3
William Contreras,C,4
William Contreras,7,1
William Contreras,DH,3
William Contreras,5,1
William Contreras,RF,1
William Contreras,9,3
Ryan Goins,7,2
Ryan Goins,3B,2
Ryan Goins,2B,4
Ryan Goins,8,1
Ryan Goins,9,3
Drew Waters,8,1
Drew Waters,RF,1
Drew Waters,9,1
Drew Waters,DH,1
Travis Demeritte,9,1
Travis Demeritte,DH,1
Travis Demeritte,6,1
Travis Demeritte,RF,1
Travis Demeritte,2,1
Travis Demeritte,LF,1
Guillermo Heredia,1,2
Guillermo Heredia,CF,4
Guillermo Heredia,5,1
Guillermo Heredia,9,2
Guillermo Heredia,LF,2
Guillermo Heredia,8,1
Guillermo Heredia,7,1
Guillermo Heredia,DH,1
Dansby Swanson,2,3
Dansby Swanson,SS,12
Dansby Swanson,7,1
Dansby Swanson,9,1
Dansby Swanson,1,3
Dansby Swanson,8,4
Austin Riley,3,9
Austin Riley,3B,12
Austin Riley,5,1
Austin Riley,4,2
John Nogowski,4,1
John Nogowski,1B,3
John Nogowski,7,1
John Nogowski,8,1
Michael Harris II,5,1
Michael Harris II,LF,1
Michael Harris II,7,1
Michael Harris II,DH,1
Michael Harris II,8,1
Michael Harris II,CF,2
Michael Harris II,9,1
Hendrik Clementina,8,1
Hendrik Clementina,C,1
Travis d'Arnaud,6,1
Travis d'Arnaud,C,7
Travis d'Arnaud,5,1
Travis d'Arnaud,8,1
Travis d'Arnaud,3,3
Travis d'Arnaud,7,1
Jesse Franklin V,8,1
Jesse Franklin V,RF,1
Jesse Franklin V,9,1
Jesse Franklin V,LF,1
Braden Shewmake,9,1
Braden Shewmake,SS,1
Eddie Rosario,1,6
Eddie Rosario,RF,10
Eddie Rosario,6,3
Eddie Rosario,5,1
Alex Dickerson,4,1
Alex Dickerson,DH,5
Alex Dickerson,6,5
Alex Dickerson,RF,3
Alex Dickerson,5,1
Alex Dickerson,8,1
Alex Dickerson,7,1
Alex Dickerson,LF,1
Manny Pina,8,4
Manny Pina,C,5
Manny Pina,6,1
Manny Pina,DH,1
Manny Pina,9,1
Brock Holt,7,1
Brock Holt,3B,1
Phil Gosselin,9,1
Phil Gosselin,3B,1
