Player,Spot,Frequency
Ryan McKenna,1,3
Ryan McKenna,CF,5
Ryan McKenna,6,1
Ryan McKenna,8,2
Ryan McKenna,RF,2
Ryan McKenna,7,1
Ryan McKenna,LF,2
Ryan McKenna,9,1
Ryan McKenna,5,1
DJ Stewart,2,1
DJ Stewart,DH,3
DJ Stewart,5,1
DJ Stewart,RF,2
DJ Stewart,7,2
DJ Stewart,LF,1
DJ Stewart,6,1
DJ Stewart,1,1
Kelvin Gutierrez,3,1
Kelvin Gutierrez,3B,8
Kelvin Gutierrez,5,1
Kelvin Gutierrez,6,3
Kelvin Gutierrez,1B,2
Kelvin Gutierrez,8,2
Kelvin Gutierrez,7,2
Kelvin Gutierrez,9,1
Kyle Stowers,4,5
Kyle Stowers,LF,1
Kyle Stowers,RF,4
Tyler Nevin,5,3
Tyler Nevin,1B,3
Tyler Nevin,6,2
Tyler Nevin,3B,3
Tyler Nevin,3,1
Tyler Nevin,7,3
Tyler Nevin,LF,2
Tyler Nevin,RF,1
Jahmai Jones,6,1
Jahmai Jones,2B,2
Jahmai Jones,9,2
Jahmai Jones,DH,1
Yusniel Diaz,7,1
Yusniel Diaz,RF,1
Yusniel Diaz,8,2
Yusniel Diaz,LF,2
Anthony Bemboom,8,2
Anthony Bemboom,C,3
Anthony Bemboom,9,2
Anthony Bemboom,DH,1
Richie Martin,9,3
Richie Martin,SS,2
Richie Martin,DH,1
Cedric Mullins,1,11
Cedric Mullins,CF,9
Cedric Mullins,DH,2
Trey Mancini,2,3
Trey Mancini,DH,3
Trey Mancini,RF,3
Trey Mancini,3,5
Trey Mancini,LF,2
Trey Mancini,1B,3
Trey Mancini,4,3
Ryan Mountcastle,3,4
Ryan Mountcastle,1B,10
Ryan Mountcastle,2,6
Austin Hays,4,4
Austin Hays,LF,5
Austin Hays,CF,2
Austin Hays,5,3
Austin Hays,DH,2
Austin Hays,1,1
Austin Hays,2,1
Jorge Mateo,6,3
Jorge Mateo,SS,8
Jorge Mateo,7,2
Jorge Mateo,2B,1
Jorge Mateo,2,2
Jorge Mateo,8,1
Jorge Mateo,5,1
Chris Owings,7,2
Chris Owings,2B,3
Chris Owings,9,1
Chris Owings,3B,2
Chris Owings,1,2
Chris Owings,SS,3
Chris Owings,8,3
Chris Owings,5,1
Chris Owings,CF,1
Rylan Bannon,8,1
Rylan Bannon,3B,1
Jacob Nottingham,9,2
Jacob Nottingham,C,4
Jacob Nottingham,7,1
Jacob Nottingham,8,1
Jacob Nottingham,DH,1
Jacob Nottingham,6,1
Ramon Urias,2,3
Ramon Urias,SS,5
Ramon Urias,6,3
Ramon Urias,2B,3
Ramon Urias,5,2
Ramon Urias,7,1
Ramon Urias,3B,2
Ramon Urias,4,1
Anthony Santander,3,7
Anthony Santander,DH,4
Anthony Santander,4,2
Anthony Santander,RF,5
Anthony Santander,2,1
Anthony Santander,LF,1
Terrin Vavra,7,1
Terrin Vavra,2B,1
Robert Neustrom,9,1
Robert Neustrom,LF,1
Rougned Odor,5,4
Rougned Odor,2B,8
Rougned Odor,2,1
Rougned Odor,4,2
Rougned Odor,6,1
Robinson Chirinos,8,2
Robinson Chirinos,C,8
Robinson Chirinos,5,1
Robinson Chirinos,6,2
Robinson Chirinos,9,1
Robinson Chirinos,4,1
Robinson Chirinos,7,1
Jordan Westburg,9,1
Jordan Westburg,3B,2
Jordan Westburg,7,1
Beau Taylor,9,2
Beau Taylor,C,3
Beau Taylor,8,1
Colton Cowser,8,1
Colton Cowser,CF,1
John Rhodes,9,1
John Rhodes,LF,1
