Player,Spot,Frequency
Ildemaro Vargas,1,1
Ildemaro Vargas,2B,8
Ildemaro Vargas,6,3
Ildemaro Vargas,7,2
Ildemaro Vargas,9,3
Ildemaro Vargas,3B,2
Ildemaro Vargas,8,3
Ildemaro Vargas,SS,2
Yan Gomes,2,1
Yan Gomes,C,9
Yan Gomes,5,2
Yan Gomes,3,2
Yan Gomes,4,3
Yan Gomes,7,1
Brennen Davis,3,1
Brennen Davis,CF,1
Brennen Davis,7,1
Brennen Davis,RF,2
Brennen Davis,8,1
Jared Young,4,1
Jared Young,1B,1
Pete Crow-Armstrong,5,1
Pete Crow-Armstrong,LF,1
Chase Strumpf,6,1
Chase Strumpf,3B,1
Donnie Dewees,7,1
Donnie Dewees,RF,1
Dixon Machado,8,2
Dixon Machado,SS,1
Dixon Machado,9,1
Dixon Machado,3B,3
Dixon Machado,7,2
Dixon Machado,2B,1
Trent Giambrone,9,1
Trent Giambrone,DH,1
Zach Davis,1,1
Zach Davis,CF,1
Zach Davis,7,1
Zach Davis,RF,1
P.J. Higgins,2,1
P.J. Higgins,C,1
Andy Weber,3,1
Andy Weber,2B,2
Andy Weber,9,2
Andy Weber,SS,1
Nelson Maldonado,4,1
Nelson Maldonado,DH,1
Bryce Ball,5,1
Bryce Ball,1B,1
Levi Jordan,6,1
Levi Jordan,3B,1
Darius Hill,7,1
Darius Hill,RF,1
Kevin Made,8,1
Kevin Made,SS,1
D.J. Artis,9,1
D.J. Artis,LF,1
Nico Hoerner,1,2
Nico Hoerner,SS,11
Nico Hoerner,2,4
Nico Hoerner,7,1
Nico Hoerner,8,1
Nico Hoerner,5,1
Nico Hoerner,9,2
Rafael Ortega,2,2
Rafael Ortega,CF,9
Rafael Ortega,1,7
Rafael Ortega,7,2
Rafael Ortega,DH,2
Frank Schwindel,3,5
Frank Schwindel,1B,8
Frank Schwindel,4,2
Frank Schwindel,5,1
Clint Frazier,4,3
Clint Frazier,LF,10
Clint Frazier,DH,1
Clint Frazier,5,1
Clint Frazier,1,4
Clint Frazier,8,1
Clint Frazier,2,2
Greg Deichmann,7,1
Greg Deichmann,RF,3
Greg Deichmann,9,1
Greg Deichmann,8,2
Greg Deichmann,DH,1
Nelson Velazquez,8,1
Nelson Velazquez,DH,1
Nelson Velazquez,6,1
Nelson Velazquez,LF,1
Michael Hermosillo,1,1
Michael Hermosillo,LF,3
Michael Hermosillo,6,4
Michael Hermosillo,8,1
Michael Hermosillo,DH,1
Michael Hermosillo,RF,5
Michael Hermosillo,7,1
Michael Hermosillo,5,2
Willson Contreras,2,2
Willson Contreras,C,10
Willson Contreras,3,5
Willson Contreras,4,3
Jason Heyward,3,2
Jason Heyward,CF,10
Jason Heyward,2,2
Jason Heyward,5,1
Jason Heyward,6,2
Jason Heyward,4,1
Jason Heyward,8,1
Jason Heyward,7,1
Patrick Wisdom,4,3
Patrick Wisdom,3B,8
Patrick Wisdom,6,2
Patrick Wisdom,1B,2
Patrick Wisdom,3,3
Patrick Wisdom,8,1
Patrick Wisdom,5,1
Patrick Wisdom,7,1
Patrick Wisdom,DH,1
Alfonso Rivas,5,6
Alfonso Rivas,1B,9
Alfonso Rivas,9,1
Alfonso Rivas,DH,2
Alfonso Rivas,6,2
Alfonso Rivas,8,1
Alfonso Rivas,4,1
Sergio Alcantara,6,1
Sergio Alcantara,SS,2
Sergio Alcantara,9,1
Alexander Canario,8,2
Alexander Canario,DH,3
Alexander Canario,9,1
Nick Madrigal,1,4
Nick Madrigal,2B,7
Nick Madrigal,7,1
Nick Madrigal,9,1
Nick Madrigal,2,1
Narciso Crook,8,1
Narciso Crook,DH,1
Owen Caissie,9,1
Owen Caissie,RF,1
Ian Happ,4,2
Ian Happ,DH,3
Ian Happ,3,1
Ian Happ,5,2
Ian Happ,LF,5
Ian Happ,7,1
Ian Happ,6,2
Andrelton Simmons,2,1
Andrelton Simmons,DH,1
Seiya Suzuki,2,5
Seiya Suzuki,RF,7
Seiya Suzuki,5,1
Seiya Suzuki,6,1
Jonathan Villar,6,1
Jonathan Villar,3B,5
Jonathan Villar,7,1
Jonathan Villar,SS,1
Jonathan Villar,3,1
Jonathan Villar,5,1
Jonathan Villar,4,1
Jonathan Villar,1,1
Jonathan Villar,2B,1
Jonathan Villar,8,1
Christopher Morel,9,1
Christopher Morel,3B,1
James Triantos,9,1
James Triantos,DH,1
Reginald Preciado,7,1
Reginald Preciado,2B,1
Ed Howard,9,2
Ed Howard,SS,1
Ed Howard,2B,1
John Hicks,7,1
John Hicks,C,1
Luis Vazquez,8,1
Luis Vazquez,SS,1
Cole Roederer,9,1
Cole Roederer,DH,1
