Player,Spot,Frequency
Yermin Mercedes,1,1
Yermin Mercedes,DH,1
Zack Collins,2,1
Zack Collins,C,2
Zack Collins,7,1
Micker Adolfo,3,1
Micker Adolfo,LF,2
Micker Adolfo,8,3
Micker Adolfo,DH,1
Micker Adolfo,RF,2
Micker Adolfo,7,1
Blake Rutherford,4,1
Blake Rutherford,RF,1
Danny Mendick,5,1
Danny Mendick,SS,3
Danny Mendick,9,3
Danny Mendick,8,1
Danny Mendick,2B,1
Danny Mendick,3B,1
Luis Mieses,6,1
Luis Mieses,1B,1
Yolbert Sanchez,7,1
Yolbert Sanchez,2B,1
Oscar Colas,8,1
Oscar Colas,CF,1
Bryan Ramos,9,1
Bryan Ramos,3B,1
Jose Rodriguez,1,1
Jose Rodriguez,DH,1
Jose Rodriguez,9,1
Jose Rodriguez,2B,1
Andrew Vaughn,2,1
Andrew Vaughn,RF,6
Andrew Vaughn,6,2
Andrew Vaughn,9,3
Andrew Vaughn,1B,1
Andrew Vaughn,3,1
Andrew Vaughn,DH,1
Andrew Vaughn,7,1
Gavin Sheets,3,3
Gavin Sheets,1B,6
Gavin Sheets,4,2
Gavin Sheets,2,1
Gavin Sheets,6,3
Gavin Sheets,DH,1
Gavin Sheets,RF,2
Jake Burger,4,1
Jake Burger,3B,3
Jake Burger,7,1
Jake Burger,5,1
Dwight Smith Jr.,5,1
Dwight Smith Jr.,LF,1
Dwight Smith Jr.,2,1
Dwight Smith Jr.,DH,2
Dwight Smith Jr.,6,1
Romy Gonzalez,6,2
Romy Gonzalez,SS,1
Romy Gonzalez,7,1
Romy Gonzalez,3B,2
Romy Gonzalez,1,1
Romy Gonzalez,2B,1
Zach Remillard,7,1
Zach Remillard,2B,1
Seby Zavala,8,1
Seby Zavala,C,3
Seby Zavala,9,2
Yoelqui Cespedes,9,2
Yoelqui Cespedes,CF,3
Yoelqui Cespedes,5,1
Yoelqui Cespedes,8,1
Yoelqui Cespedes,LF,1
Yoelqui Cespedes,7,1
Yoelqui Cespedes,DH,1
Tim Anderson,1,13
Tim Anderson,SS,12
Tim Anderson,DH,1
Luis Robert,2,14
Luis Robert,CF,14
Jose Abreu,3,12
Jose Abreu,1B,11
Jose Abreu,DH,1
Yoan Moncada,4,5
Yoan Moncada,3B,12
Yoan Moncada,3,2
Yoan Moncada,6,5
Eloy Jimenez,5,12
Eloy Jimenez,LF,10
Eloy Jimenez,4,2
Eloy Jimenez,DH,4
Yasmani Grandal,6,2
Yasmani Grandal,DH,2
Yasmani Grandal,5,3
Yasmani Grandal,C,9
Yasmani Grandal,4,6
Leury Garcia,7,6
Leury Garcia,RF,3
Leury Garcia,1,3
Leury Garcia,2B,3
Leury Garcia,SS,3
Leury Garcia,6,2
Leury Garcia,LF,1
Leury Garcia,8,1
Leury Garcia,DH,2
Josh Harrison,8,6
Josh Harrison,2B,11
Josh Harrison,6,1
Josh Harrison,7,4
Luis Alexander Basabe,9,1
Luis Alexander Basabe,LF,2
Luis Alexander Basabe,8,1
Adam Engel,8,3
Adam Engel,RF,3
Adam Engel,LF,1
Adam Engel,9,1
Adam Engel,4,2
Adam Engel,CF,1
Adam Engel,DH,1
Carlos Perez,9,1
Carlos Perez,C,1
Nick Ciuffo,9,3
Nick Ciuffo,C,3
Adam Haseley,9,1
Adam Haseley,LF,1
AJ Pollock,2,1
AJ Pollock,RF,2
AJ Pollock,7,1
Reese McGuire,8,1
Reese McGuire,C,1
