Player,Spot,Frequency
Jonathan India,1,12
Jonathan India,2B,12
Joey Votto,2,4
Joey Votto,1B,12
Joey Votto,4,8
Kyle Farmer,3,1
Kyle Farmer,SS,11
Kyle Farmer,5,2
Kyle Farmer,4,2
Kyle Farmer,DH,1
Kyle Farmer,2,1
Kyle Farmer,7,4
Kyle Farmer,6,2
Tyler Stephenson,4,2
Tyler Stephenson,DH,1
Tyler Stephenson,3,5
Tyler Stephenson,C,10
Tyler Stephenson,5,4
Nick Senzel,5,2
Nick Senzel,CF,12
Nick Senzel,6,3
Nick Senzel,7,3
Nick Senzel,8,3
Nick Senzel,2,1
Aristides Aquino,6,2
Aristides Aquino,RF,5
Aristides Aquino,9,2
Aristides Aquino,8,1
Aristides Aquino,7,1
Aristides Aquino,LF,1
Aristides Aquino,DH,2
Aristides Aquino,5,1
Aristides Aquino,2,1
Andrew Knapp,7,1
Andrew Knapp,C,3
Andrew Knapp,8,1
Andrew Knapp,9,1
TJ Friedl,8,2
TJ Friedl,LF,3
TJ Friedl,7,1
TJ Friedl,DH,1
TJ Friedl,3,1
Alejo Lopez,9,1
Alejo Lopez,3B,1
Alejo Lopez,7,1
Alejo Lopez,2B,1
Tyler Naquin,1,2
Tyler Naquin,RF,9
Tyler Naquin,2,5
Tyler Naquin,5,3
Tyler Naquin,3,1
Tyler Naquin,DH,2
Mike Moustakas,2,4
Mike Moustakas,3B,8
Mike Moustakas,3,2
Mike Moustakas,DH,1
Mike Moustakas,6,2
Mike Moustakas,4,1
Shogo Akiyama,3,2
Shogo Akiyama,CF,2
Shogo Akiyama,1,2
Shogo Akiyama,DH,1
Shogo Akiyama,9,2
Shogo Akiyama,LF,3
Jake Fraley,4,2
Jake Fraley,LF,3
Jake Fraley,7,1
Jake Fraley,DH,3
Jake Fraley,9,4
Jake Fraley,5,1
Jake Fraley,CF,3
Jake Fraley,2,1
Jake Fraley,6,1
Jake Fraley,RF,2
Jake Fraley,1,1
Max Schrock,5,1
Max Schrock,2B,4
Max Schrock,8,2
Max Schrock,LF,1
Max Schrock,7,2
Max Schrock,1B,1
Max Schrock,3B,1
Max Schrock,4,1
Max Schrock,6,1
Jake Bauers,6,3
Jake Bauers,1B,2
Jake Bauers,DH,2
Jake Bauers,9,1
Jake Bauers,LF,1
Jake Bauers,5,1
Jake Bauers,RF,1
Jake Bauers,7,1
Aramis Garcia,8,5
Aramis Garcia,C,5
Matt McLain,9,2
Matt McLain,SS,2
Donovan Solano,4,1
Donovan Solano,3B,2
Donovan Solano,6,2
Donovan Solano,DH,1
Donovan Solano,2,1
Donovan Solano,SS,1
Colin Moran,7,2
Colin Moran,DH,1
Colin Moran,5,1
Colin Moran,1B,2
Colin Moran,4,1
Colin Moran,3B,5
Colin Moran,8,2
Colin Moran,6,2
Miguel Hernandez,9,2
Miguel Hernandez,SS,2
Albert Almora Jr.,5,1
Albert Almora Jr.,CF,1
Albert Almora Jr.,9,1
Albert Almora Jr.,RF,1
Brandon Drury,8,2
Brandon Drury,3B,1
Brandon Drury,1,1
Brandon Drury,2B,1
Brandon Drury,DH,1
Brandon Drury,7,1
Brandon Drury,SS,2
Brandon Drury,5,1
Tommy Pham,3,6
Tommy Pham,LF,6
Allen Cordoba,9,1
Allen Cordoba,1B,1
Cristian Santana,9,1
Cristian Santana,DH,1
