Player,Spot,Frequency
Myles Straw,1,12
Myles Straw,CF,12
Amed Rosario,2,10
Amed Rosario,SS,6
Amed Rosario,LF,4
Jose Ramirez,3,12
Jose Ramirez,3B,10
Jose Ramirez,DH,2
Franmil Reyes,4,11
Franmil Reyes,DH,11
Franmil Reyes,3,2
Franmil Reyes,LF,2
Bobby Bradley,5,4
Bobby Bradley,1B,11
Bobby Bradley,6,1
Bobby Bradley,4,6
Bobby Bradley,DH,2
Bobby Bradley,7,2
Bradley Zimmer,6,1
Bradley Zimmer,RF,6
Bradley Zimmer,8,2
Bradley Zimmer,5,3
Bradley Zimmer,DH,1
Bradley Zimmer,1,3
Bradley Zimmer,CF,4
Bradley Zimmer,3,1
Bradley Zimmer,9,1
Yu Chang,7,4
Yu Chang,2B,10
Yu Chang,3B,2
Yu Chang,5,5
Yu Chang,1B,1
Yu Chang,3,2
Yu Chang,6,1
Yu Chang,4,1
Oscar Mercado,8,4
Oscar Mercado,LF,6
Oscar Mercado,9,1
Oscar Mercado,6,3
Oscar Mercado,RF,3
Oscar Mercado,1,2
Oscar Mercado,CF,2
Oscar Mercado,2,1
Austin Hedges,9,4
Austin Hedges,C,9
Austin Hedges,5,2
Austin Hedges,6,1
Austin Hedges,8,1
Austin Hedges,2,1
Steven Kwan,1,1
Steven Kwan,CF,2
Steven Kwan,7,4
Steven Kwan,LF,3
Steven Kwan,8,1
Steven Kwan,RF,2
Steven Kwan,6,1
Andres Gimenez,2,3
Andres Gimenez,SS,7
Andres Gimenez,9,3
Andres Gimenez,2B,4
Andres Gimenez,8,1
Andres Gimenez,7,2
Andres Gimenez,1,1
Andres Gimenez,6,1
Owen Miller,3,2
Owen Miller,1B,8
Owen Miller,2,3
Owen Miller,DH,1
Owen Miller,6,3
Owen Miller,5,2
Owen Miller,2B,2
Owen Miller,7,1
Luke Maile,4,2
Luke Maile,C,3
Luke Maile,5,1
Daniel Johnson,5,1
Daniel Johnson,RF,3
Daniel Johnson,6,1
Daniel Johnson,7,2
Daniel Johnson,LF,1
Ernie Clement,6,2
Ernie Clement,2B,2
Ernie Clement,8,5
Ernie Clement,3B,6
Ernie Clement,7,2
Ernie Clement,SS,1
Ernie Clement,9,1
Ernie Clement,LF,2
Ernie Clement,2,1
Gabriel Arias,7,1
Gabriel Arias,3B,1
Gabriel Arias,1,1
Gabriel Arias,SS,2
Gabriel Arias,6,2
Gabriel Arias,2B,2
Gabriel Arias,9,1
Oscar Gonzalez,8,2
Oscar Gonzalez,DH,2
Oscar Gonzalez,7,1
Oscar Gonzalez,RF,2
Oscar Gonzalez,5,1
Richie Palacios,9,2
Richie Palacios,LF,2
Christian Cairo,2,1
Christian Cairo,SS,1
Brayan Rocchio,9,2
Brayan Rocchio,SS,2
Sandy Leon,9,2
Sandy Leon,C,3
Sandy Leon,8,1
Bryan Lavastida,8,2
Bryan Lavastida,C,4
Bryan Lavastida,9,2
Bryan Lavastida,6,1
Bryan Lavastida,DH,1
Josh Naylor,5,1
Josh Naylor,RF,3
Josh Naylor,3,1
Josh Naylor,6,1
Will Benson,6,1
Will Benson,RF,1
Jose Devers,7,1
Jose Devers,SS,1
Mitchell Tolman,8,1
Mitchell Tolman,3B,1
Mike Rivera,9,1
Mike Rivera,C,1
