Player,Spot,Frequency
Garrett Hampson,1,8
Garrett Hampson,CF,4
Garrett Hampson,SS,2
Garrett Hampson,6,1
Garrett Hampson,2B,5
Garrett Hampson,9,1
Garrett Hampson,7,1
Tim Lopes,2,3
Tim Lopes,2B,1
Tim Lopes,LF,2
Tim Lopes,8,2
Tim Lopes,RF,1
Tim Lopes,DH,1
Connor Joe,3,1
Connor Joe,1B,6
Connor Joe,2,3
Connor Joe,5,3
Connor Joe,LF,3
Connor Joe,7,1
Connor Joe,DH,2
Connor Joe,RF,1
Connor Joe,8,1
Connor Joe,6,2
Connor Joe,4,1
Colton Welker,4,1
Colton Welker,3B,2
Colton Welker,9,1
Scott Schebler,5,1
Scott Schebler,RF,2
Scott Schebler,3,1
Scott Schebler,8,2
Scott Schebler,DH,2
Carlos Perez,6,1
Carlos Perez,C,2
Carlos Perez,5,1
Carlos Perez,DH,1
Carlos Perez,8,1
Bret Boswell,7,1
Bret Boswell,DH,2
Bret Boswell,1,1
Bret Boswell,CF,1
Bret Boswell,9,1
Ryan Vilade,8,1
Ryan Vilade,LF,2
Ryan Vilade,9,2
Ryan Vilade,7,1
Ryan Vilade,RF,1
Ryan Vilade,DH,1
Alan Trejo,9,4
Alan Trejo,SS,4
Alan Trejo,7,2
Alan Trejo,2B,3
Alan Trejo,6,1
Alan Trejo,3B,1
Alan Trejo,8,1
Elehuris Montero,4,1
Elehuris Montero,DH,2
Elehuris Montero,3,1
Elehuris Montero,3B,2
Elehuris Montero,7,2
Elehuris Montero,6,1
Elehuris Montero,1B,1
Michael Toglia,5,1
Michael Toglia,1B,3
Michael Toglia,4,1
Michael Toglia,8,1
Taylor Snyder,6,1
Taylor Snyder,3B,1
Kyle Holder,7,1
Kyle Holder,2B,1
Kyle Holder,9,1
Kyle Holder,3B,1
Brian Serven,8,3
Brian Serven,C,2
Brian Serven,DH,1
Ezequiel Tovar,9,3
Ezequiel Tovar,SS,4
Ezequiel Tovar,7,1
Ryan McMahon,3,9
Ryan McMahon,3B,13
Ryan McMahon,6,2
Ryan McMahon,5,2
Sam Hilliard,4,1
Sam Hilliard,CF,7
Sam Hilliard,6,4
Sam Hilliard,9,1
Sam Hilliard,5,1
Sam Hilliard,RF,2
Sam Hilliard,8,4
Sam Hilliard,3,1
Sam Hilliard,LF,2
Sam Hilliard,DH,1
Dom Nunez,6,1
Dom Nunez,C,7
Dom Nunez,7,2
Dom Nunez,DH,1
Dom Nunez,5,1
Dom Nunez,9,3
Dom Nunez,8,1
Charlie Blackmon,1,11
Charlie Blackmon,RF,10
Charlie Blackmon,DH,2
Charlie Blackmon,3,1
Jose Iglesias,2,3
Jose Iglesias,SS,10
Jose Iglesias,8,2
Jose Iglesias,7,4
Jose Iglesias,9,2
Jose Iglesias,DH,1
C.J. Cron,4,12
C.J. Cron,1B,10
C.J. Cron,DH,2
Kris Bryant,2,6
Kris Bryant,LF,9
Kris Bryant,3,3
Brendan Rodgers,5,3
Brendan Rodgers,2B,10
Brendan Rodgers,4,1
Brendan Rodgers,2,4
Brendan Rodgers,3,2
Elias Diaz,6,4
Elias Diaz,C,9
Elias Diaz,5,1
Elias Diaz,4,2
Elias Diaz,7,2
Yonathan Daza,6,1
Yonathan Daza,CF,5
Yonathan Daza,5,1
Yonathan Daza,2,1
Yonathan Daza,LF,2
Yonathan Daza,9,1
Yonathan Daza,7,2
Yonathan Daza,8,1
Randal Grichuk,5,5
Randal Grichuk,CF,3
Randal Grichuk,DH,1
Randal Grichuk,3,1
Randal Grichuk,RF,3
Randal Grichuk,6,1
