Player,Spot,Frequency
Pedro Leon,1,1
Pedro Leon,CF,2
Pedro Leon,8,1
Justin Dirden,2,1
Justin Dirden,RF,1
Marty Costes,3,1
Marty Costes,LF,2
Marty Costes,8,1
J.J. Matijevic,4,1
J.J. Matijevic,1B,2
J.J. Matijevic,8,1
Corey Julks,5,1
Corey Julks,3B,1
Corey Julks,9,1
Corey Julks,RF,1
Korey Lee,6,1
Korey Lee,C,1
Grae Kessinger,7,1
Grae Kessinger,2B,1
Cristian Gonzalez,8,1
Cristian Gonzalez,SS,1
Zach Daniels,9,1
Zach Daniels,DH,1
Leosdany Molina,1,1
Leosdany Molina,SS,1
Yeuris Ramirez,2,1
Yeuris Ramirez,2B,1
Wilyer Abreu,3,1
Wilyer Abreu,CF,2
Wilyer Abreu,1,1
Luke Berryhill,4,1
Luke Berryhill,1B,1
Ramiro Rodriguez,5,1
Ramiro Rodriguez,RF,1
Michael Papierski,6,1
Michael Papierski,C,2
Michael Papierski,7,1
Enmanuel Valdez,7,1
Enmanuel Valdez,3B,1
Rainier Rivas,8,1
Rainier Rivas,LF,1
Peter Zimmermann,9,1
Peter Zimmermann,DH,1
Dauri Lorenzo,1,1
Dauri Lorenzo,2B,1
AJ Lee,2,1
AJ Lee,SS,1
David Hensley,3,1
David Hensley,3B,1
David Hensley,7,1
David Hensley,1B,1
J.C. Correa,4,1
J.C. Correa,DH,1
Alex Holderbach,5,1
Alex Holderbach,1B,1
Cesar Salazar,6,1
Cesar Salazar,C,1
Cesar Salazar,9,1
Cesar Salazar,DH,1
Roilan Machandy,7,1
Roilan Machandy,CF,1
Ross Adolph,8,1
Ross Adolph,LF,1
Frank Perez,9,1
Frank Perez,RF,1
Chas McCormick,1,1
Chas McCormick,CF,4
Chas McCormick,7,2
Chas McCormick,RF,1
Chas McCormick,8,1
Chas McCormick,6,1
Niko Goodrum,2,1
Niko Goodrum,SS,2
Niko Goodrum,3,1
Niko Goodrum,2B,1
Niko Goodrum,6,1
Kyle Tucker,3,2
Kyle Tucker,RF,7
Kyle Tucker,4,1
Kyle Tucker,DH,1
Kyle Tucker,5,1
Kyle Tucker,7,1
Kyle Tucker,6,1
Kyle Tucker,2,2
Lewis Brinson,4,1
Lewis Brinson,LF,3
Lewis Brinson,5,2
Lewis Brinson,CF,1
Lewis Brinson,7,1
Lewis Brinson,RF,1
Lewis Brinson,8,1
Jason Castro,5,1
Jason Castro,C,3
Jason Castro,6,1
Jason Castro,8,1
Joe Perez,6,1
Joe Perez,3B,2
Joe Perez,9,1
Taylor Jones,7,1
Taylor Jones,1B,1
Alex De Goti,8,1
Alex De Goti,2B,1
Jeremy Pena,1,3
Jeremy Pena,SS,8
Jeremy Pena,8,4
Jeremy Pena,9,1
Jose Altuve,2,5
Jose Altuve,2B,8
Jose Altuve,1,3
Michael Brantley,3,3
Michael Brantley,DH,5
Michael Brantley,5,1
Michael Brantley,LF,3
Michael Brantley,2,2
Michael Brantley,6,2
Alex Bregman,4,5
Alex Bregman,3B,8
Alex Bregman,3,3
Yordan Alvarez,5,2
Yordan Alvarez,LF,4
Yordan Alvarez,3,1
Yordan Alvarez,DH,3
Yordan Alvarez,4,4
Yuli Gurriel,6,3
Yuli Gurriel,1B,8
Yuli Gurriel,2,1
Yuli Gurriel,5,4
Martin Maldonado,7,2
Martin Maldonado,C,7
Martin Maldonado,6,1
Martin Maldonado,9,4
Aledmys Diaz,1,1
Aledmys Diaz,SS,1
Aledmys Diaz,3,1
Aledmys Diaz,3B,1
Aledmys Diaz,9,1
Aledmys Diaz,DH,1
Cody Orr,9,1
Cody Orr,RF,1
Jose Siri,1,2
Jose Siri,CF,4
Jose Siri,7,2
Franklin Barreto,9,1
Franklin Barreto,2B,1
