Player,Spot,Frequency
Whit Merrifield,1,11
Whit Merrifield,RF,8
Whit Merrifield,2B,3
Nicky Lopez,2,3
Nicky Lopez,2B,9
Nicky Lopez,1,2
Nicky Lopez,SS,3
Nicky Lopez,9,7
Salvador Perez,3,9
Salvador Perez,C,9
Salvador Perez,DH,2
Salvador Perez,4,2
Andrew Benintendi,4,8
Andrew Benintendi,LF,11
Andrew Benintendi,3,3
Carlos Santana,5,9
Carlos Santana,1B,9
Carlos Santana,DH,2
Carlos Santana,3,1
Carlos Santana,4,1
Hunter Dozier,6,9
Hunter Dozier,DH,4
Hunter Dozier,1B,5
Hunter Dozier,RF,3
Hunter Dozier,2,1
Hunter Dozier,4,1
Hunter Dozier,5,2
Hunter Dozier,LF,1
Adalberto Mondesi,7,8
Adalberto Mondesi,SS,11
Adalberto Mondesi,6,3
Bobby Witt Jr.,8,2
Bobby Witt Jr.,3B,12
Bobby Witt Jr.,2,10
Michael A. Taylor,9,3
Michael A. Taylor,CF,12
Michael A. Taylor,8,6
Michael A. Taylor,1,1
Michael A. Taylor,2,1
Michael A. Taylor,6,1
Kyle Isbel,1,3
Kyle Isbel,LF,3
Kyle Isbel,7,1
Kyle Isbel,CF,1
Edward Olivares,2,2
Edward Olivares,RF,3
Edward Olivares,5,1
Edward Olivares,CF,2
Edward Olivares,6,1
Edward Olivares,LF,1
Edward Olivares,8,1
Edward Olivares,DH,1
Edward Olivares,4,1
Edward Olivares,7,1
Nick Pratto,3,1
Nick Pratto,1B,2
Nick Pratto,5,2
Nick Pratto,DH,1
Ryan O'Hearn,4,3
Ryan O'Hearn,DH,4
Ryan O'Hearn,RF,3
Ryan O'Hearn,3,3
Ryan O'Hearn,5,1
Emmanuel Rivera,5,1
Emmanuel Rivera,3B,5
Emmanuel Rivera,6,1
Emmanuel Rivera,4,1
Emmanuel Rivera,7,1
Emmanuel Rivera,8,1
Clay Dungan,6,1
Clay Dungan,2B,4
Clay Dungan,7,1
Clay Dungan,8,2
JaCoby Jones,7,3
JaCoby Jones,CF,2
JaCoby Jones,LF,1
Cam Gallagher,8,3
Cam Gallagher,C,7
Cam Gallagher,7,1
Cam Gallagher,9,3
Maikel Garcia,9,3
Maikel Garcia,SS,3
Vinnie Pasquantino,8,1
Vinnie Pasquantino,DH,2
Vinnie Pasquantino,6,1
Vinnie Pasquantino,5,1
Vinnie Pasquantino,1B,1
Brewer Hicklen,8,1
Brewer Hicklen,DH,1
Gabriel Cancel,9,1
Gabriel Cancel,2B,1
MJ Melendez,7,1
MJ Melendez,C,1
