Player,Spot,Frequency
Brandon Marsh,1,2
Brandon Marsh,LF,5
Brandon Marsh,2,1
Brandon Marsh,CF,4
Brandon Marsh,RF,3
Brandon Marsh,6,3
Brandon Marsh,5,2
Brandon Marsh,4,1
Brandon Marsh,7,2
Brandon Marsh,9,1
Tyler Wade,2,3
Tyler Wade,SS,7
Tyler Wade,8,4
Tyler Wade,3B,1
Tyler Wade,7,2
Tyler Wade,2B,3
Tyler Wade,DH,1
Tyler Wade,9,2
Tyler Wade,1,1
Luis Rengifo,3,1
Luis Rengifo,2B,3
Luis Rengifo,9,2
Luis Rengifo,1,1
Luis Rengifo,SS,1
Luis Rengifo,6,1
Luis Rengifo,DH,1
Jo Adell,4,2
Jo Adell,RF,4
Jo Adell,3,2
Jo Adell,LF,6
Jo Adell,6,3
Jo Adell,7,1
Jo Adell,1,1
Jo Adell,CF,3
Jo Adell,5,3
Jo Adell,8,1
Matt Thaiss,5,1
Matt Thaiss,C,3
Matt Thaiss,7,1
Matt Thaiss,6,1
Jack Mayfield,6,2
Jack Mayfield,3B,2
Jack Mayfield,4,1
Jack Mayfield,SS,2
Jack Mayfield,5,1
Jack Mayfield,2,1
Jack Mayfield,2B,2
Jack Mayfield,8,2
Jack Mayfield,DH,1
Jake Gatewood,7,1
Jake Gatewood,1B,3
Jake Gatewood,8,2
Braxton Martinez,8,1
Braxton Martinez,DH,2
Braxton Martinez,9,1
Magneuris Sierra,9,1
Magneuris Sierra,CF,1
David Fletcher,1,1
David Fletcher,SS,7
David Fletcher,6,1
David Fletcher,2B,2
David Fletcher,8,2
David Fletcher,2,1
David Fletcher,9,4
Shohei Ohtani,2,2
Shohei Ohtani,DH,12
Shohei Ohtani,1,10
Mike Trout,3,1
Mike Trout,CF,8
Mike Trout,2,6
Mike Trout,1,1
Jared Walsh,4,7
Jared Walsh,1B,11
Jared Walsh,3,2
Jared Walsh,5,2
Taylor Ward,5,4
Taylor Ward,RF,8
Taylor Ward,6,1
Taylor Ward,4,3
Taylor Ward,CF,2
Taylor Ward,7,1
Taylor Ward,2,1
Justin Upton,6,2
Justin Upton,LF,6
Justin Upton,4,3
Justin Upton,5,2
Justin Upton,1B,1
Max Stassi,7,4
Max Stassi,C,8
Max Stassi,5,1
Max Stassi,6,3
Andrew Velazquez,1,1
Andrew Velazquez,2B,1
Andrew Velazquez,9,1
Andrew Velazquez,SS,1
Jose Rojas,5,1
Jose Rojas,3B,3
Jose Rojas,6,1
Jose Rojas,3,2
Jose Rojas,8,1
Jose Rojas,2B,1
Jose Rojas,LF,1
Michael Stefanic,8,2
Michael Stefanic,3B,2
Michael Stefanic,7,2
Michael Stefanic,2B,4
Michael Stefanic,9,2
Trey Cabbage,9,1
Trey Cabbage,DH,1
Anthony Rendon,3,8
Anthony Rendon,3B,9
Anthony Rendon,4,1
Austin Romine,9,1
Austin Romine,C,1
Orlando Martinez,9,1
Orlando Martinez,RF,1
Matt Duffy,2,3
Matt Duffy,2B,2
Matt Duffy,3,2
Matt Duffy,1B,3
Matt Duffy,5,1
Matt Duffy,3B,1
Chad Wallach,9,1
Chad Wallach,C,1
Kurt Suzuki,7,3
Kurt Suzuki,C,5
Kurt Suzuki,8,2
Dillon Thomas,8,1
Dillon Thomas,RF,1
Aaron Whitefield,7,1
Aaron Whitefield,RF,1
