Player,Spot,Frequency
Trea Turner,1,6
Trea Turner,SS,13
Trea Turner,3,6
Trea Turner,2,1
Justin Turner,2,3
Justin Turner,3B,9
Justin Turner,3,3
Justin Turner,6,1
Justin Turner,DH,3
Justin Turner,5,3
Justin Turner,4,2
Will Smith,3,2
Will Smith,C,11
Will Smith,4,3
Will Smith,5,3
Will Smith,6,3
AJ Pollock,4,3
AJ Pollock,LF,8
AJ Pollock,3,2
AJ Pollock,5,1
AJ Pollock,8,1
AJ Pollock,6,1
Cody Bellinger,5,4
Cody Bellinger,CF,13
Cody Bellinger,2,1
Cody Bellinger,4,2
Cody Bellinger,6,1
Cody Bellinger,7,4
Cody Bellinger,8,1
Chris Taylor,6,3
Chris Taylor,DH,3
Chris Taylor,3,2
Chris Taylor,1,2
Chris Taylor,7,3
Chris Taylor,2B,3
Chris Taylor,LF,4
Chris Taylor,CF,1
Chris Taylor,8,1
Gavin Lux,7,2
Gavin Lux,2B,9
Gavin Lux,5,2
Gavin Lux,1,2
Gavin Lux,LF,2
Gavin Lux,9,2
Gavin Lux,8,2
Gavin Lux,2,1
Matt Beaty,8,1
Matt Beaty,1B,2
Matt Beaty,5,1
Zach McKinstry,9,2
Zach McKinstry,RF,2
Zach McKinstry,6,1
Zach McKinstry,SS,1
Austin Barnes,4,1
Austin Barnes,C,7
Austin Barnes,3,1
Austin Barnes,7,2
Austin Barnes,8,1
Austin Barnes,9,2
Edwin Rios,6,2
Edwin Rios,3B,2
Edwin Rios,DH,4
Edwin Rios,8,2
Edwin Rios,9,2
Edwin Rios,1B,2
Edwin Rios,4,1
Edwin Rios,7,1
Jake Lamb,7,1
Jake Lamb,1B,4
Jake Lamb,8,1
Jake Lamb,5,1
Jake Lamb,RF,1
Jake Lamb,9,2
Jake Lamb,DH,1
Jake Lamb,6,1
Stefen Romero,8,1
Stefen Romero,LF,2
Stefen Romero,7,1
James Outman,9,2
James Outman,RF,1
James Outman,CF,2
James Outman,8,1
Jason Martin,7,1
Jason Martin,RF,1
Michael Busch,8,1
Michael Busch,2B,1
Max Muncy,2,3
Max Muncy,3B,5
Max Muncy,2B,1
Max Muncy,4,6
Max Muncy,DH,4
Max Muncy,3,1
Max Muncy,5,1
Max Muncy,1B,1
Ryan Noda,9,1
Ryan Noda,RF,1
Freddie Freeman,3,1
Freddie Freeman,1B,8
Freddie Freeman,2,8
Freddie Freeman,DH,1
Eddy Alvarez,6,1
Eddy Alvarez,SS,1
Eddy Alvarez,8,1
Eddy Alvarez,2B,1
Miguel Vargas,7,2
Miguel Vargas,1B,1
Miguel Vargas,DH,1
Jorbit Vivas,9,1
Jorbit Vivas,DH,1
Kevin Pillar,6,1
Kevin Pillar,RF,4
Kevin Pillar,5,2
Kevin Pillar,7,1
Kevin Pillar,CF,1
Kevin Pillar,9,2
Kevin Pillar,LF,1
Hanser Alberto,8,2
Hanser Alberto,3B,2
Hanser Alberto,6,3
Hanser Alberto,SS,3
Hanser Alberto,2B,2
Hanser Alberto,2,1
Hanser Alberto,9,1
Mookie Betts,1,8
Mookie Betts,RF,8
Andy Burns,8,1
Andy Burns,2B,1
Andy Pages,8,1
Andy Pages,LF,1
Jeren Kendall,9,1
Jeren Kendall,CF,1
