Player,Spot,Frequency
Jazz Chisholm Jr.,1,4
Jazz Chisholm Jr.,2B,11
Jazz Chisholm Jr.,9,2
Jazz Chisholm Jr.,8,1
Jazz Chisholm Jr.,5,3
Jazz Chisholm Jr.,DH,1
Jazz Chisholm Jr.,7,2
Jacob Stallings,2,1
Jacob Stallings,C,7
Jacob Stallings,8,5
Jacob Stallings,3,1
Jon Berti,3,1
Jon Berti,SS,2
Jon Berti,1,2
Jon Berti,CF,2
Jon Berti,6,2
Jon Berti,LF,1
Lorenzo Quintana,4,1
Lorenzo Quintana,DH,1
Lorenzo Quintana,6,1
Lorenzo Quintana,C,1
Lewin Diaz,5,1
Lewin Diaz,1B,1
Lewin Diaz,2,1
Lewin Diaz,DH,1
Isan Diaz,6,1
Isan Diaz,3B,1
Bryan De La Cruz,7,1
Bryan De La Cruz,LF,2
Bryan De La Cruz,9,1
Jerar Encarnacion,8,1
Jerar Encarnacion,RF,1
Roman Quinn,9,2
Roman Quinn,CF,1
Roman Quinn,LF,1
Roman Quinn,8,2
Roman Quinn,RF,2
Miguel Rojas,1,1
Miguel Rojas,SS,9
Miguel Rojas,9,4
Miguel Rojas,5,1
Miguel Rojas,7,2
Miguel Rojas,2,1
Joey Wendle,2,3
Joey Wendle,2B,1
Joey Wendle,6,4
Joey Wendle,3B,6
Joey Wendle,SS,3
Joey Wendle,1,2
Joey Wendle,3,1
Garrett Cooper,3,3
Garrett Cooper,1B,7
Garrett Cooper,2,7
Garrett Cooper,DH,3
Avisail Garcia,4,7
Avisail Garcia,RF,9
Avisail Garcia,3,2
Avisail Garcia,CF,1
Avisail Garcia,5,1
Jesus Aguilar,5,5
Jesus Aguilar,DH,6
Jesus Aguilar,4,3
Jesus Aguilar,1B,4
Jesus Aguilar,6,1
Jesus Aguilar,1,1
Brian Anderson,6,3
Brian Anderson,3B,5
Brian Anderson,7,3
Brian Anderson,LF,3
Brian Anderson,5,1
Brian Anderson,4,2
Brian Anderson,2,1
Brian Anderson,CF,1
Brian Anderson,RF,1
Jesus Sanchez,7,2
Jesus Sanchez,CF,9
Jesus Sanchez,3,5
Jesus Sanchez,5,2
Nick Fortes,8,2
Nick Fortes,C,2
JJ Bleday,9,2
JJ Bleday,LF,1
JJ Bleday,DH,1
Willians Astudillo,6,1
Willians Astudillo,3B,2
Willians Astudillo,4,1
Willians Astudillo,1B,1
Willians Astudillo,7,2
Willians Astudillo,2B,1
Payton Henry,8,1
Payton Henry,C,3
Payton Henry,9,1
Payton Henry,7,1
Delino DeShields,6,1
Delino DeShields,RF,1
Delino DeShields,8,1
Delino DeShields,LF,1
Erik Gonzalez,7,1
Erik Gonzalez,2B,1
Erik Gonzalez,9,1
Erik Gonzalez,1B,1
Alex Jackson,8,1
Alex Jackson,DH,1
Jorge Soler,1,4
Jorge Soler,LF,5
Jorge Soler,3,1
Santiago Chavez,9,1
Santiago Chavez,C,1
