Player,Spot,Frequency
Jace Peterson,1,2
Jace Peterson,2B,1
Jace Peterson,6,1
Jace Peterson,3B,9
Jace Peterson,7,2
Jace Peterson,8,2
Jace Peterson,9,3
Jace Peterson,RF,1
Jace Peterson,4,1
Willy Adames,2,9
Willy Adames,SS,13
Willy Adames,3,2
Willy Adames,5,3
Willy Adames,DH,1
Christian Yelich,3,11
Christian Yelich,LF,11
Hunter Renfroe,4,2
Hunter Renfroe,RF,5
Hunter Renfroe,3,2
Hunter Renfroe,6,3
Hunter Renfroe,DH,3
Hunter Renfroe,7,2
Hunter Renfroe,1B,1
Keston Hiura,5,3
Keston Hiura,1B,5
Keston Hiura,4,2
Keston Hiura,DH,1
Keston Hiura,8,1
Keston Hiura,LF,1
Keston Hiura,7,1
Keston Hiura,2B,1
Keston Hiura,3,1
Mike Brosseau,6,3
Mike Brosseau,3B,5
Mike Brosseau,7,1
Mike Brosseau,2B,2
Mike Brosseau,5,2
Mike Brosseau,1B,1
Mike Brosseau,4,1
Mike Brosseau,SS,3
Mike Brosseau,9,3
Mike Brosseau,8,1
Corey Ray,7,1
Corey Ray,CF,1
Mario Feliciano,8,1
Mario Feliciano,C,1
Tyler White,9,3
Tyler White,DH,4
Tyler White,8,1
Kolten Wong,1,11
Kolten Wong,2B,11
Luis Urias,2,1
Luis Urias,SS,1
Rowdy Tellez,3,1
Rowdy Tellez,1B,10
Rowdy Tellez,5,5
Rowdy Tellez,4,1
Rowdy Tellez,6,4
Rowdy Tellez,DH,1
Pedro Severino,4,3
Pedro Severino,C,7
Pedro Severino,6,1
Pedro Severino,5,2
Pedro Severino,7,1
Pedro Severino,DH,1
Pedro Severino,8,1
Tyrone Taylor,5,2
Tyrone Taylor,CF,9
Tyrone Taylor,7,2
Tyrone Taylor,6,2
Tyrone Taylor,8,2
Tyrone Taylor,RF,1
Tyrone Taylor,1,1
Tyrone Taylor,2,1
Abraham Almonte,6,1
Abraham Almonte,LF,1
Pablo Reyes,7,1
Pablo Reyes,3B,2
Pablo Reyes,9,1
Pablo Reyes,6,1
Pablo Reyes,2B,2
Pablo Reyes,8,1
David Dahl,8,2
David Dahl,DH,2
David Dahl,RF,2
David Dahl,7,1
David Dahl,9,1
Jonathan Davis,9,2
Jonathan Davis,RF,1
Jonathan Davis,CF,1
Jonathan Davis,8,1
Jonathan Davis,LF,1
Omar Narvaez,1,1
Omar Narvaez,C,9
Omar Narvaez,2,3
Omar Narvaez,7,3
Omar Narvaez,8,2
Andrew McCutchen,4,8
Andrew McCutchen,DH,3
Andrew McCutchen,3,1
Andrew McCutchen,RF,5
Andrew McCutchen,LF,1
Lorenzo Cain,1,3
Lorenzo Cain,CF,6
Lorenzo Cain,2,4
Lorenzo Cain,DH,1
Andruw Monasterio,9,1
Andruw Monasterio,SS,1
Jon Singleton,5,1
Jon Singleton,1B,1
Mark Mathias,6,1
Mark Mathias,3B,1
Joe Gray Jr.,7,1
Joe Gray Jr.,RF,1
Sal Frelick,8,1
Sal Frelick,LF,1
Weston Wilson,9,1
Weston Wilson,3B,1
Felix Valerio,7,1
Felix Valerio,2B,1
Korry Howell,8,1
Korry Howell,LF,1
Carlos Rodriguez,9,2
Carlos Rodriguez,RF,1
Carlos Rodriguez,CF,1
Brent Diaz,6,1
Brent Diaz,C,1
Jackson Chourio,7,1
Jackson Chourio,LF,1
Jace Avina,8,1
Jace Avina,RF,1
Quinton Low,9,1
Quinton Low,DH,1
