Player,Spot,Frequency
Byron Buxton,1,12
Byron Buxton,CF,11
Byron Buxton,DH,1
Luis Arraez,2,3
Luis Arraez,3B,6
Luis Arraez,1,2
Luis Arraez,2B,5
Luis Arraez,3,3
Luis Arraez,4,4
Luis Arraez,DH,1
Jorge Polanco,3,3
Jorge Polanco,2B,11
Jorge Polanco,2,9
Jorge Polanco,DH,1
Jorge Polanco,SS,1
Jorge Polanco,1,1
Miguel Sano,4,7
Miguel Sano,1B,11
Miguel Sano,3,2
Miguel Sano,DH,3
Miguel Sano,5,4
Miguel Sano,6,1
Gary Sanchez,5,6
Gary Sanchez,DH,3
Gary Sanchez,C,8
Gary Sanchez,7,2
Gary Sanchez,6,2
Gary Sanchez,4,1
Max Kepler,6,7
Max Kepler,RF,11
Max Kepler,4,2
Max Kepler,DH,1
Max Kepler,5,3
Max Kepler,3,1
Max Kepler,CF,1
Ryan Jeffers,7,2
Ryan Jeffers,C,9
Ryan Jeffers,5,2
Ryan Jeffers,3,1
Ryan Jeffers,DH,1
Ryan Jeffers,6,1
Ryan Jeffers,2,1
Ryan Jeffers,9,2
Ryan Jeffers,8,1
Trevor Larnach,8,1
Trevor Larnach,LF,3
Trevor Larnach,7,2
Trevor Larnach,DH,1
Trevor Larnach,3,1
Trevor Larnach,RF,1
Trevor Larnach,9,1
Nick Gordon,9,5
Nick Gordon,SS,4
Nick Gordon,8,1
Nick Gordon,6,2
Nick Gordon,LF,4
Nick Gordon,1,1
Nick Gordon,2B,1
Royce Lewis,1,1
Royce Lewis,SS,3
Royce Lewis,7,1
Royce Lewis,9,1
Gio Urshela,2,3
Gio Urshela,3B,10
Gio Urshela,7,3
Gio Urshela,5,1
Gio Urshela,8,3
Gio Urshela,DH,2
Gio Urshela,3,1
Gio Urshela,4,1
Alex Kirilloff,3,2
Alex Kirilloff,1B,6
Alex Kirilloff,4,1
Alex Kirilloff,8,3
Alex Kirilloff,LF,4
Alex Kirilloff,7,3
Alex Kirilloff,RF,1
Alex Kirilloff,6,2
Kyle Garlick,4,2
Kyle Garlick,LF,4
Kyle Garlick,7,2
Kyle Garlick,RF,3
Kyle Garlick,8,1
Kyle Garlick,6,1
Kyle Garlick,1,1
Kyle Garlick,9,1
Kyle Garlick,DH,1
Jake Cave,5,3
Jake Cave,RF,1
Jake Cave,8,4
Jake Cave,CF,6
Gilberto Celestino,6,1
Gilberto Celestino,CF,1
Gilberto Celestino,9,1
Gilberto Celestino,RF,1
Tim Beckham,7,1
Tim Beckham,DH,1
Daniel Robertson,8,2
Daniel Robertson,2B,1
Daniel Robertson,3B,2
Daniel Robertson,9,2
Daniel Robertson,SS,1
David Banuelos,9,1
David Banuelos,C,1
Brent Rooker,9,1
Brent Rooker,LF,2
Brent Rooker,4,1
Brent Rooker,7,1
Brent Rooker,DH,1
Brent Rooker,8,1
Brent Rooker,RF,1
Austin Martin,1,1
Austin Martin,SS,2
Austin Martin,7,1
Jose Miranda,2,1
Jose Miranda,3B,1
Jose Miranda,6,1
Jose Miranda,DH,1
Jose Godoy,6,1
Jose Godoy,C,1
Curtis Terry,8,1
Curtis Terry,1B,2
Curtis Terry,9,1
Jermaine Palacios,9,3
Jermaine Palacios,2B,1
Jermaine Palacios,SS,2
Derek Fisher,8,1
Derek Fisher,LF,1
Carlos Correa,3,5
Carlos Correa,SS,6
Carlos Correa,DH,1
Carlos Correa,2,2
Kala'i Rosario,7,1
Kala'i Rosario,LF,1
