Player,Spot,Frequency
Luis Guillorme,1,3
Luis Guillorme,SS,5
Luis Guillorme,2B,1
Luis Guillorme,8,1
Luis Guillorme,9,2
Luis Guillorme,3B,1
Luis Guillorme,2,1
J.D. Davis,2,2
J.D. Davis,3B,7
J.D. Davis,7,2
J.D. Davis,6,3
J.D. Davis,DH,2
J.D. Davis,8,1
J.D. Davis,3,1
Dominic Smith,3,3
Dominic Smith,1B,5
Dominic Smith,8,3
Dominic Smith,LF,4
Dominic Smith,7,2
Dominic Smith,DH,1
Dominic Smith,4,2
Daniel Palka,4,2
Daniel Palka,DH,1
Daniel Palka,LF,2
Daniel Palka,5,1
Daniel Palka,RF,1
Daniel Palka,6,1
Tomas Nido,5,1
Tomas Nido,C,7
Tomas Nido,7,1
Tomas Nido,9,3
Tomas Nido,8,2
Nick Plummer,6,2
Nick Plummer,LF,1
Nick Plummer,RF,1
Matt Reynolds,7,1
Matt Reynolds,2B,2
Matt Reynolds,9,1
Khalil Lee,8,2
Khalil Lee,RF,1
Khalil Lee,CF,1
Jake Mangum,9,1
Jake Mangum,CF,1
Brandon Nimmo,1,8
Brandon Nimmo,CF,8
Francisco Lindor,2,4
Francisco Lindor,SS,10
Francisco Lindor,3,6
Jeff McNeil,3,3
Jeff McNeil,2B,8
Jeff McNeil,DH,1
Jeff McNeil,6,2
Jeff McNeil,RF,1
Jeff McNeil,1,3
Jeff McNeil,5,1
Jeff McNeil,2,1
Jeff McNeil,8,1
Jeff McNeil,LF,1
Pete Alonso,4,10
Pete Alonso,1B,9
Pete Alonso,DH,2
Pete Alonso,3,1
Robinson Cano,5,5
Robinson Cano,DH,4
Robinson Cano,2B,3
Robinson Cano,3,1
Robinson Cano,1B,1
Robinson Cano,6,2
Eduardo Escobar,6,5
Eduardo Escobar,3B,7
Eduardo Escobar,5,3
Eduardo Escobar,DH,1
Eduardo Escobar,2B,1
Eduardo Escobar,4,1
Mark Canha,7,5
Mark Canha,LF,6
Mark Canha,RF,2
Mark Canha,2,3
Mark Canha,5,2
Mark Canha,DH,1
Mark Canha,CF,1
James McCann,8,2
James McCann,C,6
James McCann,9,2
James McCann,7,1
James McCann,5,1
Travis Jankowski,9,1
Travis Jankowski,RF,2
Travis Jankowski,7,2
Travis Jankowski,CF,3
Travis Jankowski,8,2
Mark Vientos,5,1
Mark Vientos,DH,1
Hayden Senger,9,1
Hayden Senger,C,1
Carlos Cortes,9,1
Carlos Cortes,LF,1
Nick Dini,9,1
Nick Dini,C,1
Starling Marte,9,1
Starling Marte,RF,6
Starling Marte,2,4
Starling Marte,1,1
Stanley Consuegra,7,1
Stanley Consuegra,RF,1
Carlos Dominguez,8,1
Carlos Dominguez,DH,1
Alex Ramirez,9,1
Alex Ramirez,CF,1
