Player,Spot,Frequency
Isiah Kiner-Falefa,1,2
Isiah Kiner-Falefa,SS,11
Isiah Kiner-Falefa,6,2
Isiah Kiner-Falefa,8,2
Isiah Kiner-Falefa,7,3
Isiah Kiner-Falefa,3,1
Isiah Kiner-Falefa,2,1
Joey Gallo,2,3
Joey Gallo,LF,10
Joey Gallo,3,4
Joey Gallo,DH,1
Joey Gallo,6,3
Joey Gallo,4,1
Joey Gallo,CF,1
Joey Gallo,5,1
Gleyber Torres,3,1
Gleyber Torres,2B,9
Gleyber Torres,5,3
Gleyber Torres,2,1
Gleyber Torres,7,2
Gleyber Torres,SS,3
Gleyber Torres,1,1
Gleyber Torres,8,2
Gleyber Torres,4,1
Gleyber Torres,6,1
Austin Wells,4,1
Austin Wells,DH,1
Jose Peraza,5,2
Jose Peraza,3B,3
Jose Peraza,8,1
Jose Peraza,6,1
Jose Peraza,4,1
Jose Peraza,2B,2
Ender Inciarte,6,2
Ender Inciarte,CF,4
Ender Inciarte,7,2
Ender Inciarte,3,1
Ender Inciarte,LF,1
Ender Inciarte,5,2
Ender Inciarte,RF,3
Ender Inciarte,9,1
Phillip Evans,7,3
Phillip Evans,1B,3
Phillip Evans,8,2
Phillip Evans,6,1
Phillip Evans,DH,2
Phillip Evans,3B,1
Rob Brantly,8,3
Rob Brantly,C,2
Rob Brantly,DH,1
Estevan Florial,9,1
Estevan Florial,RF,2
Estevan Florial,5,1
Estevan Florial,CF,1
Estevan Florial,7,1
DJ LeMahieu,1,5
DJ LeMahieu,2B,7
DJ LeMahieu,1B,1
DJ LeMahieu,4,1
DJ LeMahieu,3B,3
DJ LeMahieu,5,5
Josh Donaldson,2,2
Josh Donaldson,3B,10
Josh Donaldson,5,2
Josh Donaldson,1,6
Aaron Hicks,3,3
Aaron Hicks,CF,9
Aaron Hicks,6,5
Aaron Hicks,1,1
Aaron Hicks,DH,2
Aaron Hicks,LF,1
Aaron Hicks,7,3
Miguel Andujar,4,3
Miguel Andujar,LF,3
Miguel Andujar,DH,1
Miguel Andujar,3,2
Miguel Andujar,3B,1
Miguel Andujar,5,1
Miguel Andujar,1B,1
Kyle Higashioka,5,1
Kyle Higashioka,C,10
Kyle Higashioka,7,2
Kyle Higashioka,9,6
Kyle Higashioka,8,2
Kyle Higashioka,DH,1
Tim Locastro,6,3
Tim Locastro,RF,3
Tim Locastro,9,1
Tim Locastro,CF,1
Tim Locastro,7,1
Tim Locastro,LF,1
Oswald Peraza,8,1
Oswald Peraza,SS,3
Oswald Peraza,9,2
David Freitas,9,4
David Freitas,DH,1
David Freitas,C,3
Anthony Rizzo,1,2
Anthony Rizzo,1B,11
Anthony Rizzo,2,4
Anthony Rizzo,3,4
Anthony Rizzo,5,1
Aaron Judge,2,7
Aaron Judge,RF,6
Aaron Judge,DH,2
Aaron Judge,1,1
Aaron Judge,CF,3
Aaron Judge,3,3
Giancarlo Stanton,4,10
Giancarlo Stanton,DH,6
Giancarlo Stanton,RF,4
Ryan LaMarre,7,1
Ryan LaMarre,RF,1
Ryan LaMarre,8,1
Ryan LaMarre,LF,1
Marwin Gonzalez,1,1
Marwin Gonzalez,SS,2
Marwin Gonzalez,6,1
Marwin Gonzalez,LF,2
Marwin Gonzalez,8,3
Marwin Gonzalez,2B,1
Marwin Gonzalez,1B,1
Marwin Gonzalez,2,1
Marwin Gonzalez,3B,1
Marwin Gonzalez,7,1
Ronald Guzman,8,2
Ronald Guzman,1B,2
Ronald Guzman,DH,1
Ronald Guzman,4,1
Max McDowell,9,3
Max McDowell,C,3
Jose Trevino,9,1
Jose Trevino,C,1
