Player,Spot,Frequency
Tony Kemp,1,9
Tony Kemp,2B,10
Tony Kemp,2,1
Tony Kemp,LF,1
Tony Kemp,9,1
Elvis Andrus,2,7
Elvis Andrus,SS,10
Elvis Andrus,1,1
Elvis Andrus,DH,1
Elvis Andrus,7,2
Elvis Andrus,6,1
Sean Murphy,3,10
Sean Murphy,C,10
Sean Murphy,4,1
Sean Murphy,DH,1
Seth Brown,4,6
Seth Brown,RF,6
Seth Brown,5,3
Seth Brown,1B,3
Seth Brown,2,1
Seth Brown,DH,2
Seth Brown,6,1
Chad Pinder,5,7
Chad Pinder,LF,7
Chad Pinder,4,2
Chad Pinder,3B,4
Chad Pinder,6,1
Chad Pinder,1,1
Eric Thames,6,5
Eric Thames,DH,7
Eric Thames,7,1
Eric Thames,5,1
Eric Thames,1B,1
Eric Thames,4,1
Ramon Laureano,7,1
Ramon Laureano,CF,3
Ramon Laureano,6,1
Ramon Laureano,3,4
Ramon Laureano,RF,3
Dalton Kelly,8,3
Dalton Kelly,1B,4
Dalton Kelly,7,2
Dalton Kelly,LF,2
Dalton Kelly,2,1
Dalton Kelly,DH,1
Dalton Kelly,6,1
Kevin Smith,9,2
Kevin Smith,3B,7
Kevin Smith,2,1
Kevin Smith,SS,4
Kevin Smith,6,3
Kevin Smith,7,2
Kevin Smith,3,1
Kevin Smith,8,2
Kevin Smith,2B,1
Kevin Smith,4,1
Cristian Pache,1,4
Cristian Pache,CF,10
Cristian Pache,8,3
Cristian Pache,9,2
Cristian Pache,7,1
Vimael Machin,2,1
Vimael Machin,SS,1
Austin Allen,3,2
Austin Allen,C,6
Austin Allen,5,1
Austin Allen,4,3
Dermis Garcia,4,1
Dermis Garcia,1B,1
Skye Bolt,5,1
Skye Bolt,RF,3
Skye Bolt,9,6
Skye Bolt,LF,1
Skye Bolt,8,1
Skye Bolt,CF,5
Skye Bolt,6,1
Drew Jackson,6,1
Drew Jackson,LF,3
Drew Jackson,7,2
Drew Jackson,8,1
Drew Jackson,9,1
Drew Jackson,SS,2
Tyler Soderstrom,7,1
Tyler Soderstrom,DH,1
Jordan Diaz,8,1
Jordan Diaz,3B,1
Nick Allen,9,3
Nick Allen,2B,2
Nick Allen,SS,1
Sheldon Neuse,8,2
Sheldon Neuse,3B,5
Sheldon Neuse,6,1
Sheldon Neuse,2B,3
Sheldon Neuse,7,2
Sheldon Neuse,5,4
Sheldon Neuse,DH,1
Billy McKinney,9,2
Billy McKinney,1B,4
Billy McKinney,RF,1
Billy McKinney,8,2
Billy McKinney,LF,3
Billy McKinney,7,2
Billy McKinney,1,2
Billy McKinney,2,1
Billy McKinney,DH,1
Christian Bethancourt,4,1
Christian Bethancourt,DH,1
Christian Bethancourt,7,1
Christian Bethancourt,C,1
Christian Bethancourt,6,1
Christian Bethancourt,1B,1
Zack Gelof,8,1
Zack Gelof,3B,1
Stephen Piscotty,6,1
Stephen Piscotty,RF,5
Stephen Piscotty,7,1
Stephen Piscotty,2,1
Stephen Piscotty,8,1
Stephen Piscotty,4,1
Stephen Vogt,2,2
Stephen Vogt,C,1
Stephen Vogt,4,1
Stephen Vogt,1B,2
Christian Lopes,5,1
Christian Lopes,2B,2
Christian Lopes,8,1
Christian Lopes,LF,1
Christian Lopes,9,1
Jed Lowrie,3,1
Jed Lowrie,1B,2
Jed Lowrie,1,1
Jed Lowrie,DH,2
Jed Lowrie,2,2
