Player,Spot,Frequency
Johan Rojas,1,2
Johan Rojas,CF,2
Bryson Stott,2,3
Bryson Stott,SS,6
Bryson Stott,1,2
Bryson Stott,8,5
Bryson Stott,3B,5
Bryson Stott,9,1
Bryson Stott,2B,2
Bryson Stott,6,2
Alec Bohm,3,3
Alec Bohm,3B,11
Alec Bohm,2,2
Alec Bohm,7,4
Alec Bohm,5,2
Alec Bohm,6,1
Alec Bohm,1B,1
Darick Hall,4,2
Darick Hall,1B,5
Darick Hall,5,1
Darick Hall,9,1
Darick Hall,8,1
Donny Sands,5,2
Donny Sands,C,4
Donny Sands,7,1
Donny Sands,9,1
Mickey Moniak,6,2
Mickey Moniak,RF,6
Mickey Moniak,LF,1
Mickey Moniak,9,5
Mickey Moniak,7,2
Mickey Moniak,8,2
Mickey Moniak,CF,4
Justin Williams,7,1
Justin Williams,LF,2
Justin Williams,9,1
Justin Williams,DH,1
Justin Williams,8,1
Nick Maton,8,2
Nick Maton,2B,3
Nick Maton,7,1
Nick Maton,9,1
Nick Maton,SS,1
Jhailyn Ortiz,9,1
Jhailyn Ortiz,DH,1
Matt Vierling,1,3
Matt Vierling,CF,10
Matt Vierling,6,4
Matt Vierling,DH,1
Matt Vierling,8,2
Matt Vierling,LF,1
Matt Vierling,7,1
Matt Vierling,9,2
Jean Segura,2,10
Jean Segura,2B,13
Jean Segura,7,2
Jean Segura,6,1
Bryce Harper,3,13
Bryce Harper,DH,3
Bryce Harper,RF,10
J.T. Realmuto,4,6
J.T. Realmuto,C,12
J.T. Realmuto,DH,1
J.T. Realmuto,5,3
J.T. Realmuto,2,4
Rhys Hoskins,5,7
Rhys Hoskins,1B,11
Rhys Hoskins,3,1
Rhys Hoskins,4,2
Rhys Hoskins,6,1
Rhys Hoskins,DH,2
Rhys Hoskins,2,1
Rhys Hoskins,7,1
Didi Gregorius,6,7
Didi Gregorius,SS,12
Didi Gregorius,1,2
Didi Gregorius,3,2
Didi Gregorius,5,1
Didi Gregorius,4,1
Didi Gregorius,DH,1
Johan Camargo,7,3
Johan Camargo,3B,3
Johan Camargo,4,1
Johan Camargo,2B,2
Johan Camargo,5,4
Johan Camargo,DH,2
Johan Camargo,1B,3
Johan Camargo,6,1
Johan Camargo,8,2
Johan Camargo,SS,1
Adam Haseley,8,1
Adam Haseley,LF,2
Adam Haseley,7,1
Adam Haseley,9,2
Adam Haseley,CF,3
Adam Haseley,6,1
Luke Williams,9,1
Luke Williams,RF,1
Garrett Stubbs,7,3
Garrett Stubbs,C,4
Garrett Stubbs,8,1
Simon Muzziotti,8,1
Simon Muzziotti,RF,1
Simon Muzziotti,9,2
Simon Muzziotti,CF,1
Simon Muzziotti,LF,1
Yairo Munoz,8,1
Yairo Munoz,3B,1
Kyle Schwarber,1,11
Kyle Schwarber,DH,5
Kyle Schwarber,LF,6
Austin Wynns,8,1
Austin Wynns,DH,1
Nick Castellanos,4,8
Nick Castellanos,LF,6
Nick Castellanos,DH,2
Nick Castellanos,3,1
Nick Castellanos,RF,1
Ronald Torreyes,9,2
Ronald Torreyes,RF,1
Ronald Torreyes,LF,1
