Player,Spot,Frequency
Cole Tucker,1,7
Cole Tucker,SS,5
Cole Tucker,5,1
Cole Tucker,2B,2
Cole Tucker,RF,3
Cole Tucker,7,2
Cole Tucker,6,1
Cole Tucker,LF,2
Cole Tucker,9,1
Greg Allen,2,2
Greg Allen,LF,7
Greg Allen,CF,2
Greg Allen,8,2
Greg Allen,3,1
Greg Allen,5,4
Roberto Perez,3,2
Roberto Perez,C,11
Roberto Perez,5,2
Roberto Perez,4,2
Roberto Perez,8,2
Roberto Perez,7,2
Roberto Perez,6,1
Michael Chavis,4,3
Michael Chavis,2B,4
Michael Chavis,1B,2
Michael Chavis,7,1
Michael Chavis,3,2
Michael Chavis,DH,2
Michael Chavis,5,1
Michael Chavis,6,1
Michael Chavis,3B,1
Michael Chavis,8,1
Diego Castillo,5,4
Diego Castillo,3B,7
Diego Castillo,7,2
Diego Castillo,8,2
Diego Castillo,6,2
Diego Castillo,SS,2
Diego Castillo,2B,1
Diego Castillo,2,1
Diego Castillo,RF,1
Jared Oliva,6,1
Jared Oliva,CF,1
Jared Oliva,8,2
Jared Oliva,LF,2
Jared Oliva,1,1
Jared Oliva,RF,1
Cal Mitchell,7,1
Cal Mitchell,RF,2
Cal Mitchell,9,1
Mason Martin,8,1
Mason Martin,1B,2
Mason Martin,9,1
Endy Rodriguez,9,1
Endy Rodriguez,DH,1
Ke'Bryan Hayes,1,1
Ke'Bryan Hayes,3B,3
Ke'Bryan Hayes,3,3
Ke'Bryan Hayes,DH,1
Bryan Reynolds,2,12
Bryan Reynolds,CF,11
Bryan Reynolds,DH,1
Ben Gamel,3,4
Ben Gamel,RF,5
Ben Gamel,6,3
Ben Gamel,LF,3
Ben Gamel,9,1
Ben Gamel,8,1
Ben Gamel,DH,1
Yoshi Tsutsugo,4,9
Yoshi Tsutsugo,1B,8
Yoshi Tsutsugo,DH,2
Yoshi Tsutsugo,3,1
Daniel Vogelbach,5,1
Daniel Vogelbach,DH,5
Daniel Vogelbach,3,2
Daniel Vogelbach,1B,6
Daniel Vogelbach,4,4
Daniel Vogelbach,1,3
Daniel Vogelbach,7,1
Anthony Alford,6,1
Anthony Alford,LF,1
Anthony Alford,1,1
Anthony Alford,RF,2
Anthony Alford,5,1
Anthony Alford,CF,2
Anthony Alford,9,1
Anthony Alford,7,1
Oneil Cruz,7,3
Oneil Cruz,SS,3
Oneil Cruz,6,1
Oneil Cruz,LF,2
Oneil Cruz,5,1
Rodolfo Castro,8,1
Rodolfo Castro,2B,3
Rodolfo Castro,6,1
Rodolfo Castro,DH,1
Rodolfo Castro,5,2
Rodolfo Castro,3B,1
Rodolfo Castro,9,1
Michael Perez,9,1
Michael Perez,C,4
Michael Perez,8,2
Michael Perez,6,1
Kevin Newman,1,2
Kevin Newman,SS,7
Kevin Newman,6,2
Kevin Newman,2B,2
Kevin Newman,2,1
Kevin Newman,9,1
Kevin Newman,3,2
Kevin Newman,7,1
Nick Gonzales,8,1
Nick Gonzales,2B,2
Nick Gonzales,9,1
Jamie Ritchie,9,1
Jamie Ritchie,C,3
Jamie Ritchie,6,1
Jamie Ritchie,8,1
Hoy Park,2,2
Hoy Park,2B,4
Hoy Park,1,3
Hoy Park,SS,1
Hoy Park,3,1
Hoy Park,6,1
Hoy Park,3B,3
Hoy Park,9,1
Hoy Park,RF,1
Hoy Park,7,1
Canaan Smith-Njigba,9,1
Canaan Smith-Njigba,RF,2
Canaan Smith-Njigba,8,1
Canaan Smith-Njigba,7,1
Canaan Smith-Njigba,DH,1
Hunter Owen,9,2
Hunter Owen,3B,2
Hunter Owen,8,1
Hunter Owen,RF,1
Hunter Owen,6,1
Hunter Owen,DH,1
Bligh Madris,7,1
Bligh Madris,CF,1
Bligh Madris,5,1
Bligh Madris,LF,1
Travis Swaggerty,9,1
Travis Swaggerty,DH,1
Matt Fraizer,7,1
Matt Fraizer,CF,1
Josh VanMeter,9,2
Josh VanMeter,DH,1
Josh VanMeter,3B,1
