Player,Spot,Frequency
Trent Grisham,1,13
Trent Grisham,CF,13
Manny Machado,2,8
Manny Machado,3B,9
Manny Machado,3,1
Austin Nola,3,4
Austin Nola,C,8
Austin Nola,2,3
Austin Nola,DH,2
Austin Nola,7,2
Austin Nola,4,1
Wil Myers,4,3
Wil Myers,RF,11
Wil Myers,DH,1
Wil Myers,6,5
Wil Myers,5,4
Eric Hosmer,5,6
Eric Hosmer,1B,10
Eric Hosmer,6,2
Eric Hosmer,3,1
Eric Hosmer,4,1
Luis Campusano,6,2
Luis Campusano,DH,4
Luis Campusano,3,1
Luis Campusano,4,1
Jurickson Profar,7,3
Jurickson Profar,LF,12
Jurickson Profar,2,4
Jurickson Profar,3,1
Jurickson Profar,6,1
Jurickson Profar,5,2
Jurickson Profar,8,1
C.J. Abrams,8,2
C.J. Abrams,SS,5
C.J. Abrams,1,5
C.J. Abrams,2B,5
C.J. Abrams,9,2
C.J. Abrams,2,1
Eguy Rosario,9,4
Eguy Rosario,2B,1
Eguy Rosario,6,1
Eguy Rosario,3B,5
Eguy Rosario,7,1
Ha-Seong Kim,2,2
Ha-Seong Kim,SS,12
Ha-Seong Kim,7,3
Ha-Seong Kim,6,1
Ha-Seong Kim,9,4
Ha-Seong Kim,5,1
Ha-Seong Kim,8,2
Ha-Seong Kim,2B,1
Trayce Thompson,4,1
Trayce Thompson,CF,2
Trayce Thompson,7,2
Trayce Thompson,8,1
Trayce Thompson,LF,1
Trayce Thompson,RF,1
Nomar Mazara,5,3
Nomar Mazara,RF,6
Nomar Mazara,8,2
Nomar Mazara,LF,2
Nomar Mazara,6,2
Nomar Mazara,DH,1
Nomar Mazara,7,1
Nomar Mazara,4,1
Aderlin Rodriguez,6,1
Aderlin Rodriguez,1B,2
Aderlin Rodriguez,8,1
Victor Caratini,7,2
Victor Caratini,C,6
Victor Caratini,8,2
Victor Caratini,5,1
Victor Caratini,6,1
Luis Liberato,8,2
Luis Liberato,LF,1
Luis Liberato,CF,1
Domingo Leyba,9,2
Domingo Leyba,3B,1
Domingo Leyba,7,1
Domingo Leyba,2B,3
Domingo Leyba,8,1
Taylor Kohlwey,8,1
Taylor Kohlwey,1B,1
C.J. Hinojosa,9,3
C.J. Hinojosa,SS,1
C.J. Hinojosa,3B,2
Luke Voit,4,10
Luke Voit,DH,8
Luke Voit,1B,2
Jake Cronenworth,3,9
Jake Cronenworth,2B,8
Jake Cronenworth,DH,1
Jorge Alfaro,7,3
Jorge Alfaro,C,4
Jorge Alfaro,6,1
Jorge Alfaro,DH,1
Jorge Alfaro,8,1
Jose Azocar,9,2
Jose Azocar,CF,2
Jose Azocar,8,1
Jose Azocar,LF,1
Matthew Batten,9,1
Matthew Batten,3B,1
Matt Beaty,8,1
Matt Beaty,LF,1
Matt Beaty,5,1
Matt Beaty,1B,3
Matt Beaty,3,1
Matt Beaty,6,1
