Player,Spot,Frequency
J.P. Crawford,1,5
J.P. Crawford,SS,11
J.P. Crawford,6,2
J.P. Crawford,7,1
J.P. Crawford,9,2
J.P. Crawford,8,1
Jesse Winker,2,2
Jesse Winker,LF,9
Jesse Winker,3,9
Jesse Winker,4,1
Jesse Winker,DH,3
Ty France,3,2
Ty France,1B,12
Ty France,2,10
Mitch Haniger,4,11
Mitch Haniger,RF,8
Mitch Haniger,DH,4
Mitch Haniger,3,1
Jarred Kelenic,5,2
Jarred Kelenic,CF,7
Jarred Kelenic,7,3
Jarred Kelenic,RF,3
Jarred Kelenic,8,3
Jarred Kelenic,LF,3
Jarred Kelenic,6,4
Jarred Kelenic,3,1
Eugenio Suarez,6,2
Eugenio Suarez,3B,11
Eugenio Suarez,3,1
Eugenio Suarez,5,8
Eugenio Suarez,DH,1
Eugenio Suarez,4,1
Abraham Toro,7,2
Abraham Toro,DH,2
Abraham Toro,2,3
Abraham Toro,3B,5
Abraham Toro,6,2
Abraham Toro,1,1
Abraham Toro,2B,2
Abraham Toro,5,1
Abraham Toro,1B,1
Abraham Toro,3,1
Adam Frazier,8,1
Adam Frazier,2B,12
Adam Frazier,5,2
Adam Frazier,1,9
Tom Murphy,9,3
Tom Murphy,C,8
Tom Murphy,8,2
Tom Murphy,5,2
Tom Murphy,DH,1
Tom Murphy,4,1
Tom Murphy,7,1
Dylan Moore,1,1
Dylan Moore,2B,1
Dylan Moore,9,2
Dylan Moore,SS,5
Dylan Moore,7,4
Dylan Moore,3B,1
Dylan Moore,8,1
Dylan Moore,LF,1
Julio Rodriguez,3,1
Julio Rodriguez,CF,9
Julio Rodriguez,8,1
Julio Rodriguez,2,2
Julio Rodriguez,6,2
Julio Rodriguez,7,4
Julio Rodriguez,RF,3
Julio Rodriguez,1,1
Julio Rodriguez,5,1
Cal Raleigh,4,2
Cal Raleigh,C,8
Cal Raleigh,9,4
Cal Raleigh,DH,1
Cal Raleigh,8,2
Cal Raleigh,6,1
Luis Torrens,5,1
Luis Torrens,DH,3
Luis Torrens,9,1
Luis Torrens,C,2
Luis Torrens,3,2
Luis Torrens,8,1
Luis Torrens,4,1
Luis Torrens,1B,1
Steven Souza Jr.,6,3
Steven Souza Jr.,RF,3
Steven Souza Jr.,8,2
Steven Souza Jr.,LF,2
Taylor Trammell,7,1
Taylor Trammell,LF,2
Taylor Trammell,6,1
Taylor Trammell,2,1
Taylor Trammell,RF,1
Mike Ford,8,1
Mike Ford,1B,3
Mike Ford,4,1
Mike Ford,5,1
Mike Ford,6,1
Mike Ford,DH,2
Mike Ford,9,1
Donovan Walton,9,1
Donovan Walton,SS,2
Donovan Walton,8,2
Donovan Walton,2B,1
Evan White,7,1
Evan White,1B,1
Billy Hamilton,1,1
Billy Hamilton,CF,2
Billy Hamilton,9,2
Billy Hamilton,LF,1
Sam Haggerty,8,1
Sam Haggerty,2B,1
Kevin Padlo,9,1
Kevin Padlo,3B,1
Chance Sisco,7,1
Chance Sisco,DH,1
Jose Caballero,9,1
Jose Caballero,2B,1
