Player,Spot,Frequency
Mike Yastrzemski,1,8
Mike Yastrzemski,RF,4
Mike Yastrzemski,CF,3
Mike Yastrzemski,DH,1
Wilmer Flores,2,2
Wilmer Flores,1B,2
Wilmer Flores,3B,6
Wilmer Flores,5,4
Wilmer Flores,DH,1
Wilmer Flores,6,2
Wilmer Flores,4,1
Jason Krizan,3,1
Jason Krizan,2B,3
Jason Krizan,5,1
Jason Krizan,7,2
Jason Krizan,DH,1
Jason Krizan,6,2
Jason Krizan,1B,1
Jason Krizan,LF,1
Joey Bart,4,1
Joey Bart,C,8
Joey Bart,6,4
Joey Bart,7,3
Jason Vosler,5,1
Jason Vosler,3B,4
Jason Vosler,7,2
Jason Vosler,1B,1
Jason Vosler,8,2
Jason Vosler,LF,1
Jason Vosler,9,1
Luis Gonzalez,6,1
Luis Gonzalez,LF,5
Luis Gonzalez,8,4
Jaylin Davis,7,1
Jaylin Davis,CF,1
Jaylin Davis,6,1
Jaylin Davis,LF,2
Jaylin Davis,8,1
Ka'ai Tom,8,1
Ka'ai Tom,DH,1
Ka'ai Tom,6,1
Ka'ai Tom,LF,1
Mauricio Dubon,9,7
Mauricio Dubon,SS,2
Mauricio Dubon,8,3
Mauricio Dubon,2B,4
Mauricio Dubon,CF,3
Mauricio Dubon,3B,1
LaMonte Wade Jr.,1,5
LaMonte Wade Jr.,LF,4
LaMonte Wade Jr.,1B,1
Thairo Estrada,2,1
Thairo Estrada,SS,4
Thairo Estrada,4,4
Thairo Estrada,2B,4
Thairo Estrada,3,2
Thairo Estrada,6,2
Thairo Estrada,DH,1
Austin Slater,3,1
Austin Slater,RF,4
Austin Slater,2,5
Austin Slater,CF,4
Austin Slater,1,3
Austin Slater,DH,1
Steven Duggar,4,1
Steven Duggar,CF,5
Steven Duggar,3,4
Steven Duggar,RF,3
Steven Duggar,2,1
Steven Duggar,1,1
Steven Duggar,DH,1
Steven Duggar,5,1
Steven Duggar,7,1
Curt Casali,5,5
Curt Casali,C,8
Curt Casali,4,1
Curt Casali,7,1
Curt Casali,6,1
Alex Blandino,6,3
Alex Blandino,3B,5
Alex Blandino,7,3
Alex Blandino,1B,1
Austin Dean,7,1
Austin Dean,DH,2
Austin Dean,8,1
Wyatt Mathisen,8,2
Wyatt Mathisen,1B,2
Wyatt Mathisen,7,1
Wyatt Mathisen,DH,1
Arquimedes Gamboa,9,3
Arquimedes Gamboa,2B,3
Arquimedes Gamboa,8,2
Arquimedes Gamboa,SS,3
Arquimedes Gamboa,7,1
Joc Pederson,3,1
Joc Pederson,RF,6
Joc Pederson,4,5
Joc Pederson,CF,1
Joc Pederson,5,2
Joc Pederson,LF,1
Heliot Ramos,4,1
Heliot Ramos,DH,1
Patrick Bailey,9,1
Patrick Bailey,C,1
Patrick Bailey,8,1
Patrick Bailey,DH,1
Darin Ruf,4,3
Darin Ruf,DH,2
Darin Ruf,3,5
Darin Ruf,1B,5
Darin Ruf,LF,1
Tyler Fitzgerald,9,1
Tyler Fitzgerald,2B,1
Brandon Crawford,2,4
Brandon Crawford,SS,8
Brandon Crawford,3,2
Brandon Crawford,5,2
David Villar,9,1
David Villar,1B,1
Diego Rincones,9,1
Diego Rincones,DH,1
Tommy La Stella,2,2
Tommy La Stella,DH,1
Tommy La Stella,2B,1
Luke Williams,5,1
Luke Williams,3B,1
Luke Williams,9,2
Luke Williams,1B,1
Luke Williams,7,1
Luke Williams,2B,1
Luke Williams,LF,1
Brandon Belt,3,1
Brandon Belt,1B,2
Brandon Belt,2,2
Brandon Belt,DH,1
