Player,Spot,Frequency
Tommy Edman,1,6
Tommy Edman,2B,9
Tommy Edman,8,1
Tommy Edman,9,2
Paul Goldschmidt,2,10
Paul Goldschmidt,1B,9
Paul Goldschmidt,DH,1
Tyler O'Neill,3,9
Tyler O'Neill,LF,9
Tyler O'Neill,DH,1
Tyler O'Neill,2,1
Nolan Arenado,4,9
Nolan Arenado,3B,10
Nolan Arenado,3,1
Dylan Carlson,5,4
Dylan Carlson,RF,8
Dylan Carlson,3,1
Dylan Carlson,CF,1
Dylan Carlson,DH,1
Dylan Carlson,1,5
Harrison Bader,6,2
Harrison Bader,CF,10
Harrison Bader,8,3
Harrison Bader,7,2
Harrison Bader,3,1
Harrison Bader,9,1
Harrison Bader,1,1
Paul DeJong,7,4
Paul DeJong,SS,11
Paul DeJong,5,2
Paul DeJong,6,3
Paul DeJong,4,2
Lars Nootbaar,8,1
Lars Nootbaar,DH,2
Lars Nootbaar,2,2
Lars Nootbaar,CF,2
Lars Nootbaar,6,1
Lars Nootbaar,5,1
Lars Nootbaar,RF,1
Andrew Knizner,9,2
Andrew Knizner,C,6
Andrew Knizner,6,2
Andrew Knizner,8,2
Edmundo Sosa,8,1
Edmundo Sosa,DH,1
Edmundo Sosa,5,1
Edmundo Sosa,SS,2
Edmundo Sosa,7,1
Corey Dickerson,1,1
Corey Dickerson,DH,2
Corey Dickerson,6,1
Corey Dickerson,RF,2
Corey Dickerson,5,2
Nolan Gorman,3,1
Nolan Gorman,2B,2
Nolan Gorman,9,1
Juan Yepez,4,1
Juan Yepez,1B,2
Juan Yepez,7,1
Juan Yepez,DH,2
Juan Yepez,9,1
Juan Yepez,5,1
Juan Yepez,8,1
Juan Yepez,LF,1
Brendan Donovan,6,2
Brendan Donovan,3B,3
Brendan Donovan,8,1
Brendan Donovan,LF,1
Brendan Donovan,9,1
Brendan Donovan,7,1
Brendan Donovan,2B,1
Brendan Donovan,1,1
Brendan Donovan,DH,1
Ali Sanchez,7,1
Ali Sanchez,C,3
Ali Sanchez,9,1
Ali Sanchez,8,1
Alec Burleson,8,2
Alec Burleson,LF,3
Alec Burleson,9,1
Alec Burleson,RF,1
Alec Burleson,7,1
Alec Burleson,DH,1
Alec Burleson,2,1
Conner Capel,9,1
Conner Capel,RF,2
Conner Capel,3,1
Kramer Robertson,9,1
Kramer Robertson,2B,2
Kramer Robertson,6,1
Yadier Molina,6,2
Yadier Molina,C,4
Yadier Molina,7,2
Albert Pujols,4,1
Albert Pujols,DH,2
Albert Pujols,5,2
Albert Pujols,1B,1
Luken Baker,9,1
Luken Baker,1B,2
Luken Baker,4,1
Cory Spangenberg,5,1
Cory Spangenberg,3B,1
Delvin Perez,7,1
Delvin Perez,SS,1
Julio E. Rodriguez,8,1
Julio E. Rodriguez,C,1
Mike Antico,9,1
Mike Antico,CF,1
