Player,Spot,Frequency
Taylor Walls,1,2
Taylor Walls,SS,5
Taylor Walls,2,1
Taylor Walls,3B,6
Taylor Walls,8,2
Taylor Walls,7,4
Taylor Walls,9,1
Taylor Walls,6,1
Josh Lowe,2,1
Josh Lowe,CF,2
Josh Lowe,3,1
Josh Lowe,RF,5
Josh Lowe,1,4
Josh Lowe,LF,1
Josh Lowe,6,2
Josh Lowe,5,1
Josh Lowe,DH,1
Vidal Brujan,3,1
Vidal Brujan,3B,3
Vidal Brujan,9,1
Vidal Brujan,8,1
Vidal Brujan,7,1
Vidal Brujan,SS,1
Francisco Mejia,4,1
Francisco Mejia,C,8
Francisco Mejia,7,1
Francisco Mejia,5,3
Francisco Mejia,9,1
Francisco Mejia,6,2
Jonathan Aranda,5,2
Jonathan Aranda,2B,2
Jonathan Aranda,9,1
Jonathan Aranda,1B,1
Ryan Boldt,6,1
Ryan Boldt,RF,1
Ryan Boldt,8,1
Ryan Boldt,LF,1
Miles Mastrobuoni,7,1
Miles Mastrobuoni,LF,1
Miles Mastrobuoni,8,1
Miles Mastrobuoni,2B,1
Tristan Gray,8,1
Tristan Gray,1B,2
Tristan Gray,7,1
Esteban Quiroz,9,1
Esteban Quiroz,DH,1
Brandon Lowe,1,8
Brandon Lowe,2B,12
Brandon Lowe,3,3
Brandon Lowe,4,1
Wander Franco,2,10
Wander Franco,SS,12
Wander Franco,3,2
Austin Meadows,3,2
Austin Meadows,LF,6
Austin Meadows,4,5
Austin Meadows,DH,3
Austin Meadows,5,1
Austin Meadows,6,1
Randy Arozarena,4,2
Randy Arozarena,RF,3
Randy Arozarena,3,4
Randy Arozarena,LF,7
Randy Arozarena,1,3
Randy Arozarena,2,1
Ji-Man Choi,5,3
Ji-Man Choi,1B,9
Ji-Man Choi,2,1
Ji-Man Choi,3,2
Ji-Man Choi,4,3
Ji-Man Choi,6,1
Ji-Man Choi,DH,1
Yandy Diaz,6,2
Yandy Diaz,3B,8
Yandy Diaz,5,6
Yandy Diaz,1B,3
Yandy Diaz,4,2
Yandy Diaz,DH,1
Yandy Diaz,3,2
Mike Zunino,7,1
Mike Zunino,C,5
Mike Zunino,6,1
Mike Zunino,DH,3
Mike Zunino,2,3
Mike Zunino,9,1
Mike Zunino,8,2
Manuel Margot,8,2
Manuel Margot,DH,1
Manuel Margot,CF,5
Manuel Margot,5,1
Manuel Margot,RF,4
Manuel Margot,7,4
Manuel Margot,4,2
Manuel Margot,3,1
Brett Phillips,9,2
Brett Phillips,CF,5
Brett Phillips,1,1
Brett Phillips,7,3
Brett Phillips,RF,5
Brett Phillips,6,1
Brett Phillips,8,4
Brett Phillips,DH,1
Rene Pinto,4,1
Rene Pinto,C,6
Rene Pinto,9,1
Rene Pinto,8,3
Rene Pinto,7,1
Greg Jones,6,1
Greg Jones,SS,1
Grant Witherspoon,9,2
Grant Witherspoon,DH,1
Grant Witherspoon,RF,1
Kevin Kiermaier,6,3
Kevin Kiermaier,CF,6
Kevin Kiermaier,7,1
Kevin Kiermaier,8,1
Kevin Kiermaier,5,1
Ford Proctor,9,2
Ford Proctor,2B,2
Luke Raley,4,1
Luke Raley,LF,1
Luke Raley,6,1
Luke Raley,DH,1
Luke Raley,3,1
Luke Raley,CF,1
Ryon Healy,6,2
Ryon Healy,DH,1
Ryon Healy,1B,2
Ryon Healy,4,1
Harold Ramirez,2,2
Harold Ramirez,LF,1
Harold Ramirez,1,1
Harold Ramirez,DH,3
Harold Ramirez,5,1
Harold Ramirez,1B,1
Harold Ramirez,9,1
Curtis Mead,7,1
Curtis Mead,3B,1
Diego Infante,9,1
Diego Infante,DH,1
Evan Edwards,9,1
Evan Edwards,1B,1
Brett Wisely,9,1
Brett Wisely,2B,1
Johan Lopez,9,1
Johan Lopez,3B,1
Ronny Simon,8,1
Ronny Simon,2B,1
Daiwer Castellanos,9,1
Daiwer Castellanos,LF,1
