Player,Spot,Frequency
Marcus Semien,1,10
Marcus Semien,2B,12
Marcus Semien,SS,1
Marcus Semien,2,3
Corey Seager,2,9
Corey Seager,SS,11
Corey Seager,DH,1
Corey Seager,3,3
Nathaniel Lowe,3,4
Nathaniel Lowe,1B,11
Nathaniel Lowe,4,4
Nathaniel Lowe,5,3
Kole Calhoun,4,4
Kole Calhoun,RF,11
Kole Calhoun,6,3
Kole Calhoun,7,3
Kole Calhoun,5,1
Nick Solak,5,4
Nick Solak,LF,5
Nick Solak,2,1
Nick Solak,4,2
Nick Solak,DH,2
Nick Solak,2B,1
Nick Solak,8,1
Jose Trevino,6,1
Jose Trevino,C,5
Jose Trevino,8,1
Jose Trevino,9,3
Leody Taveras,7,1
Leody Taveras,CF,2
Leody Taveras,8,1
Eli White,8,2
Eli White,DH,2
Eli White,7,2
Eli White,5,1
Eli White,CF,3
Eli White,RF,1
Eli White,9,2
Eli White,LF,1
Davis Wendzel,9,2
Davis Wendzel,3B,1
Davis Wendzel,8,1
Davis Wendzel,2B,2
Willie Calhoun,1,1
Willie Calhoun,LF,2
Willie Calhoun,5,1
Willie Calhoun,DH,8
Willie Calhoun,8,3
Willie Calhoun,2,2
Willie Calhoun,6,2
Willie Calhoun,4,1
Andy Ibanez,2,2
Andy Ibanez,3B,12
Andy Ibanez,7,3
Andy Ibanez,6,3
Andy Ibanez,5,1
Andy Ibanez,8,2
Andy Ibanez,9,1
Mitch Garver,3,6
Mitch Garver,DH,2
Mitch Garver,C,7
Mitch Garver,2,1
Mitch Garver,4,2
Adolis Garcia,4,3
Adolis Garcia,CF,12
Adolis Garcia,5,4
Adolis Garcia,3,4
Adolis Garcia,6,2
Adolis Garcia,DH,1
Jonah Heim,5,1
Jonah Heim,C,6
Jonah Heim,6,2
Jonah Heim,4,1
Jonah Heim,8,1
Jonah Heim,9,1
Jake Marisnick,6,2
Jake Marisnick,RF,4
Jake Marisnick,9,2
Jake Marisnick,LF,2
Jake Marisnick,8,1
Jake Marisnick,7,1
Jake Marisnick,5,1
Jake Marisnick,CF,1
Blaine Crim,7,1
Blaine Crim,1B,1
Yonny Hernandez,9,3
Yonny Hernandez,SS,3
Brad Miller,1,7
Brad Miller,LF,7
Brad Miller,6,1
Brad Miller,3B,3
Brad Miller,5,1
Brad Miller,7,1
Joe McCarthy,7,2
Joe McCarthy,1B,1
Joe McCarthy,DH,1
Joe McCarthy,8,1
Joe McCarthy,LF,1
Joe McCarthy,4,1
Joe McCarthy,RF,1
Josh H. Smith,8,1
Josh H. Smith,SS,1
Charlie Culberson,9,3
Charlie Culberson,3B,2
Charlie Culberson,SS,2
Charlie Culberson,2B,1
Charlie Culberson,8,1
Charlie Culberson,7,1
Matt Carpenter,7,3
Matt Carpenter,1B,5
Matt Carpenter,6,1
Matt Carpenter,3,1
Zach Reks,6,1
Zach Reks,RF,1
Ezequiel Duran,8,1
Ezequiel Duran,2B,2
Ezequiel Duran,9,1
Dustin Harris,8,1
Dustin Harris,DH,1
