Player,Spot,Frequency
Santiago Espinal,1,2
Santiago Espinal,2B,7
Santiago Espinal,6,2
Santiago Espinal,SS,4
Santiago Espinal,2,2
Santiago Espinal,7,1
Santiago Espinal,5,1
Santiago Espinal,8,2
Santiago Espinal,3B,2
Santiago Espinal,9,3
Bo Bichette,2,11
Bo Bichette,SS,12
Bo Bichette,DH,1
Bo Bichette,4,2
Greg Bird,3,2
Greg Bird,1B,6
Greg Bird,6,2
Greg Bird,5,2
Greg Bird,DH,2
Greg Bird,4,1
Greg Bird,7,1
Danny Jansen,4,1
Danny Jansen,C,8
Danny Jansen,5,1
Danny Jansen,8,3
Danny Jansen,9,2
Danny Jansen,6,1
Josh Palacios,5,1
Josh Palacios,RF,3
Josh Palacios,6,1
Josh Palacios,8,1
Jordan Groshans,6,1
Jordan Groshans,3B,1
Jordan Groshans,7,1
Jordan Groshans,SS,1
Mallex Smith,7,2
Mallex Smith,CF,5
Mallex Smith,1,1
Mallex Smith,8,1
Mallex Smith,9,1
Otto Lopez,8,2
Otto Lopez,DH,1
Otto Lopez,2B,1
Nathan Lukes,9,3
Nathan Lukes,LF,4
Nathan Lukes,8,1
Nathan Lukes,RF,1
Nathan Lukes,7,2
Nathan Lukes,CF,1
Vladimir Guerrero Jr.,3,10
Vladimir Guerrero Jr.,1B,11
Vladimir Guerrero Jr.,DH,1
Vladimir Guerrero Jr.,2,2
Teoscar Hernandez,4,6
Teoscar Hernandez,RF,6
Teoscar Hernandez,3,3
Teoscar Hernandez,DH,2
Teoscar Hernandez,LF,1
Reese McGuire,5,2
Reese McGuire,C,3
Reese McGuire,9,1
Reese McGuire,DH,2
Reese McGuire,7,1
Reese McGuire,6,1
Orelvis Martinez,7,1
Orelvis Martinez,3B,2
Orelvis Martinez,6,1
Gosuke Katoh,8,4
Gosuke Katoh,2B,2
Gosuke Katoh,7,1
Gosuke Katoh,3B,4
Gosuke Katoh,9,1
Randal Grichuk,1,1
Randal Grichuk,RF,2
Randal Grichuk,7,1
Matt Chapman,2,1
Matt Chapman,3B,8
Matt Chapman,5,3
Matt Chapman,6,2
Matt Chapman,DH,1
Matt Chapman,7,3
Lourdes Gurriel Jr.,3,1
Lourdes Gurriel Jr.,LF,10
Lourdes Gurriel Jr.,4,4
Lourdes Gurriel Jr.,5,5
Lourdes Gurriel Jr.,6,1
Lourdes Gurriel Jr.,DH,1
Alejandro Kirk,4,3
Alejandro Kirk,DH,4
Alejandro Kirk,C,4
Alejandro Kirk,3,1
Alejandro Kirk,6,3
Alejandro Kirk,5,1
Chavez Young,9,1
Chavez Young,CF,1
Vinny Capra,9,1
Vinny Capra,LF,1
George Springer,1,8
George Springer,CF,7
George Springer,DH,1
Cavan Biggio,6,1
Cavan Biggio,2B,7
Cavan Biggio,1,4
Cavan Biggio,8,3
Cavan Biggio,RF,3
Cavan Biggio,7,1
Cavan Biggio,9,1
Raimel Tapia,2,1
Raimel Tapia,LF,1
Raimel Tapia,1,1
Raimel Tapia,CF,3
Raimel Tapia,5,1
Raimel Tapia,6,1
Raimel Tapia,DH,1
Raimel Tapia,7,2
Raimel Tapia,RF,1
Kellin Deglan,9,1
Kellin Deglan,C,1
Tyler Heineman,9,1
Tyler Heineman,C,1
Sebastian Espino,9,1
Sebastian Espino,RF,1
