Player,Spot,Frequency
Cesar Hernandez,1,10
Cesar Hernandez,2B,10
Alcides Escobar,2,3
Alcides Escobar,SS,10
Alcides Escobar,7,4
Alcides Escobar,1,1
Alcides Escobar,5,1
Alcides Escobar,6,1
Juan Soto,3,3
Juan Soto,DH,2
Juan Soto,RF,9
Juan Soto,2,8
Josh Bell,4,10
Josh Bell,1B,12
Josh Bell,2,1
Josh Bell,3,1
Keibert Ruiz,5,8
Keibert Ruiz,C,9
Keibert Ruiz,4,1
Lane Thomas,6,6
Lane Thomas,LF,7
Lane Thomas,2,1
Lane Thomas,CF,4
Lane Thomas,5,3
Lane Thomas,4,2
Lane Thomas,DH,1
Maikel Franco,7,3
Maikel Franco,3B,11
Maikel Franco,6,5
Maikel Franco,8,4
Maikel Franco,1B,1
Gerardo Parra,8,2
Gerardo Parra,RF,4
Gerardo Parra,6,1
Gerardo Parra,7,1
Victor Robles,9,9
Victor Robles,CF,9
Dee Strange-Gordon,1,4
Dee Strange-Gordon,LF,5
Dee Strange-Gordon,2B,2
Dee Strange-Gordon,8,2
Dee Strange-Gordon,9,2
Dee Strange-Gordon,CF,2
Dee Strange-Gordon,2,1
Nelson Cruz,3,11
Nelson Cruz,DH,12
Nelson Cruz,4,1
Ehire Adrianza,5,2
Ehire Adrianza,SS,3
Ehire Adrianza,2,1
Ehire Adrianza,3B,3
Ehire Adrianza,7,1
Ehire Adrianza,8,1
Ehire Adrianza,9,1
Riley Adams,6,1
Riley Adams,C,5
Riley Adams,7,2
Riley Adams,8,2
Richard Urena,7,1
Richard Urena,3B,1
Richard Urena,4,1
Richard Urena,1B,1
Luis Garcia,8,2
Luis Garcia,2B,3
Luis Garcia,9,1
Andrew Stevenson,9,1
Andrew Stevenson,RF,2
Andrew Stevenson,7,2
Andrew Stevenson,LF,2
Andrew Stevenson,5,1
Jake Noll,8,1
Jake Noll,1B,1
Yadiel Hernandez,6,1
Yadiel Hernandez,LF,1
Lucius Fox,9,1
Lucius Fox,SS,2
Lucius Fox,7,1
Tres Barrera,8,1
Tres Barrera,C,1
